name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,1.44,,,,,,1.44,,,,1.4,1.4,,1.48,,,,,1.45,,1.05,,
Portland Trail Blazers,northwest,2.5,,,,,,2.5,,,,2.65,2.4,,2.45,,,,,2.6,,1.95,,
Denver Nuggets,northwest,41.0,,,,,,51.0,,,,51.0,41.0,,46.0,,,,,51.0,,4.8,,
Minnesota Timberwolves,northwest,51.0,,,,,,51.0,,,,67.0,51.0,,51.0,,,,,51.0,,4.8,,
Utah Jazz,northwest,1001.0,,,,,,1001.0,,,,1001.0,501.0,,,,,,,2001.0,,9.55,,
Los Angeles Clippers,pacific,1.53,,,,,,1.53,,,,,,,,,,,,1.56,,1.53,,
Golden State Warriors,pacific,2.37,,,,,,2.38,,,,,,,,,,,,2.4,,1.53,,
Phoenix Suns,pacific,21.0,,,,,,21.0,,,,,,,,,,,,21.0,,2.9,,
Los Angeles Lakers,pacific,101.0,,,,,,81.0,,,,,,,,,,,,101.0,,6.7,,
Sacramento Kings,pacific,501.0,,,,,,501.0,,,,,,,,,,,,751.0,,9.55,,
San Antonio Spurs,southwest,1.2,,,,,,1.2,,,,1.2,1.2,,,,,,,1.2,,1.01,,
Houston Rockets,southwest,4.5,,,,,,4.33,,,,4.5,4.5,,,,,,,4.5,,1.99,,
Dallas Mavericks,southwest,34.0,,,,,,34.0,,,,34.0,34.0,,,,,,,34.0,,4.04,,
Memphis Grizzlies,southwest,61.0,,,,,,67.0,,,,67.0,51.0,,,,,,,67.0,,4.23,,
New Orleans Pelicans,southwest,101.0,,,,,,126.0,,,,251.0,101.0,,,,,,,201.0,,9.55,,
Brooklyn Nets,atlantic,2.25,,,,,,2.1,,,,,2.0,,2.2,,,,,,,1.69,,
Toronto Raptors,atlantic,2.25,,,,,,2.3,,,,,2.3,,2.25,,,,,,,1.28,,
New York Knicks,atlantic,6.5,,,,,,7.0,,,,,7.5,,6.35,,,,,,,1.97,,
Boston Celtics,atlantic,15.0,,,,,,17.0,,,,,15.0,,15.0,,,,,,,2.95,,
Philadelphia 76ers,atlantic,67.0,,,,,,67.0,,,,,67.0,,67.0,,,,,,,2.95,,
Indiana Pacers,central,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,
Chicago Bulls,central,19.0,,,,,,19.0,,,,,,,,,,,,19.0,,1.97,,
Detroit Pistons,central,26.0,,,,,,23.0,,,,,,,,,,,,26.0,,7.84,,
Cleveland Cavaliers,central,151.0,,,,,,151.0,,,,,,,,,,,,201.0,,7.84,,
Milwaukee Bucks,central,501.0,,,,,,501.0,,,,,,,,,,,,1001.0,,10.0,,
Miami Heat,southeast,1.01,,,,,,1.01,,,,,,,1.01,,,,,1.01,,,,
Atlanta Hawks,southeast,17.0,,,,,,17.0,,,,,,,15.0,,,,,17.0,,6.7,,
Washington Wizards,southeast,26.0,,,,,,26.0,,,,,,,24.0,,,,,29.0,,6.7,,
Charlotte Bobcats,southeast,101.0,,,,,,81.0,,,,,,,91.0,,,,,101.0,,9.55,,
Orlando Magic,southeast,201.0,,,,,,251.0,,,,,,,,,,,,301.0,,9.55,,
