name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.25,,,,1.25,1.25,1.25,1.26,,,,,1.29,,1.19,,
Portland Trail Blazers,northwest,,,,,,,4.5,,,,4.75,4.5,4.75,4.25,,,,,4.33,,1.95,,
Denver Nuggets,northwest,,,,,,,17.0,,,,17.0,15.0,17.0,17.0,,,,,17.0,,4.8,,
Minnesota Timberwolves,northwest,,,,,,,29.0,,,,26.0,26.0,26.0,26.0,,,,,34.0,,4.8,,
Utah Jazz,northwest,,,,,,,501.0,,,,501.0,501.0,501.0,101.0,,,,,2001.0,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.36,,,,1.4,1.4,1.4,1.38,,,,,1.4,,1.28,,
Golden State Warriors,pacific,,,,,,,3.0,,,,3.1,3.1,3.1,3.0,,,,,3.0,,1.95,,
Los Angeles Lakers,pacific,,,,,,,29.0,,,,21.0,21.0,26.0,25.0,,,,,29.0,,6.7,,
Phoenix Suns,pacific,,,,,,,67.0,,,,51.0,51.0,41.0,51.0,,,,,51.0,,3.85,,
Sacramento Kings,pacific,,,,,,,401.0,,,,301.0,151.0,401.0,101.0,,,,,201.0,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.36,,,,1.36,1.4,1.36,1.35,,,,,1.38,,1.01,,
Houston Rockets,southwest,,,,,,,3.4,,,,3.4,3.25,3.5,3.35,,,,,3.4,,1.99,,
Dallas Mavericks,southwest,,,,,,,26.0,,,,26.0,23.0,26.0,25.0,,,,,26.0,,3.85,,
Memphis Grizzlies,southwest,,,,,,,29.0,,,,34.0,17.0,34.0,29.0,,,,,34.0,,4.14,,
New Orleans Pelicans,southwest,,,,,,,81.0,,,,81.0,67.0,67.0,67.0,,,,,81.0,,9.55,,
Brooklyn Nets,atlantic,,,,,,,1.91,,,,2.0,2.0,2.1,2.0,,,,,2.0,,1.69,,
New York Knicks,atlantic,,,,,,,3.6,,,,3.5,3.5,3.75,3.5,,,,,3.6,,1.97,,
Toronto Raptors,atlantic,,,,,,,7.0,,,,6.0,5.5,6.0,5.5,,,,,6.0,,2.42,,
Boston Celtics,atlantic,,,,,,,8.0,,,,10.0,11.0,7.0,9.0,,,,,9.5,,2.9,,
Philadelphia 76ers,atlantic,,,,,,,21.0,,,,21.0,21.0,19.0,21.0,,,,,21.0,,2.95,,
Indiana Pacers,central,,,,,,,1.02,,,,1.02,1.02,1.02,1.02,,,,,1.02,,,,
Chicago Bulls,central,,,,,,,12.0,,,,13.0,12.0,13.0,12.0,,,,,13.0,,1.97,,
Detroit Pistons,central,,,,,,,29.0,,,,26.0,29.0,26.0,26.0,,,,,29.0,,7.84,,
Cleveland Cavaliers,central,,,,,,,126.0,,,,126.0,126.0,101.0,101.0,,,,,126.0,,7.84,,
Milwaukee Bucks,central,,,,,,,301.0,,,,301.0,151.0,251.0,101.0,,,,,501.0,,10.0,,
Miami Heat,southeast,,,,,,,1.01,,,,1.01,1.01,1.01,1.01,,,,,1.02,,,,
Atlanta Hawks,southeast,,,,,,,19.0,,,,19.0,17.0,21.0,19.0,,,,,23.0,,6.7,,
Washington Wizards,southeast,,,,,,,23.0,,,,21.0,21.0,23.0,21.0,,,,,26.0,,6.7,,
Charlotte Bobcats,southeast,,,,,,,101.0,,,,126.0,151.0,101.0,101.0,,,,,151.0,,9.55,,
Orlando Magic,southeast,,,,,,,201.0,,,,201.0,151.0,201.0,101.0,,,,,251.0,,9.55,,
