name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,1.36,,,,,,1.25,,,,1.36,1.29,,1.35,,,,,1.4,,,,
Portland Trail Blazers,northwest,2.8,,,,,,3.5,,,,3.0,3.25,,2.9,,,,,2.8,,2.9,,
Denver Nuggets,northwest,61.0,,,,,,51.0,,,,51.0,51.0,,51.0,,,,,51.0,,4.8,,
Minnesota Timberwolves,northwest,61.0,,,,,,67.0,,,,67.0,51.0,,67.0,,,,,67.0,,4.8,,
Utah Jazz,northwest,2501.0,,,,,,1001.0,,,,1001.0,1001.0,,151.0,,,,,2001.0,,9.55,,
Los Angeles Clippers,pacific,1.3,,,,,,1.33,,,,1.4,1.33,,1.35,,,,,1.4,,1.03,,
Golden State Warriors,pacific,3.5,,,,,,3.0,,,,3.0,3.0,,3.1,,,,,2.8,,1.95,,
Phoenix Suns,pacific,15.0,,,,,,21.0,,,,21.0,19.0,,21.0,,,,,21.0,,2.9,,
Los Angeles Lakers,pacific,251.0,,,,,,201.0,,,,251.0,301.0,,151.0,,,,,251.0,,6.7,,
Sacramento Kings,pacific,751.0,,,,,,501.0,,,,501.0,751.0,,151.0,,,,,501.0,,9.55,,
San Antonio Spurs,southwest,1.28,,,,,,1.22,,,,1.22,1.2,,1.25,,,,,1.2,,1.01,,
Houston Rockets,southwest,3.6,,,,,,4.0,,,,4.33,4.33,,3.8,,,,,4.5,,1.99,,
Dallas Mavericks,southwest,36.0,,,,,,41.0,,,,34.0,41.0,,35.0,,,,,34.0,,4.04,,
Memphis Grizzlies,southwest,36.0,,,,,,51.0,,,,51.0,67.0,,57.0,,,,,67.0,,4.23,,
New Orleans Pelicans,southwest,201.0,,,,,,126.0,,,,251.0,151.0,,101.0,,,,,201.0,,9.55,,
Brooklyn Nets,atlantic,1.95,,,,,,1.95,,,,1.95,2.0,,2.0,,,,,1.91,,1.95,,
Toronto Raptors,atlantic,2.15,,,,,,2.2,,,,2.25,2.15,,2.15,,,,,2.4,,2.42,,
New York Knicks,atlantic,9.0,,,,,,9.0,,,,9.5,9.5,,9.0,,,,,9.0,,1.97,,
Boston Celtics,atlantic,51.0,,,,,,26.0,,,,26.0,21.0,,29.0,,,,,21.0,,2.95,,
Philadelphia 76ers,atlantic,61.0,,,,,,101.0,,,,101.0,81.0,,67.0,,,,,101.0,,2.95,,
Indiana Pacers,central,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,
Chicago Bulls,central,26.0,,,,,,26.0,,,,26.0,,,18.0,,,,,26.0,,1.97,,
Detroit Pistons,central,34.0,,,,,,34.0,,,,29.0,,,21.0,,,,,34.0,,7.84,,
Cleveland Cavaliers,central,301.0,,,,,,151.0,,,,151.0,,,101.0,,,,,301.0,,7.84,,
Milwaukee Bucks,central,1001.0,,,,,,1001.0,,,,1001.0,,,151.0,,,,,1001.0,,10.0,,
Miami Heat,southeast,1.0,,,,,,1.0,,,,1.0,,,1.01,,,,,1.01,,,,
Atlanta Hawks,southeast,17.0,,,,,,17.0,,,,17.0,,,15.0,,,,,17.0,,6.7,,
Washington Wizards,southeast,26.0,,,,,,26.0,,,,26.0,,,22.0,,,,,29.0,,6.7,,
Charlotte Bobcats,southeast,101.0,,,,,,101.0,,,,101.0,,,91.0,,,,,101.0,,9.55,,
Orlando Magic,southeast,201.0,,,,,,201.0,,,,501.0,,,151.0,,,,,301.0,,9.55,,
