name,division,max,min,mean,median,twentyfive,seventyfive
Oklahoma City Thunder,northwest,1.38,1.19,1.2714285714285716,1.25,1.25,1.29
Portland Trail Blazers,northwest,4.75,1.95,4.0014285714285718,4.3300000000000001,3.9900000000000002,4.5
Denver Nuggets,northwest,17.0,4.8,14.257142857142856,17.0,13.5,17.0
Minnesota Timberwolves,northwest,35.0,4.8,25.400000000000002,26.0,26.0,30.0
Utah Jazz,northwest,2001.0,9.55,752.25833333333333,501.0,501.0,875.25
Los Angeles Clippers,pacific,1.45,1.28,1.3842857142857141,1.3999999999999999,1.3799999999999999,1.3999999999999999
Golden State Warriors,pacific,3.1,1.95,2.8642857142857143,3.1000000000000001,2.8500000000000001,3.1000000000000001
Los Angeles Lakers,pacific,40.0,6.7,23.957142857142856,21.0,21.0,29.0
Phoenix Suns,pacific,51.0,3.85,42.692857142857143,51.0,45.5,51.0
Sacramento Kings,pacific,301.0,9.55,187.79285714285714,201.0,151.0,250.5
San Antonio Spurs,southwest,1.4,1.01,1.3157142857142858,1.3600000000000001,1.3500000000000001,1.3700000000000001
Houston Rockets,southwest,3.65,1.99,3.2271428571428573,3.3999999999999999,3.3250000000000002,3.4500000000000002
Dallas Mavericks,southwest,26.0,3.94,19.705714285714286,23.0,18.0,24.5
Memphis Grizzlies,southwest,41.0,4.14,25.591428571428569,29.0,21.0,31.5
New Orleans Pelicans,southwest,81.0,9.55,66.650000000000006,80.0,67.0,81.0
Brooklyn Nets,atlantic,2.4,1.69,2.0387499999999998,2.0,1.9099999999999999,2.1000000000000001
New York Knicks,atlantic,3.6,1.97,3.0337499999999999,3.5,2.2999999999999998,3.5249999999999999
Toronto Raptors,atlantic,12.0,2.44,6.9299999999999997,6.0,5.5,7.5
Boston Celtics,atlantic,13.0,2.9,8.5500000000000007,9.25,7.0,10.0
Philadelphia 76ers,atlantic,21.0,2.95,17.993749999999999,21.0,18.0,21.0
Indiana Pacers,central,1.03,1.01,1.0214285714285716,1.02,1.02,1.0249999999999999
Chicago Bulls,central,13.0,1.99,11.373749999999999,13.0,12.0,13.0
Detroit Pistons,central,29.0,7.84,23.355,26.0,20.0,29.0
Cleveland Cavaliers,central,126.0,7.84,101.605,113.5,100.0,126.0
Milwaukee Bucks,central,501.0,10.0,295.625,301.0,138.5,500.0
Miami Heat,southeast,1.02,1.01,1.0114285714285713,1.01,1.01,1.01
Atlanta Hawks,southeast,23.0,6.7,17.462499999999999,18.5,17.75,19.0
Washington Wizards,southeast,26.0,6.7,19.837499999999999,21.0,20.0,21.5
Charlotte Bobcats,southeast,151.0,9.55,103.69374999999999,113.5,70.0,151.0
Orlando Magic,southeast,300.0,9.55,189.31874999999999,201.0,138.5,263.25
