name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.36,,,,1.36,1.29,,1.33,,1.3,,,1.29,,1.1,,
Portland Trail Blazers,northwest,,,,,,,3.25,,,,3.25,3.25,,3.35,,3.25,,,3.75,,1.95,,
Minnesota Timberwolves,northwest,,,,,,,29.0,,,,34.0,29.0,,31.0,,29.0,,,29.0,,4.8,,
Denver Nuggets,northwest,,,,,,,34.0,,,,41.0,23.0,,25.0,,26.0,,,29.0,,4.8,,
Utah Jazz,northwest,,,,,,,501.0,,,,501.0,501.0,,101.0,,501.0,,,2001.0,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.33,,,,1.4,1.36,,1.38,,1.35,,,1.36,,1.19,,
Golden State Warriors,pacific,,,,,,,3.5,,,,3.25,3.3,,3.3,,3.25,,,3.5,,1.95,,
Phoenix Suns,pacific,,,,,,,19.0,,,,17.0,17.0,,17.0,,17.0,,,19.0,,2.9,,
Los Angeles Lakers,pacific,,,,,,,41.0,,,,41.0,34.0,,35.0,,34.0,,,34.0,,6.7,,
Sacramento Kings,pacific,,,,,,,301.0,,,,501.0,201.0,,101.0,,201.0,,,301.0,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.25,,,,1.29,1.29,,1.33,,1.3,,,1.29,,1.01,,
Houston Rockets,southwest,,,,,,,3.75,,,,3.6,3.5,,3.4,,3.5,,,3.75,,1.99,,
Dallas Mavericks,southwest,,,,,,,29.0,,,,29.0,26.0,,26.0,,26.0,,,29.0,,3.94,,
New Orleans Pelicans,southwest,,,,,,,101.0,,,,101.0,67.0,,67.0,,81.0,,,81.0,,9.55,,
Memphis Grizzlies,southwest,,,,,,,67.0,,,,151.0,34.0,,51.0,,51.0,,,67.0,,4.23,,
Brooklyn Nets,atlantic,,,,,,,2.38,,,,2.38,2.2,,,,2.3,,,2.4,,1.97,,
Toronto Raptors,atlantic,,,,,,,3.25,,,,3.5,3.5,,,,3.5,,,3.0,,1.95,,
New York Knicks,atlantic,,,,,,,5.5,,,,4.5,4.5,,,,5.0,,,5.5,,1.97,,
Boston Celtics,atlantic,,,,,,,6.0,,,,6.5,6.0,,,,6.0,,,6.0,,2.95,,
Philadelphia 76ers,atlantic,,,,,,,41.0,,,,51.0,34.0,,,,34.0,,,51.0,,2.95,,
Indiana Pacers,central,,,,,,,1.01,,,,1.01,1.01,,1.02,,1.01,,,1.01,,,,
Chicago Bulls,central,,,,,,,21.0,,,,21.0,17.0,,18.0,,19.0,,,21.0,,1.97,,
Detroit Pistons,central,,,,,,,21.0,,,,21.0,23.0,,21.0,,23.0,,,23.0,,7.84,,
Cleveland Cavaliers,central,,,,,,,151.0,,,,201.0,126.0,,101.0,,126.0,,,151.0,,7.84,,
Milwaukee Bucks,central,,,,,,,201.0,,,,501.0,501.0,,101.0,,401.0,,,501.0,,10.0,,
Miami Heat,southeast,,,,,,,1.01,,,,1.01,1.01,,1.02,,1.01,,,1.01,,,,
Atlanta Hawks,southeast,,,,,,,17.0,,,,17.0,17.0,,16.0,,17.0,,,21.0,,6.7,,
Washington Wizards,southeast,,,,,,,21.0,,,,26.0,21.0,,19.0,,23.0,,,23.0,,6.7,,
Charlotte Bobcats,southeast,,,,,,,126.0,,,,101.0,81.0,,101.0,,126.0,,,151.0,,9.55,,
Orlando Magic,southeast,,,,,,,251.0,,,,301.0,151.0,,101.0,,201.0,,,251.0,,9.55,,
