name,division,max,min,mean,median,twentyfive,seventyfive
Oklahoma City Thunder,northwest,1.36,1.1,1.2983333333333336,1.3400000000000001,1.3,1.3574999999999999
Portland Trail Blazers,northwest,3.25,1.95,3.0333333333333332,3.25,3.25,3.25
Minnesota Timberwolves,northwest,34.0,4.8,25.633333333333336,29.0,26.75,30.5
Denver Nuggets,northwest,51.0,4.8,28.800000000000001,30.0,24.5,33.25
Utah Jazz,northwest,2001.0,9.55,685.75833333333333,501.0,201.0,876.0
Los Angeles Clippers,pacific,1.4,1.19,1.3433333333333335,1.3700000000000001,1.3375000000000001,1.3949999999999998
Golden State Warriors,pacific,3.5,1.95,3.0916666666666668,3.2749999999999999,3.25,3.2999999999999998
Phoenix Suns,pacific,17.0,2.9,14.316666666666668,17.0,15.5,17.0
Los Angeles Lakers,pacific,51.0,6.7,34.783333333333331,38.0,34.25,41.0
Sacramento Kings,pacific,501.0,9.55,235.75833333333333,251.0,126.0,301.0
San Antonio Spurs,southwest,1.3,1.01,1.22,1.25,1.25,1.29
Houston Rockets,southwest,4.0,1.99,3.3679999999999999,3.6000000000000001,3.5,3.75
Dallas Mavericks,southwest,29.0,3.94,22.187999999999999,26.0,26.0,26.0
Memphis Grizzlies,southwest,101.0,4.23,51.446000000000005,51.0,34.0,67.0
New Orleans Pelicans,southwest,101.0,9.55,69.109999999999999,67.0,67.0,101.0
Brooklyn Nets,atlantic,2.62,1.97,2.3566666666666669,2.375,2.3125,2.4750000000000001
Toronto Raptors,atlantic,2.75,1.95,2.5539999999999998,2.7000000000000002,2.6200000000000001,2.75
New York Knicks,atlantic,6.0,1.97,4.9950000000000001,5.5,5.125,5.875
Boston Celtics,atlantic,6.5,2.95,5.9083333333333341,6.5,6.5,6.5
Philadelphia 76ers,atlantic,51.0,2.95,32.824999999999996,34.0,34.0,39.25
Indiana Pacers,central,1.01,1.01,1.01,1.01,1.01,1.01
Chicago Bulls,central,21.0,1.97,16.393999999999998,21.0,17.0,21.0
Detroit Pistons,central,23.0,7.84,19.167999999999999,21.0,21.0,23.0
Cleveland Cavaliers,central,201.0,7.84,127.36800000000001,151.0,126.0,151.0
Milwaukee Bucks,central,501.0,10.0,342.80000000000001,501.0,201.0,501.0
Miami Heat,southeast,1.02,1.01,1.012,1.01,1.01,1.01
Atlanta Hawks,southeast,21.0,6.7,16.116666666666667,17.0,17.0,17.75
Washington Wizards,southeast,26.0,6.7,19.616666666666667,22.0,18.75,23.0
Charlotte Bobcats,southeast,151.0,9.55,94.924999999999997,101.0,86.0,119.75
Orlando Magic,southeast,301.0,9.55,177.42499999999998,201.0,113.5,251.0
