name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.29,,,,1.25,1.29,1.29,,,,,,,,1.19,,
Portland Trail Blazers,northwest,,,,,,,4.0,,,,4.25,3.8,4.25,,,,,,,,1.95,,
Denver Nuggets,northwest,,,,,,,23.0,,,,23.0,23.0,21.0,,,,,,,,4.8,,
Minnesota Timberwolves,northwest,,,,,,,29.0,,,,41.0,29.0,34.0,,,,,,,,4.8,,
Utah Jazz,northwest,,,,,,,501.0,,,,501.0,501.0,501.0,,,,,,,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.33,,,,1.33,1.33,1.4,,,,,,,,1.28,,
Golden State Warriors,pacific,,,,,,,3.25,,,,3.3,3.3,3.25,,,,,,,,1.95,,
Los Angeles Lakers,pacific,,,,,,,29.0,,,,29.0,29.0,21.0,,,,,,,,6.7,,
Phoenix Suns,pacific,,,,,,,34.0,,,,34.0,34.0,34.0,,,,,,,,2.9,,
Sacramento Kings,pacific,,,,,,,301.0,,,,501.0,201.0,401.0,,,,,,,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.33,,,,1.33,1.33,1.33,,,,,,,,1.01,,
Houston Rockets,southwest,,,,,,,3.4,,,,3.5,3.4,3.5,,,,,,,,1.99,,
Dallas Mavericks,southwest,,,,,,,23.0,,,,23.0,26.0,23.0,,,,,,,,4.04,,
Memphis Grizzlies,southwest,,,,,,,51.0,,,,67.0,34.0,51.0,,,,,,,,4.23,,
New Orleans Pelicans,southwest,,,,,,,81.0,,,,81.0,67.0,67.0,,,,,,,,9.55,,
Brooklyn Nets,atlantic,,,,,,,1.95,,,,1.91,1.91,1.91,,,,1.83,,,,1.69,,
New York Knicks,atlantic,,,,,,,3.75,,,,4.0,4.0,4.0,,,,3.75,,,,1.97,,
Toronto Raptors,atlantic,,,,,,,6.0,,,,5.0,5.0,7.0,,,,6.0,,,,2.42,,
Boston Celtics,atlantic,,,,,,,7.5,,,,8.5,7.5,6.5,,,,7.5,,,,2.95,,
Philadelphia 76ers,atlantic,,,,,,,34.0,,,,51.0,34.0,34.0,,,,34.0,,,,2.95,,
Indiana Pacers,central,,,,,,,1.01,,,,1.01,1.01,1.01,,,,,,,,,,
Chicago Bulls,central,,,,,,,17.0,,,,17.0,17.0,17.0,,,,,,,,1.97,,
Detroit Pistons,central,,,,,,,21.0,,,,23.0,23.0,21.0,,,,,,,,7.84,,
Cleveland Cavaliers,central,,,,,,,151.0,,,,151.0,126.0,101.0,,,,,,,,7.84,,
Milwaukee Bucks,central,,,,,,,301.0,,,,501.0,301.0,501.0,,,,,,,,10.0,,
Miami Heat,southeast,,,,,,,1.01,,,,1.01,1.01,1.01,,,,,,,,,,
Atlanta Hawks,southeast,,,,,,,15.0,,,,17.0,17.0,21.0,,,,,,,,6.7,,
Washington Wizards,southeast,,,,,,,21.0,,,,23.0,21.0,23.0,,,,,,,,6.7,,
Charlotte Bobcats,southeast,,,,,,,126.0,,,,126.0,151.0,101.0,,,,,,,,9.55,,
Orlando Magic,southeast,,,,,,,251.0,,,,201.0,151.0,201.0,,,,,,,,9.55,,
