name,division,max,min,mean,median,twentyfive,seventyfive
Oklahoma City Thunder,northwest,1.31,1.1,1.2550000000000001,1.29,1.26,1.29
Portland Trail Blazers,northwest,4.5,1.95,3.6499999999999999,3.8999999999999999,3.6875,4.0
Denver Nuggets,northwest,23.0,4.8,19.300000000000001,22.0,21.0,23.0
Minnesota Timberwolves,northwest,41.0,4.8,28.633333333333336,31.5,29.0,34.0
Utah Jazz,northwest,2001.0,9.55,602.42500000000007,501.0,201.0,501.0
Los Angeles Clippers,pacific,1.36,1.19,1.3216666666666668,1.3450000000000002,1.3300000000000001,1.3600000000000001
Golden State Warriors,pacific,3.5,1.95,3.1000000000000001,3.2749999999999999,3.1375000000000002,3.4500000000000002
Phoenix Suns,pacific,34.0,2.9,24.150000000000002,27.5,19.5,34.0
Los Angeles Lakers,pacific,35.0,6.7,27.449999999999999,31.5,26.75,34.0
Sacramento Kings,pacific,501.0,9.55,252.42499999999998,251.0,126.0,376.0
San Antonio Spurs,southwest,1.33,1.01,1.2716666666666667,1.3250000000000002,1.3125,1.3300000000000001
Houston Rockets,southwest,3.5,1.99,3.2316666666666669,3.5,3.4249999999999998,3.5
Dallas Mavericks,southwest,26.0,3.94,21.323333333333334,24.5,23.0,26.0
Memphis Grizzlies,southwest,67.0,4.23,41.371666666666663,46.0,35.75,51.0
New Orleans Pelicans,southwest,101.0,9.55,65.424999999999997,67.0,67.0,77.5
Brooklyn Nets,atlantic,2.0,1.71,1.9133333333333333,1.9299999999999999,1.9099999999999999,1.9875
New York Knicks,atlantic,4.0,1.97,3.6283333333333334,4.0,3.8499999999999996,4.0
Toronto Raptors,atlantic,7.0,2.42,4.7783333333333333,4.75,4.5,5.1875
Boston Celtics,atlantic,8.5,2.95,6.9083333333333341,7.5,6.75,8.25
Philadelphia 76ers,atlantic,51.0,2.95,35.658333333333331,37.5,34.0,48.5
Indiana Pacers,central,1.02,1.01,1.012,1.01,1.01,1.01
Chicago Bulls,central,21.0,1.97,15.661666666666667,17.0,16.25,20.0
Detroit Pistons,central,23.0,7.84,18.140000000000001,21.0,16.5,21.0
Cleveland Cavaliers,central,151.0,7.84,106.30666666666667,113.5,101.0,144.75
Milwaukee Bucks,central,501.0,10.0,319.16666666666669,401.0,151.0,501.0
Miami Heat,southeast,1.02,1.01,1.012,1.01,1.01,1.01
Atlanta Hawks,southeast,21.0,6.7,16.783333333333335,19.0,14.75,21.0
Washington Wizards,southeast,23.0,6.7,19.283333333333335,21.0,21.0,22.5
Charlotte Bobcats,southeast,151.0,9.55,102.425,101.0,101.0,138.5
Orlando Magic,southeast,251.0,9.55,160.75833333333333,176.0,113.5,238.5
