name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.14,,,,1.17,1.12,,1.18,,,,,1.15,,1.19,,
Portland Trail Blazers,northwest,,,,,,,11.0,,,,10.0,11.0,,8.0,,,,,11.0,,1.95,,
Denver Nuggets,northwest,,,,,,,13.0,,,,13.0,13.0,,15.0,,,,,15.0,,4.8,,
Minnesota Timberwolves,northwest,,,,,,,11.0,,,,15.0,11.0,,17.0,,,,,13.0,,2.9,,
Utah Jazz,northwest,,,,,,,151.0,,,,251.0,101.0,,101.0,,,,,201.0,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.44,,,,1.5,1.44,,1.5,,,,,1.5,,1.28,,
Golden State Warriors,pacific,,,,,,,2.88,,,,2.7,2.7,,2.75,,,,,2.75,,1.95,,
Los Angeles Lakers,pacific,,,,,,,19.0,,,,21.0,17.0,,21.0,,,,,21.0,,6.7,,
Phoenix Suns,pacific,,,,,,,51.0,,,,67.0,67.0,,67.0,,,,,67.0,,3.85,,
Sacramento Kings,pacific,,,,,,,126.0,,,,126.0,126.0,,101.0,,,,,126.0,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.44,,,,1.44,1.4,,1.4,,,,,1.53,,1.01,,
Houston Rockets,southwest,,,,,,,3.25,,,,3.4,3.25,,3.5,,,,,3.0,,1.99,,
Memphis Grizzlies,southwest,,,,,,,17.0,,,,17.0,17.0,,17.0,,,,,15.0,,4.14,,
Dallas Mavericks,southwest,,,,,,,21.0,,,,21.0,23.0,,34.0,,,,,29.0,,7.65,,
New Orleans Pelicans,southwest,,,,,,,67.0,,,,81.0,67.0,,67.0,,,,,67.0,,9.55,,
Brooklyn Nets,atlantic,,,,,,,1.67,,,,1.67,1.67,,,,,,,1.67,,1.97,,
New York Knicks,atlantic,,,,,,,3.0,,,,3.0,3.1,,,,,,,2.9,,1.97,,
Toronto Raptors,atlantic,,,,,,,9.0,,,,10.0,8.0,,,,,,,7.0,,2.95,,
Philadelphia 76ers,atlantic,,,,,,,21.0,,,,21.0,21.0,,,,,,,21.0,,2.95,,
Boston Celtics,atlantic,,,,,,,51.0,,,,51.0,51.0,,,,,,,51.0,,4.89,,
Chicago Bulls,central,,,,,,,,,,,,,,,,,,,,,1.97,,
Cleveland Cavaliers,central,,,,,,,,,,,,,,,,,,,,,7.84,,
Detroit Pistons,central,,,,,,,,,,,,,,,,,,,,,7.84,,
Milwaukee Bucks,central,,,,,,,,,,,,,,,,,,,,,10.0,,
Miami Heat,southeast,,,,,,,1.01,,,,1.01,1.01,,1.01,,,,,1.02,,,,
Atlanta Hawks,southeast,,,,,,,19.0,,,,19.0,17.0,,19.0,,,,,17.0,,6.7,,
Washington Wizards,southeast,,,,,,,21.0,,,,29.0,21.0,,27.0,,,,,23.0,,6.7,,
Charlotte Bobcats,southeast,,,,,,,126.0,,,,126.0,151.0,,101.0,,,,,201.0,,9.55,,
Orlando Magic,southeast,,,,,,,151.0,,,,151.0,151.0,,101.0,,,,,201.0,,9.55,,
