name,division,max,min,mean,median,twentyfive,seventyfive
Oklahoma City Thunder,northwest,1.33,1.1,1.2750000000000001,1.3,1.29,1.3250000000000002
Portland Trail Blazers,northwest,3.75,1.95,3.1750000000000003,3.2999999999999998,3.25,3.4624999999999999
Minnesota Timberwolves,northwest,34.0,4.8,26.133333333333336,29.0,29.0,30.5
Denver Nuggets,northwest,41.0,4.8,26.133333333333336,27.0,23.5,32.75
Utah Jazz,northwest,2001.0,9.55,602.42500000000007,501.0,201.0,501.0
Los Angeles Clippers,pacific,1.38,1.19,1.3240000000000001,1.3600000000000001,1.3300000000000001,1.3600000000000001
Golden State Warriors,pacific,3.5,1.95,3.1099999999999999,3.2999999999999998,3.2999999999999998,3.5
Phoenix Suns,pacific,26.0,2.9,16.780000000000001,19.0,17.0,19.0
Los Angeles Lakers,pacific,35.0,6.7,27.739999999999998,34.0,29.0,34.0
Sacramento Kings,pacific,301.0,9.55,182.70999999999998,201.0,101.0,301.0
San Antonio Spurs,southwest,1.33,1.01,1.2433333333333334,1.29,1.26,1.29
Houston Rockets,southwest,3.75,1.99,3.3316666666666666,3.5499999999999998,3.4249999999999998,3.7124999999999999
Dallas Mavericks,southwest,29.0,3.94,23.823333333333334,27.5,26.0,29.0
New Orleans Pelicans,southwest,101.0,9.55,71.091666666666669,74.0,67.0,96.0
Memphis Grizzlies,southwest,151.0,4.23,62.37166666666667,59.0,38.25,67.0
Brooklyn Nets,atlantic,2.4,1.97,2.2399999999999998,2.25,2.2000000000000002,2.3799999999999999
Toronto Raptors,atlantic,3.5,1.95,3.04,3.25,3.0,3.5
New York Knicks,atlantic,5.5,1.97,4.444,4.75,4.5,5.5
Boston Celtics,atlantic,6.5,2.95,5.4900000000000002,6.0,6.0,6.0
Philadelphia 76ers,atlantic,51.0,2.95,32.589999999999996,34.0,34.0,41.0
Indiana Pacers,central,1.02,1.01,1.0125,1.01,1.01,1.0125000000000002
Chicago Bulls,central,21.0,1.97,15.394,18.0,17.0,19.0
Detroit Pistons,central,23.0,7.84,19.167999999999999,21.0,21.0,23.0
Cleveland Cavaliers,central,151.0,7.84,107.36800000000001,126.0,101.0,151.0
Milwaukee Bucks,central,501.0,10.0,282.80000000000001,301.0,101.0,501.0
Miami Heat,southeast,1.02,1.01,1.0125,1.01,1.01,1.0125000000000002
Atlanta Hawks,southeast,21.0,6.7,15.540000000000001,17.0,16.0,17.0
Washington Wizards,southeast,23.0,6.7,18.140000000000001,21.0,19.0,21.0
Charlotte Bobcats,southeast,151.0,9.55,93.710000000000008,101.0,81.0,126.0
Orlando Magic,southeast,251.0,9.55,152.70999999999998,151.0,101.0,251.0
