name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.17,,,1.35,1.2,1.17,1.18,1.17,,1.17,,1.35,,,1.19,,
Portland Trail Blazers,northwest,,,,,,,9.0,,,4.25,8.0,9.0,9.0,9.0,,9.0,,4.25,,,1.95,,
Denver Nuggets,northwest,,,,,,,13.0,,,15.0,13.0,13.0,15.0,15.0,,13.0,,15.0,,,4.8,,
Minnesota Timberwolves,northwest,,,,,,,13.0,,,15.0,15.0,11.0,15.0,17.0,,13.0,,15.0,,,4.8,,
Utah Jazz,northwest,,,,,,,151.0,,,500.0,301.0,151.0,101.0,101.0,,126.0,,500.0,,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.44,,,1.4,1.48,1.44,1.44,1.45,,1.44,,1.4,,,1.28,,
Golden State Warriors,pacific,,,,,,,2.88,,,2.95,2.88,2.7,2.88,2.85,,2.75,,2.95,,,1.95,,
Los Angeles Lakers,pacific,,,,,,,19.0,,,40.0,19.0,17.0,19.0,21.0,,19.0,,40.0,,,6.7,,
Phoenix Suns,pacific,,,,,,,51.0,,,40.0,51.0,67.0,67.0,67.0,,67.0,,40.0,,,3.85,,
Sacramento Kings,pacific,,,,,,,126.0,,,200.0,126.0,126.0,151.0,101.0,,126.0,,200.0,,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.4,,,1.35,1.4,1.4,1.4,1.4,,1.4,,1.35,,,1.01,,
Houston Rockets,southwest,,,,,,,3.5,,,3.65,3.5,3.25,3.5,3.5,,3.5,,3.65,,,1.99,,
Memphis Grizzlies,southwest,,,,,,,17.0,,,18.0,21.0,17.0,21.0,17.0,,17.0,,18.0,,,4.23,,
Dallas Mavericks,southwest,,,,,,,21.0,,,35.0,23.0,23.0,26.0,34.0,,26.0,,35.0,,,7.65,,
New Orleans Pelicans,southwest,,,,,,,67.0,,,80.0,81.0,67.0,67.0,67.0,,67.0,,80.0,,,9.55,,
Brooklyn Nets,atlantic,,,,,,,1.62,,,1.6,1.67,1.67,1.67,1.7,,1.65,,1.6,,,1.68,,
New York Knicks,atlantic,,,,,,,3.4,,,3.3,3.4,3.4,3.4,3.3,,3.3,,3.3,,,1.97,,
Toronto Raptors,atlantic,,,,,,,8.0,,,7.0,7.5,7.0,7.0,6.0,,7.0,,7.0,,,2.99,,
Philadelphia 76ers,atlantic,,,,,,,21.0,,,40.0,26.0,21.0,21.0,21.0,,21.0,,40.0,,,2.95,,
Boston Celtics,atlantic,,,,,,,41.0,,,30.0,26.0,41.0,51.0,67.0,,34.0,,30.0,,,4.89,,
Indiana Pacers,central,,,,,,,,,,1.15,1.1,,,1.1,,,,1.15,,,,,
Chicago Bulls,central,,,,,,,,,,5.0,6.5,,,6.0,,,,5.0,,,1.99,,
Detroit Pistons,central,,,,,,,,,,40.0,41.0,,,41.0,,,,40.0,,,7.84,,
Cleveland Cavaliers,central,,,,,,,,,,100.0,67.0,,,67.0,,,,100.0,,,7.84,,
Milwaukee Bucks,central,,,,,,,,,,500.0,251.0,,,101.0,,,,500.0,,,10.0,,
Miami Heat,southeast,,,,,,,1.01,,,1.01,1.01,1.01,1.01,1.01,,1.01,,1.01,,,,,
Atlanta Hawks,southeast,,,,,,,19.0,,,20.0,21.0,17.0,21.0,19.0,,19.0,,20.0,,,6.7,,
Washington Wizards,southeast,,,,,,,21.0,,,25.0,26.0,21.0,29.0,27.0,,23.0,,25.0,,,6.7,,
Charlotte Bobcats,southeast,,,,,,,126.0,,,100.0,101.0,151.0,101.0,101.0,,126.0,,100.0,,,9.55,,
Orlando Magic,southeast,,,,,,,151.0,,,500.0,126.0,151.0,101.0,101.0,,151.0,,500.0,,,9.55,,
