name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.22,1.15,1.1893750000000001,1.2,1.1775,1.2
Miami Dolphins,AFC East,5.5,4.42,5.2450000000000001,5.5,5.0,5.5
Buffalo Bills,AFC East,26.0,9.55,21.159375000000001,21.0,20.5,23.75
New York Jets,AFC East,34.0,23.0,28.533333333333335,26.0,26.0,31.5
Cincinnati Bengals,AFC North,2.1,1.91,1.97,2.0,1.9099999999999999,2.0
Baltimore Ravens,AFC North,2.6,2.2,2.4768421052631582,2.5,2.5,2.5
Cleveland Browns,AFC North,9.0,4.89,6.4415789473684208,6.0,6.0,7.0
Pittsburgh Steelers,AFC North,21.0,11.0,16.368421052631579,17.0,15.0,17.0
Houston Texans,AFC South,2.25,1.91,2.078333333333334,2.1000000000000001,2.0,2.1000000000000001
Indianapolis Colts,AFC South,2.4,2.2,2.2611111111111111,2.25,2.2125000000000004,2.2925
Tennessee Titans,AFC South,7.0,2.95,5.094444444444445,5.0,5.0,5.5
Jacksonville Jaguars,AFC South,1001.0,4.89,415.81705882352941,500.0,251.0,501.0
Denver Broncos,AFC West,1.17,1.1,1.1389473684210527,1.1399999999999999,1.1399999999999999,1.1499999999999999
Kansas City Chiefs,AFC West,6.0,4.89,5.4152631578947368,5.5,5.0,5.5
San Diego Chargers,AFC West,26.0,10.5,20.394736842105264,21.0,20.5,21.0
Oakland Raiders,AFC West,276.0,28.0,190.47368421052633,201.0,151.0,251.0
Dallas Cowboys,NFC East,2.25,1.77,2.0694736842105264,2.1000000000000001,2.0,2.1749999999999998
Washington Redskins,NFC East,4.51,3.5,3.8847368421052635,3.75,3.75,4.0
Philadelphia Eagles,NFC East,5.0,3.85,4.4831578947368413,4.5,4.165,4.75
New York Giants,NFC East,8.0,6.0,6.8926315789473689,7.0,6.5,7.5
Green Bay Packers,NFC North,2.3,1.95,2.1921052631578952,2.2000000000000002,2.2000000000000002,2.2000000000000002
Chicago Bears,NFC North,3.38,2.75,2.9810526315789474,3.0,2.9399999999999999,3.0
Detroit Lions,NFC North,4.5,3.14,3.6126315789473686,3.5,3.5,3.75
Minnesota Vikings,NFC North,40.0,21.0,25.263157894736842,23.0,21.0,27.5
New Orleans Saints,NFC South,1.25,1.1,1.19625,1.2,1.1924999999999999,1.22
Atlanta Falcons,NFC South,7.5,5.94,6.6524999999999999,6.75,6.375,7.0
Carolina Panthers,NFC South,9.5,7.5,8.2681249999999995,8.25,7.5,8.8424999999999994
Tampa Bay Buccaneers,NFC South,251.0,40.0,78.25,67.0,67.0,67.0
Seattle Seahawks,NFC West,1.35,1.2,1.2710526315789474,1.26,1.25,1.29
San Francisco 49ers,NFC West,4.0,3.14,3.620526315789474,3.75,3.5499999999999998,3.75
St Louis Rams,NFC West,67.0,9.55,48.818421052631578,51.0,45.5,51.0
Arizona Cardinals,NFC West,67.0,11.4,38.968421052631577,35.0,34.0,41.0
