name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.27,1.2,1.2349999999999999,1.2349999999999999,1.2174999999999998,1.2524999999999999
Miami Dolphins,AFC East,5.5,5.5,5.5,5.5,5.5,5.5
New York Jets,AFC East,21.0,21.0,21.0,21.0,21.0,21.0
Buffalo Bills,AFC East,26.0,9.55,17.774999999999999,17.774999999999999,13.662500000000001,21.887499999999999
Cincinnati Bengals,AFC North,1.91,1.01,1.46,1.46,1.2350000000000001,1.6849999999999998
Baltimore Ravens,AFC North,2.62,1.01,1.8149999999999999,1.8149999999999999,1.4125000000000001,2.2175000000000002
Cleveland Browns,AFC North,6.0,1.95,3.9750000000000001,3.9750000000000001,2.9624999999999999,4.9874999999999998
Pittsburgh Steelers,AFC North,26.0,20.0,23.0,23.0,21.5,24.5
Houston Texans,AFC South,1.28,1.28,1.28,1.28,1.28,1.28
Indianapolis Colts,AFC South,1.5,1.5,1.5,1.5,1.5,1.5
Jacksonville Jaguars,AFC South,2.9,2.9,2.8999999999999999,2.8999999999999999,2.8999999999999999,2.8999999999999999
Denver Broncos,AFC West,1.17,1.14,1.1549999999999998,1.1549999999999998,1.1475,1.1624999999999999
Kansas City Chiefs,AFC West,5.5,5.5,5.5,5.5,5.5,5.5
San Diego Chargers,AFC West,26.0,1.99,13.994999999999999,13.994999999999999,7.9924999999999997,19.997499999999999
Oakland Raiders,AFC West,201.0,19.0,110.0,110.0,64.5,155.5
Dallas Cowboys,NFC East,2.25,1.71,1.98,1.98,1.845,2.1150000000000002
Washington Redskins,NFC East,3.52,3.5,3.5099999999999998,3.5099999999999998,3.5049999999999999,3.5150000000000001
Philadelphia Eagles,NFC East,3.5,3.5,3.5,3.5,3.5,3.5
New York Giants,NFC East,11.0,9.17,10.085000000000001,10.085000000000001,9.6274999999999995,10.5425
Green Bay Packers,NFC North,1.8,1.79,1.7949999999999999,1.7949999999999999,1.7925,1.7975000000000001
Chicago Bears,NFC North,3.75,3.42,3.585,3.585,3.5024999999999999,3.6675
Detroit Lions,NFC North,4.5,4.5,4.5,4.5,4.5,4.5
Minnesota Vikings,NFC North,17.0,11.0,14.0,14.0,12.5,15.5
New Orleans Saints,NFC South,1.1,1.1,1.1000000000000001,1.1000000000000001,1.1000000000000001,1.1000000000000001
Atlanta Falcons,NFC South,7.0,1.4,4.2000000000000002,4.2000000000000002,2.7999999999999998,5.5999999999999996
Carolina Panthers,NFC South,17.0,4.89,10.945,10.945,7.9174999999999995,13.9725
Tampa Bay Buccaneers,NFC South,81.0,9.55,45.274999999999999,45.274999999999999,27.412500000000001,63.137500000000003
Seattle Seahawks,NFC West,1.27,1.27,1.27,1.27,1.27,1.27
St Louis Rams,NFC West,8.79,8.79,8.7899999999999991,8.7899999999999991,8.7899999999999991,8.7899999999999991
Arizona Cardinals,NFC West,14.8,14.8,14.800000000000001,14.800000000000001,14.800000000000001,14.800000000000001
