name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.18,1.12,1.1478947368421051,1.1499999999999999,1.1399999999999999,1.1499999999999999
Miami Dolphins,AFC East,6.0,5.09,5.8468421052631578,6.0,5.75,6.0
New York Jets,AFC East,23.0,17.0,19.842105263157894,21.0,19.0,21.0
Buffalo Bills,AFC East,101.0,34.0,45.842105263157897,41.0,38.5,51.0
Cincinnati Bengals,AFC North,1.67,1.5,1.5815789473684214,1.5700000000000001,1.5600000000000001,1.6100000000000001
Baltimore Ravens,AFC North,3.5,2.88,3.145,3.2000000000000002,3.0,3.25
Cleveland Browns,AFC North,10.0,7.46,8.9978947368421061,9.0,8.5,9.5
Pittsburgh Steelers,AFC North,27.0,15.0,20.0,20.0,17.0,23.0
Indianapolis Colts,AFC South,1.44,1.33,1.3811111111111112,1.3999999999999999,1.3600000000000001,1.3999999999999999
Houston Texans,AFC South,7.46,4.5,5.1783333333333328,5.0,5.0,5.0
Tennessee Titans,AFC South,6.0,5.0,5.5049999999999999,5.5,5.1924999999999999,5.875
Jacksonville Jaguars,AFC South,1001.0,251.0,772.75,751.0,576.0,1001.0
Denver Broncos,AFC West,1.26,1.12,1.1600000000000001,1.1399999999999999,1.1399999999999999,1.1749999999999998
Kansas City Chiefs,AFC West,5.5,4.33,4.9231578947368417,5.0,4.7300000000000004,5.0
San Diego Chargers,AFC West,81.0,21.0,34.842105263157897,34.0,31.5,34.5
Oakland Raiders,AFC West,501.0,10.0,217.15789473684211,201.0,200.0,251.0
Dallas Cowboys,NFC East,1.83,1.55,1.7252631578947373,1.73,1.6699999999999999,1.8
Philadelphia Eagles,NFC East,2.75,2.3,2.5168421052631573,2.5,2.3399999999999999,2.6200000000000001
Washington Redskins,NFC East,11.0,6.89,9.1784210526315775,9.0,9.0,10.0
New York Giants,NFC East,67.0,17.1,50.321052631578951,51.0,41.0,59.0
Green Bay Packers,NFC North,1.8,1.65,1.7121052631578944,1.73,1.6699999999999999,1.73
Chicago Bears,NFC North,4.14,3.5,3.9073684210526314,4.0,3.75,4.0
Detroit Lions,NFC North,4.5,3.42,3.9615789473684209,4.0,4.0,4.0
Minnesota Vikings,NFC North,81.0,51.0,68.05263157894737,67.0,67.0,67.0
New Orleans Saints,NFC South,1.13,1.07,1.0931578947368421,1.1000000000000001,1.0800000000000001,1.1000000000000001
Carolina Panthers,NFC South,9.0,3.33,8.1489473684210534,8.5,8.0,9.0
Atlanta Falcons,NFC South,21.0,11.0,15.444444444444445,15.0,13.5,16.5
Tampa Bay Buccaneers,NFC South,301.0,100.0,158.94444444444446,151.0,122.25,151.0
Seattle Seahawks,NFC West,1.44,1.29,1.369473684210526,1.3600000000000001,1.3600000000000001,1.3999999999999999
San Francisco 49ers,NFC West,3.5,2.7,3.0284210526315789,3.0,3.0,3.0
St Louis Rams,NFC West,51.0,8.79,36.199473684210524,34.0,34.0,40.5
Arizona Cardinals,NFC West,81.0,34.0,60.578947368421055,67.0,51.0,71.5
