name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.25,1.2,1.2192307692307696,1.22,1.22,1.22
Miami Dolphins,AFC East,5.0,4.04,4.695384615384615,4.5,4.5,5.0
New York Jets,AFC East,34.0,17.0,26.166666666666668,26.0,25.25,26.75
Buffalo Bills,AFC East,41.0,9.55,24.196153846153848,26.0,21.0,26.0
Cincinnati Bengals,AFC North,2.1,1.91,1.97,1.9750000000000001,1.9099999999999999,2.0
Baltimore Ravens,AFC North,2.62,2.38,2.5,2.5,2.5,2.5
Cleveland Browns,AFC North,9.0,3.85,6.5653846153846152,7.0,6.0,7.0
Pittsburgh Steelers,AFC North,19.0,5.75,15.51923076923077,17.0,15.0,17.0
Houston Texans,AFC South,2.25,1.76,2.0707692307692311,2.1000000000000001,2.0,2.1000000000000001
Indianapolis Colts,AFC South,2.4,1.76,2.2415384615384615,2.25,2.25,2.2999999999999998
Tennessee Titans,AFC South,7.0,4.5,5.229166666666667,5.0,4.9375,5.5
Jacksonville Jaguars,AFC South,1001.0,1.95,389.53461538461539,401.0,251.0,501.0
Denver Broncos,AFC West,1.15,1.12,1.1400000000000001,1.1399999999999999,1.1399999999999999,1.1399999999999999
Kansas City Chiefs,AFC West,5.5,5.0,5.375,5.5,5.375,5.5
San Diego Chargers,AFC West,21.0,19.0,20.833333333333332,21.0,21.0,21.0
Oakland Raiders,AFC West,276.0,19.0,192.76923076923077,201.0,201.0,251.0
Dallas Cowboys,NFC East,2.25,1.38,2.0484615384615386,2.1000000000000001,2.0,2.2000000000000002
Washington Redskins,NFC East,4.0,3.18,3.7484615384615383,3.75,3.75,3.7999999999999998
Philadelphia Eagles,NFC East,5.0,3.71,4.554615384615385,4.5,4.5,5.0
New York Giants,NFC East,7.5,5.94,6.6876923076923074,6.5,6.0,7.5
Green Bay Packers,NFC North,2.3,1.95,2.1961538461538459,2.2000000000000002,2.2000000000000002,2.2000000000000002
Chicago Bears,NFC North,3.0,2.14,2.8953846153846152,3.0,3.0,3.0
Detroit Lions,NFC North,4.5,2.73,3.6446153846153844,3.75,3.5,3.75
Minnesota Vikings,NFC North,26.0,5.94,21.841538461538462,23.0,21.0,26.0
New Orleans Saints,NFC South,1.29,1.12,1.2407692307692306,1.25,1.25,1.25
Atlanta Falcons,NFC South,6.5,2.95,5.8423076923076929,6.0,6.0,6.0
Carolina Panthers,NFC South,11.0,7.0,8.0,8.0,7.5,8.0
Tampa Bay Buccaneers,NFC South,81.0,51.0,65.5,67.0,67.0,67.0
Seattle Seahawks,NFC West,1.29,1.2,1.256153846153846,1.25,1.25,1.29
San Francisco 49ers,NFC West,4.0,3.09,3.6646153846153848,3.75,3.6000000000000001,3.75
St Louis Rams,NFC West,67.0,8.6,50.58461538461539,51.0,51.0,67.0
Arizona Cardinals,NFC West,67.0,11.4,40.41538461538461,41.0,34.0,41.0
