name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.13,1.09,1.1143750000000001,1.1200000000000001,1.1100000000000001,1.1200000000000001
Miami Dolphins,AFC East,14.8,9.0,9.7375000000000007,9.0,9.0,10.0
New York Jets,AFC East,15.0,6.89,12.805624999999999,13.0,13.0,13.5
Buffalo Bills,AFC East,34.0,9.55,30.846875000000001,34.0,29.0,34.0
Cincinnati Bengals,AFC North,1.22,1.1,1.1243749999999999,1.1200000000000001,1.1074999999999999,1.1225000000000001
Baltimore Ravens,AFC North,7.0,4.71,6.3881249999999996,6.5,6.0,7.0
Pittsburgh Steelers,AFC North,57.0,23.0,34.875,34.0,29.0,41.0
Cleveland Browns,AFC North,51.0,24.0,35.875,34.0,32.0,41.0
Indianapolis Colts,AFC South,1.12,1.06,1.0974999999999999,1.1000000000000001,1.0975000000000001,1.1100000000000001
Tennessee Titans,AFC South,11.0,7.65,9.1656250000000004,9.0,8.5,10.0
Houston Texans,AFC South,19.0,11.0,13.0625,13.0,12.75,13.0
Jacksonville Jaguars,AFC South,1001.0,684.0,969.29999999999995,1001.0,1001.0,1001.0
Denver Broncos,AFC West,1.4,1.3,1.341764705882353,1.3300000000000001,1.3300000000000001,1.3600000000000001
Kansas City Chiefs,AFC West,3.5,2.8,3.1347058823529408,3.0,3.0,3.25
San Diego Chargers,AFC West,62.0,19.0,31.470588235294116,34.0,26.0,34.0
Oakland Raiders,AFC West,501.0,24.0,243.52941176470588,251.0,151.0,301.0
Dallas Cowboys,NFC East,1.45,1.31,1.4123529411764704,1.4399999999999999,1.3999999999999999,1.4399999999999999
Philadelphia Eagles,NFC East,7.08,4.33,5.0829411764705883,5.0,4.5,5.0
Washington Redskins,NFC East,8.5,5.46,7.6741176470588242,8.0,7.5,8.0
New York Giants,NFC East,15.0,4.89,12.758235294117647,13.0,13.0,13.0
Green Bay Packers,NFC North,1.4,1.28,1.3276470588235294,1.3300000000000001,1.3300000000000001,1.3300000000000001
Detroit Lions,NFC North,4.5,2.99,4.1423529411764699,4.25,4.0,4.3300000000000001
Chicago Bears,NFC North,13.0,6.5,8.9647058823529413,8.5,8.5,9.0
Minnesota Vikings,NFC North,276.0,12.9,190.2294117647059,201.0,201.0,251.0
New Orleans Saints,NFC South,1.15,1.07,1.1011764705882352,1.1000000000000001,1.0800000000000001,1.1100000000000001
Carolina Panthers,NFC South,6.5,5.0,6.0958823529411763,6.5,5.5,6.5
Atlanta Falcons,NFC South,114.0,34.0,50.470588235294116,51.0,41.0,51.0
Tampa Bay Buccaneers,NFC South,1001.0,380.0,799.09090909090912,1001.0,501.0,1001.0
Seattle Seahawks,NFC West,1.45,1.31,1.4141176470588233,1.4399999999999999,1.3999999999999999,1.4399999999999999
San Francisco 49ers,NFC West,2.88,2.55,2.6870588235294126,2.6200000000000001,2.6200000000000001,2.75
Arizona Cardinals,NFC West,101.0,15.3,54.899999999999999,51.0,51.0,51.0
St Louis Rams,NFC West,151.0,26.0,110.41176470588235,101.0,101.0,151.0
