name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.33,1.25,1.2894999999999999,1.3,1.28,1.3
Miami Dolphins,AFC East,4.5,3.85,4.2452631578947368,4.3300000000000001,4.0,4.3300000000000001
Buffalo Bills,AFC East,20.0,15.0,16.421052631578949,17.0,15.0,17.0
New York Jets,AFC East,21.0,17.0,19.949999999999999,21.0,19.0,21.0
Cincinnati Bengals,AFC North,2.1,1.9,2.0063157894736845,2.0,1.9750000000000001,2.0750000000000002
Baltimore Ravens,AFC North,2.88,2.42,2.7568421052631584,2.75,2.75,2.7749999999999999
Pittsburgh Steelers,AFC North,6.0,4.75,5.2036842105263155,5.0,5.0,5.5
Cleveland Browns,AFC North,21.0,12.0,14.6,15.0,13.0,15.0
Houston Texans,AFC South,1.37,1.25,1.3005000000000002,1.3,1.29,1.3
Indianapolis Colts,AFC South,5.0,4.14,4.6236842105263154,4.5,4.5,5.0
Tennessee Titans,AFC South,8.5,5.75,7.8289473684210522,8.0,8.0,8.0
Jacksonville Jaguars,AFC South,225.0,20.0,143.30000000000001,151.0,101.0,201.0
Denver Broncos,AFC West,1.2,1.14,1.1766666666666667,1.1799999999999999,1.1699999999999999,1.1799999999999999
Kansas City Chiefs,AFC West,6.0,5.0,5.6247368421052633,5.5,5.5,6.0
San Diego Chargers,AFC West,17.0,9.55,13.239473684210527,13.0,12.5,15.0
Oakland Raiders,AFC West,81.0,51.0,65.10526315789474,67.0,60.0,67.0
Dallas Cowboys,NFC East,3.0,2.5,2.8015789473684207,2.7999999999999998,2.75,2.8799999999999999
Philadelphia Eagles,NFC East,4.0,3.14,3.6021052631578954,3.6000000000000001,3.5,3.75
New York Giants,NFC East,4.23,3.4,3.8621052631578952,3.75,3.75,4.0
Washington Redskins,NFC East,5.0,3.75,4.4842105263157892,4.5,4.3300000000000001,4.5
Green Bay Packers,NFC North,1.67,1.55,1.6385000000000001,1.6499999999999999,1.6200000000000001,1.6699999999999999
Chicago Bears,NFC North,3.25,2.81,3.0175000000000005,3.0,3.0,3.0249999999999999
Detroit Lions,NFC North,8.5,7.0,7.8463157894736852,8.0,8.0,8.0
Minnesota Vikings,NFC North,26.0,15.0,19.905000000000001,20.5,17.774999999999999,21.0
New Orleans Saints,NFC South,2.1,1.79,1.9750000000000001,2.0,2.0,2.0
Atlanta Falcons,NFC South,2.5,2.2,2.2994999999999997,2.25,2.25,2.3799999999999999
Carolina Panthers,NFC South,11.0,8.79,10.120526315789473,10.0,9.75,11.0
Tampa Bay Buccaneers,NFC South,15.0,9.0,12.444444444444445,13.0,11.0,13.0
Seattle Seahawks,NFC West,1.8,1.53,1.6938095238095239,1.7,1.6699999999999999,1.73
San Francisco 49ers,NFC West,2.88,2.25,2.4295,2.3799999999999999,2.3799999999999999,2.4399999999999999
St Louis Rams,NFC West,15.3,10.0,12.715,13.0,11.75,13.0
Arizona Cardinals,NFC West,34.0,16.2,28.104761904761908,29.0,26.0,34.0
