name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Swansea,a,1.4,1.44,,1.4,1.44,,1.29,1.5,1.36,1.4,1.4,,1.44,1.44,,1.4,1.4,1.4,,1.4,,1.4,,
Valencia,a,3.5,3.25,,3.5,3.25,,4.0,3.4,3.5,3.5,3.75,,3.25,3.25,,3.5,3.5,3.6,,3.75,,3.38,,
St Gallen,a,13.0,11.0,,11.0,11.0,,15.0,12.0,11.0,12.0,11.0,,11.0,11.0,,10.0,12.0,14.0,,12.0,,10.5,,
Kuban Krasnodar,a,67.0,34.0,,29.0,51.0,,67.0,23.0,51.0,50.0,26.0,,26.0,51.0,,51.0,50.0,67.0,,51.0,,32.0,,
Ludogorets,b,2.1,2.1,,2.0,2.1,,1.8,2.1,2.2,2.15,1.91,,,1.9,,2.1,2.15,2.1,,2.1,,2.01,,
PSV Eindhoven,b,2.25,2.25,,2.25,2.25,,2.5,2.25,2.1,2.2,2.3,,,2.3,,2.2,2.2,2.3,,2.3,,2.08,,
Chernomorets Odessa,b,7.0,7.0,,7.0,7.0,,8.0,7.0,6.5,6.5,7.0,,,7.5,,7.0,6.5,7.0,,7.5,,6.13,,
Din Zagreb,b,34.0,26.0,,34.0,26.0,,26.0,41.0,,30.0,51.0,,,41.0,,26.0,30.0,41.0,,26.0,,38.0,,
Salzburg,c,1.25,1.25,,1.25,1.29,,1.25,1.25,1.25,1.25,1.2,,,1.22,,1.25,1.25,1.25,,1.25,,1.19,,
Esbjerg fB,c,8.0,8.0,,7.0,7.0,,7.0,7.0,8.0,7.5,9.0,,,8.0,,7.5,7.5,7.55,,8.0,,7.65,,
Standard Liege,c,7.5,7.5,,7.0,7.0,,9.0,7.0,6.5,7.5,7.5,,,7.5,,7.5,7.5,7.5,,8.0,,7.65,,
Elfsborg,c,29.0,26.0,,26.0,26.0,,17.0,21.0,26.0,25.0,26.0,,,26.0,,25.0,25.0,29.0,,26.0,,23.0,,
Rubin Kazan,d,1.18,1.17,,1.17,1.17,,1.14,1.17,1.2,1.17,1.14,,1.17,1.16,,1.16,1.17,1.18,,1.18,,1.13,,
Wigan,d,5.0,5.0,,5.0,5.5,,5.5,5.5,4.5,5.25,5.5,,5.0,5.0,,5.25,5.25,5.0,,5.5,,4.89,,
Zulte Waregem,d,26.0,21.0,,23.0,17.0,,21.0,23.0,17.0,20.0,23.0,,21.0,23.0,,20.0,20.0,26.0,,21.0,,19.0,,
Maribor,d,101.0,101.0,,101.0,101.0,,101.0,101.0,81.0,100.0,126.0,,67.0,101.0,,101.0,100.0,101.0,,101.0,,95.0,,
Fiorentina,e,1.11,1.12,,1.11,1.11,,1.1,1.11,1.13,1.1,1.11,,,1.11,,1.11,1.1,1.12,,1.12,,1.06,,
Dnipro,e,7.0,6.5,,6.5,6.5,,6.5,7.0,6.0,6.5,6.5,,,6.5,,6.0,6.5,7.0,,7.0,,6.13,,
Pacos Ferreira,e,34.0,34.0,,34.0,34.0,,41.0,46.0,26.0,35.0,51.0,,,34.0,,34.0,35.0,41.0,,41.0,,38.0,,
Pandurii,e,51.0,51.0,,41.0,51.0,,51.0,56.0,41.0,50.0,41.0,,,51.0,,51.0,50.0,51.0,,51.0,,48.0,,
Eintracht Frankfurt,f,1.13,1.12,,1.17,1.2,,1.12,1.25,1.2,1.13,1.15,,,1.14,,1.13,1.13,1.13,,1.15,,1.1,,
Maccabi Tel Aviv,f,7.5,7.5,,5.5,4.5,,8.0,4.5,5.0,7.0,6.0,,,6.5,,7.0,7.0,7.5,,7.0,,6.7,,
APOEL Nicosia,f,34.0,26.0,,26.0,34.0,,17.0,23.0,26.0,25.0,26.0,,,26.0,,25.0,25.0,34.0,,29.0,,23.0,,
Bordeaux,f,26.0,26.0,,26.0,34.0,,26.0,26.0,21.0,25.0,26.0,,,29.0,,25.0,25.0,29.0,,26.0,,23.0,,
Genk,g,1.4,1.4,,1.4,1.4,,1.5,1.4,1.33,1.4,1.44,,,1.44,,1.4,1.4,1.4,,1.45,,1.36,,
Dynamo Kiev,g,4.0,4.0,,4.0,4.0,,3.5,3.6,4.0,4.0,4.0,,,3.75,,4.0,4.0,4.0,,4.0,,3.66,,
Thun,g,10.0,10.0,,9.0,10.0,,9.0,11.0,9.0,9.5,8.0,,,9.5,,10.0,9.5,9.25,,10.0,,8.6,,
Rapid Vienna,g,34.0,26.0,,26.0,26.0,,17.0,23.0,51.0,30.0,19.0,,,21.0,,21.0,30.0,36.0,,26.0,,29.0,,
Sevilla,h,1.25,1.25,,1.22,1.25,,1.22,1.25,1.2,1.25,1.14,,,1.22,,1.2,1.25,1.25,,1.25,,1.19,,
Slovan Liberec,h,5.0,4.5,,4.5,4.5,,4.33,4.5,5.0,4.5,5.5,,,4.5,,5.0,4.5,5.0,,5.0,,4.32,,
Freiburg,h,13.0,15.0,,15.0,13.0,,17.0,17.0,13.0,14.0,17.0,,,15.0,,14.0,14.0,15.0,,15.0,,13.4,,
Estoril,h,67.0,67.0,,81.0,67.0,,101.0,101.0,67.0,65.0,81.0,,,101.0,,67.0,65.0,67.0,,81.0,,67.0,,
Betis,i,2.63,2.62,,2.5,2.5,,2.5,2.6,2.62,2.55,2.5,,,2.5,,2.55,2.55,2.6,,2.6,,2.31,,
Lyon,i,2.63,2.62,,2.5,2.5,,2.5,2.6,2.75,2.55,2.75,,,2.6,,2.55,2.55,2.6,,2.75,,2.48,,
Guimaraes,i,3.25,3.25,,3.3,3.5,,3.25,3.0,3.0,3.3,3.1,,,3.25,,3.3,3.3,3.25,,3.2,,2.99,,
Rijeka,i,41.0,51.0,,41.0,51.0,,67.0,41.0,29.0,50.0,29.0,,,51.0,,50.0,50.0,41.0,,51.0,,48.0,,
Lazio,j,1.4,1.4,,1.4,1.4,,1.4,1.44,1.33,1.4,1.4,,,1.4,,1.4,1.4,1.37,,1.45,,1.33,,
Trabzonspor,j,3.75,3.75,,3.75,3.75,,3.75,3.4,3.6,3.65,3.6,,,3.6,,3.65,3.65,3.75,,3.6,,3.47,,
