name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Valencia,a,1.91,1.73,1.62,2.0,1.62,1.95,1.73,1.67,1.8,1.75,2.0,1.67,1.83,1.67,,1.75,1.75,1.7,2.0,1.75,,1.79,,
Swansea,a,3.5,3.75,3.75,3.5,3.75,3.75,3.5,3.75,3.75,3.75,3.5,3.5,3.25,3.5,,3.5,3.75,3.5,3.0,3.75,,3.47,,
Kuban Krasnodar,a,4.5,5.0,6.0,4.0,6.0,4.0,5.5,5.0,4.5,4.0,4.0,7.0,5.5,6.0,,5.5,4.0,6.0,4.5,5.0,,5.27,,
St Gallen,a,17.0,15.0,15.0,12.0,15.0,11.0,17.0,15.0,13.0,12.0,12.0,13.0,11.0,15.0,,12.0,12.0,17.0,17.0,15.0,,13.4,,
PSV Eindhoven,b,1.44,1.44,1.4,1.62,1.4,1.36,1.44,1.36,1.53,1.4,1.4,1.4,1.44,1.4,,1.5,1.4,1.38,1.36,1.4,,1.5,,
Din Zagreb,b,5.5,4.5,4.5,4.5,4.5,6.0,4.5,4.5,,4.5,4.5,5.0,4.5,4.75,,4.5,4.5,4.75,4.33,4.5,,4.8,,
Chernomorets Odessa,b,7.0,9.0,11.0,7.0,11.0,8.0,11.0,10.0,6.5,8.0,13.0,11.0,9.0,10.0,,8.0,8.0,11.0,11.0,11.0,,8.6,,
Ludogorets,b,13.0,11.0,11.0,7.5,11.0,10.5,9.0,13.0,8.5,9.0,9.0,9.0,10.0,11.0,,9.0,9.0,13.0,17.0,13.0,,10.5,,
Standard Liege,c,1.91,1.91,2.0,2.38,2.0,1.9,2.0,2.0,2.38,1.85,1.8,2.38,2.0,1.65,,2.0,1.85,1.75,1.91,1.8,,1.97,,
Salzburg,c,2.88,2.75,2.75,3.0,2.75,2.9,3.0,2.88,2.5,2.8,2.88,3.0,2.75,3.0,,2.65,2.8,3.0,2.88,3.0,,2.75,,
Elfsborg,c,9.5,9.0,8.0,5.5,8.0,8.0,6.0,7.0,6.5,6.0,9.0,6.0,7.0,10.0,,9.0,6.0,10.0,9.0,9.0,,7.65,,
Esbjerg fB,c,8.5,9.0,8.0,5.5,8.0,8.0,8.0,7.0,7.0,8.0,9.0,5.5,8.0,12.0,,9.0,8.0,10.0,8.0,9.0,,7.65,,
Rubin Kazan,d,1.57,1.5,1.73,1.57,1.73,1.44,1.67,1.5,1.53,1.6,1.53,1.67,1.67,1.62,,1.5,1.6,1.56,1.5,1.6,,1.58,,
Zulte Waregem,d,5.5,6.0,6.5,4.5,6.5,5.5,6.0,6.5,6.5,5.25,5.5,7.0,6.5,6.5,,6.0,5.25,5.5,5.0,6.0,,4.8,,
Wigan,d,6.5,6.0,5.5,8.0,5.5,7.0,7.0,6.5,4.5,5.25,7.0,4.5,5.0,5.5,,6.0,5.25,6.5,7.5,5.5,,6.51,,
Maribor,d,8.5,9.0,5.0,7.0,5.0,10.0,5.0,6.5,11.0,6.0,6.5,7.0,6.0,6.0,,8.0,6.0,8.0,9.0,7.0,,7.65,,
Fiorentina,e,1.57,1.62,1.62,1.67,1.62,1.65,1.73,1.62,1.62,1.65,1.57,1.44,1.53,1.6,,1.6,1.65,1.6,1.57,1.65,,1.58,,
Dnipro,e,3.6,3.5,3.75,3.75,3.75,3.2,3.25,3.1,3.25,2.7,3.75,3.75,3.75,3.6,,3.6,2.7,3.5,3.5,3.25,,3.38,,
Pacos Ferreira,e,8.5,7.0,6.0,7.0,6.0,7.0,6.0,8.5,7.5,12.0,6.5,7.0,7.0,6.5,,7.0,12.0,7.5,8.0,7.0,,6.7,,
Pandurii,e,17.0,17.0,17.0,10.0,17.0,17.0,17.0,15.0,15.0,7.0,15.0,13.0,13.0,17.0,,17.0,7.0,17.0,17.0,17.0,,13.4,,
Eintracht Frankfurt,f,2.0,2.2,2.25,2.38,2.25,2.55,2.0,2.5,2.38,2.35,2.25,2.25,2.2,2.3,,2.35,2.35,2.2,2.0,2.35,,2.35,,
Bordeaux,f,2.6,2.38,2.25,2.75,2.25,2.55,2.5,2.5,2.5,2.35,2.5,2.75,2.5,2.3,,2.35,2.35,2.4,2.5,2.5,,2.44,,
APOEL Nicosia,f,8.0,7.0,7.0,6.0,7.0,6.0,9.0,6.0,7.0,6.5,6.0,6.5,6.5,6.5,,7.0,6.5,7.0,8.0,6.0,,6.13,,
Maccabi Tel Aviv,f,12.0,11.0,12.0,6.0,12.0,6.0,11.0,6.5,6.5,6.5,9.0,7.0,8.0,10.0,,8.0,6.5,12.0,11.0,8.5,,7.46,,
Dynamo Kiev,g,1.62,1.67,1.67,1.67,1.67,1.67,1.67,1.73,1.4,1.7,1.67,1.83,1.73,1.67,,1.6,1.7,1.65,1.62,1.7,,1.6,,
Genk,g,3.8,4.0,4.0,4.0,4.0,3.8,3.25,3.2,5.0,4.0,3.75,3.75,3.75,3.6,,3.75,4.0,3.5,3.75,3.5,,3.76,,
Rapid Vienna,g,6.5,5.5,5.5,6.0,5.5,5.5,6.5,5.5,,6.25,5.5,5.0,5.0,5.0,,6.5,6.25,6.5,6.0,6.0,,5.27,,
Thun,g,17.0,15.0,11.0,11.0,11.0,13.0,17.0,15.0,11.0,5.75,13.0,11.0,11.0,19.0,,18.0,5.75,17.0,17.0,15.0,,9.55,,
Sevilla,h,1.83,1.73,1.73,1.91,1.73,1.75,1.73,1.83,1.73,1.7,1.62,1.73,1.73,1.62,,1.6,1.7,1.7,1.62,1.65,,1.63,,
Freiburg,h,2.75,3.0,3.0,3.0,3.0,3.25,2.62,2.4,3.25,3.0,3.0,3.5,3.0,2.75,,2.9,3.0,2.6,3.0,2.75,,2.95,,
Estoril,h,10.0,9.0,9.0,7.0,9.0,7.5,11.0,8.5,9.0,10.0,11.0,8.0,9.0,13.0,,15.0,10.0,13.0,11.0,12.0,,8.6,,
Slovan Liberec,h,12.0,11.0,10.0,9.0,10.0,9.0,17.0,19.0,8.0,7.0,13.0,9.0,9.0,15.0,,14.0,7.0,19.0,13.0,17.0,,9.55,,
Betis,i,2.2,2.2,2.2,2.2,2.2,2.1,1.91,2.0,2.2,2.0,2.1,2.1,2.1,2.15,,2.15,2.0,2.05,2.0,2.1,,2.03,,
Lyon,i,2.2,2.25,2.2,2.3,2.2,2.25,2.38,2.2,2.3,2.4,2.15,2.3,2.25,2.1,,2.15,2.4,2.2,2.2,2.2,,2.12,,
Guimaraes,i,8.5,8.0,8.0,7.5,8.0,8.5,10.0,8.5,7.5,7.5,9.0,8.0,8.0,8.5,,9.0,7.5,9.5,8.5,8.5,,6.7,,
Rijeka,i,15.0,13.0,13.0,11.0,13.0,13.0,13.0,19.0,10.0,9.0,13.0,13.0,13.0,17.0,,12.5,9.0,19.0,13.0,16.0,,11.4,,
Lazio,j,1.5,1.5,1.5,1.67,1.5,1.5,1.5,1.44,1.62,1.55,1.5,1.67,1.53,1.5,,1.6,1.55,1.5,1.4,1.5,,1.66,,
Trabzonspor,j,5.5,4.5,4.5,4.0,4.5,4.1,5.0,4.33,4.5,4.0,4.33,4.0,4.33,4.33,,4.25,4.0,4.5,4.33,4.5,,3.85,,
Legia Warsaw,j,7.0,7.5,7.0,7.0,7.0,8.5,6.0,7.5,5.5,6.0,7.0,6.0,6.5,7.0,,6.5,6.0,8.0,7.0,7.5,,6.7,,
Apollon Limassol,j,10.0,11.0,12.0,8.0,12.0,11.0,13.0,15.0,10.0,9.0,12.0,10.0,11.0,13.0,,9.5,9.0,11.0,15.0,11.0,,11.4,,
Tottenham,k,1.25,1.25,1.29,1.4,1.29,1.25,1.25,1.33,1.22,1.25,1.4,1.4,1.25,1.25,,1.26,1.25,1.25,1.25,1.25,,1.33,,
Anzhi Makhachkala,k,6.0,6.0,5.5,5.5,5.5,6.5,6.0,4.33,7.0,5.5,3.75,3.5,5.0,5.0,,5.0,5.5,5.5,5.0,5.5,,5.46,,
FC Sheriff,k,17.0,15.0,13.0,9.0,13.0,11.0,13.0,13.0,11.0,10.0,15.0,13.0,13.0,15.0,,15.0,10.0,17.0,13.0,13.0,,13.4,,
Tromso,k,15.0,15.0,13.0,9.0,13.0,13.0,17.0,15.0,15.0,10.0,15.0,26.0,19.0,17.0,,19.0,10.0,16.0,19.0,17.0,,14.3,,
AZ Alkmaar,l,1.83,1.73,1.67,1.83,1.67,1.73,1.62,1.62,1.8,1.75,1.62,1.73,1.62,1.72,,1.9,1.75,1.73,1.67,1.65,,1.87,,
PAOK Saloniki,l,3.4,3.75,3.75,3.75,3.75,3.25,3.5,3.6,3.0,3.25,3.75,4.0,3.75,3.75,,3.05,3.25,3.5,3.6,3.6,,3.57,,
Maccabi Haifa,l,7.5,7.0,7.0,6.5,7.0,7.0,9.0,8.0,7.0,6.5,7.5,6.0,6.5,6.5,,6.0,6.5,7.5,7.5,7.5,,5.75,,
Shakhter Karagandy,l,8.5,9.0,10.0,6.5,10.0,11.0,9.0,10.0,11.0,7.0,9.0,9.0,11.0,8.0,,10.0,7.0,10.0,9.5,10.0,,7.65,,
