name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Swansea,a,1.67,1.57,,1.62,1.62,,1.57,1.67,1.62,1.6,1.57,1.67,1.57,1.57,,1.57,1.6,1.67,1.6,,1.48,,
Valencia,a,2.25,2.5,,2.5,2.5,,2.5,2.5,2.25,2.5,2.5,2.25,2.5,2.4,,2.5,2.5,2.25,2.5,,1.28,,
St Gallen,a,26.0,21.0,,19.0,26.0,,21.0,15.0,101.0,25.0,19.0,21.0,17.0,21.0,,21.0,25.0,26.0,17.0,,4.8,,
Kuban Krasnodar,a,101.0,41.0,,29.0,51.0,,51.0,26.0,126.0,50.0,34.0,51.0,34.0,51.0,,34.0,50.0,101.0,34.0,,3.85,,
Ludogorets,b,1.25,1.25,,1.25,1.25,,1.25,1.25,1.2,1.25,1.22,1.29,,1.25,,1.25,1.25,1.25,1.3,,,,
PSV Eindhoven,b,3.75,3.75,,3.75,3.75,,3.75,3.75,4.0,3.75,4.0,3.5,,3.75,,3.75,3.75,3.75,3.75,,,,
Chernomorets Odessa,b,41.0,34.0,,34.0,41.0,,34.0,34.0,41.0,50.0,34.0,34.0,,34.0,,34.0,50.0,41.0,26.0,,,,
Din Zagreb,b,501.0,101.0,,67.0,101.0,,67.0,67.0,,250.0,301.0,101.0,,101.0,,67.0,250.0,501.0,51.0,,,,
Salzburg,c,1.17,1.14,,1.17,1.14,,1.12,1.17,1.17,1.15,1.09,1.12,1.17,1.14,,1.15,1.15,1.17,1.17,,,,
Esbjerg fB,c,4.5,5.0,,5.0,5.5,,5.5,5.0,5.0,5.0,5.5,5.0,5.0,5.0,,5.0,5.0,4.5,5.5,,2.18,,
Standard Liege,c,67.0,29.0,,26.0,41.0,,34.0,21.0,81.0,60.0,67.0,34.0,26.0,34.0,,26.0,60.0,67.0,26.0,,2.18,,
Elfsborg,c,201.0,81.0,,51.0,101.0,,67.0,41.0,126.0,200.0,501.0,201.0,81.0,101.0,,81.0,200.0,201.0,34.0,,2.18,,
Rubin Kazan,d,1.17,1.14,,1.14,1.17,,1.12,1.14,1.2,1.15,1.13,1.17,1.12,1.14,,1.13,1.15,1.17,1.14,,,,
