name,group,max,min,mean,median
Swansea,a,1.5,1.29,1.4068749999999994,1.3999999999999999
Valencia,a,4.0,3.25,3.4925000000000002,3.5
St Gallen,a,15.0,10.0,11.71875,11.0
Kuban Krasnodar,a,67.0,23.0,45.375,50.5
Ludogorets,b,2.2,1.8,2.0546666666666669,2.1000000000000001
PSV Eindhoven,b,2.5,2.08,2.2486666666666668,2.25
Chernomorets Odessa,b,8.0,6.13,6.9753333333333334,7.0
Din Zagreb,b,51.0,26.0,33.571428571428569,32.0
Salzburg,c,1.29,1.19,1.2433333333333334,1.25
Esbjerg fB,c,9.0,7.0,7.6466666666666665,7.5499999999999998
Standard Liege,c,9.0,6.5,7.4766666666666675,7.5
Elfsborg,c,29.0,17.0,25.066666666666666,26.0
Rubin Kazan,d,1.2,1.13,1.16625,1.1699999999999999
Wigan,d,5.5,4.5,5.165,5.125
Zulte Waregem,d,26.0,17.0,21.3125,21.0
Maribor,d,126.0,67.0,98.6875,101.0
Fiorentina,e,1.13,1.06,1.1079999999999999,1.1100000000000001
Dnipro,e,7.0,6.0,6.5419999999999998,6.5
Pacos Ferreira,e,51.0,26.0,37.200000000000003,35.0
Pandurii,e,56.0,41.0,49.0,51.0
Eintracht Frankfurt,f,1.25,1.1,1.1499999999999999,1.1299999999999999
Maccabi Tel Aviv,f,8.0,4.5,6.4800000000000004,7.0
APOEL Nicosia,f,34.0,17.0,26.600000000000001,26.0
Bordeaux,f,34.0,21.0,26.199999999999999,26.0
Genk,g,1.5,1.33,1.4099999999999999,1.3999999999999999
Dynamo Kiev,g,4.0,3.5,3.9006666666666669,4.0
Thun,g,11.0,8.0,9.4900000000000002,9.5
Rapid Vienna,g,51.0,17.0,27.666666666666668,26.0
Sevilla,h,1.25,1.14,1.226,1.25
Slovan Liberec,h,5.5,4.33,4.7293333333333329,4.5
Freiburg,h,17.0,13.0,14.693333333333333,15.0
Estoril,h,101.0,65.0,76.333333333333329,67.0
Betis,i,2.63,2.31,2.5420000000000003,2.5499999999999998
Lyon,i,2.75,2.48,2.5953333333333335,2.6000000000000001
Guimaraes,i,3.5,2.99,3.2160000000000002,3.25
Rijeka,i,67.0,29.0,46.06666666666667,50.0
Lazio,j,1.45,1.33,1.3946666666666667,1.3999999999999999
Trabzonspor,j,3.75,3.4,3.6480000000000001,3.6499999999999999
Apollon Limassol,j,17.0,9.0,11.300000000000001,11.0
Legia Warsaw,j,56.0,26.0,43.399999999999999,48.0
Tottenham,k,1.03,1.01,1.0199999999999998,1.02
Anzhi Makhachkala,k,21.0,13.0,17.5,18.0
FC Sheriff,k,51.0,21.0,36.0625,34.0
Tromso,k,81.0,40.0,60.3125,67.0
AZ Alkmaar,l,1.8,1.65,1.6866666666666665,1.6699999999999999
PAOK Saloniki,l,2.38,1.95,2.2726666666666668,2.2999999999999998
Maccabi Haifa,l,26.0,15.0,22.266666666666666,23.0
Shakhter Karagandy,l,41.0,26.0,30.133333333333333,30.0
