name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Salzburg,c,,,,,,,,1.07,,,,,,,,,,,,,,,
Esbjerg fB,c,,,,,,,,7.0,,,,,,,,,,,,,,,
Fiorentina,e,,,,,,,,1.17,,,,,,,,,,,,,,,
Dnipro,e,,,,,,,,4.5,,,,,,,,,,,,,,,
Betis,i,,,,,,,,1.73,,,,,,,,,,,,,,,
Lyon,i,,,,,,,,1.91,,,,,,,,,,,,,,,
Lazio,j,,,,,,,,1.44,,,,,,,,,,,,,,,
Trabzonspor,j,,,,,,,,2.62,,,,,,,,,,,,,,,
PAOK Saloniki,l,,,,,,,,1.73,,,,,,,,,,,,,,,
AZ Alkmaar,l,,,,,,,,2.0,,,,,,,,,,,,,,,
