name,group,max,min,mean,median
Swansea,a,1.67,1.53,1.6192857142857142,1.6200000000000001
Valencia,a,5.0,3.4,3.9285714285714284,3.75
St Gallen,a,8.5,6.0,7.3714285714285719,7.5
Kuban Krasnodar,a,13.0,8.0,10.396428571428572,10.0
PSV Eindhoven,b,2.88,2.25,2.5430769230769235,2.5
Chernomorets Odessa,b,3.75,1.24,3.1335714285714285,3.25
Ludogorets,b,5.0,1.24,3.4907142857142861,3.5
Din Zagreb,b,9.0,1.24,7.3646153846153846,8.0
Salzburg,c,1.8,1.1,1.6392857142857142,1.6699999999999999
Standard Liege,c,4.5,1.69,3.9178571428571423,4.0
Esbjerg fB,c,5.0,1.48,4.5099999999999998,5.0
Elfsborg,c,21.0,1.69,17.692142857142859,18.5
Rubin Kazan,d,1.33,1.19,1.2600000000000002,1.25
Wigan,d,6.5,5.0,5.7678571428571432,5.875
Zulte Waregem,d,10.0,7.65,8.7964285714285726,9.0
Maribor,d,41.0,20.0,28.571428571428573,27.5
Fiorentina,e,1.5,1.4,1.4569230769230768,1.4399999999999999
Dnipro,e,3.0,1.48,2.8292857142857137,3.0
Pacos Ferreira,e,31.0,17.0,22.53846153846154,21.0
Pandurii,e,41.0,34.0,37.07692307692308,34.0
Eintracht Frankfurt,f,1.53,1.4,1.4776923076923079,1.5
Bordeaux,f,5.0,1.95,4.21,4.3300000000000001
APOEL Nicosia,f,9.0,1.95,7.5678571428571431,8.25
Maccabi Tel Aviv,f,15.0,1.95,12.067857142857141,13.0
Genk,g,2.1,1.85,1.9899999999999998,2.0
Dynamo Kiev,g,2.9,2.25,2.6476923076923078,2.7000000000000002
Thun,g,8.5,2.9,6.6000000000000005,7.0
Rapid Vienna,g,17.0,10.0,11.75,11.0
Sevilla,h,1.45,1.33,1.3838461538461537,1.3600000000000001
Freiburg,h,6.0,1.95,4.805714285714286,5.0
Slovan Liberec,h,9.0,1.95,7.0678571428571431,7.25
Estoril,h,36.0,1.95,22.99642857142857,23.0
Lyon,i,2.38,1.48,2.1899999999999999,2.25
Betis,i,2.5,1.48,2.3171428571428572,2.3899999999999997
Guimaraes,i,5.0,4.0,4.6253846153846148,4.5
Rijeka,i,67.0,26.0,41.615384615384613,41.0
Lazio,j,1.45,1.4,1.4238461538461533,1.4399999999999999
Trabzonspor,j,4.0,3.3,3.6153846153846154,3.5
Legia Warsaw,j,13.0,3.85,10.703571428571427,11.0
Apollon Limassol,j,34.0,23.0,28.0,26.0
Tottenham,k,1.17,1.12,1.1414285714285715,1.1399999999999999
Anzhi Makhachkala,k,7.0,5.5,6.2321428571428568,6.0
FC Sheriff,k,51.0,17.0,26.285714285714285,25.0
Tromso,k,67.0,29.0,42.714285714285715,40.5
AZ Alkmaar,l,1.62,1.36,1.4738461538461536,1.4399999999999999
PAOK Saloniki,l,3.6,2.75,3.117692307692308,3.25
Maccabi Haifa,l,21.0,13.0,18.076923076923077,20.0
Shakhter Karagandy,l,26.0,17.0,19.615384615384617,20.0
