name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Swansea,a,1.4,1.44,,1.4,,,1.29,1.5,,1.4,1.36,,1.44,,,,1.4,,1.4,,1.36,,
Valencia,a,3.5,3.25,,3.5,,,4.0,3.4,,3.5,3.75,,3.25,,,,3.5,,3.75,,2.9,,
St Gallen,a,13.0,11.0,,11.0,,,15.0,12.0,,12.0,12.0,,11.0,,,,12.0,,12.0,,6.32,,
Kuban Krasnodar,a,67.0,34.0,,29.0,,,67.0,23.0,,50.0,34.0,,26.0,,,,50.0,,51.0,,11.4,,
Ludogorets,b,2.0,1.91,,2.0,,,1.8,2.0,,2.0,1.91,,,,,,2.0,,2.1,,1.86,,
PSV Eindhoven,b,2.4,2.38,,2.25,,,2.5,2.3,,2.5,2.3,,,,,,2.5,,2.3,,2.06,,
Chernomorets Odessa,b,7.0,7.5,,7.0,,,8.0,7.5,,6.5,7.0,,,,,,6.5,,7.5,,5.27,,
Din Zagreb,b,34.0,29.0,,34.0,,,26.0,41.0,,30.0,51.0,,,,,,30.0,,26.0,,15.7,,
Salzburg,c,1.25,1.25,,1.25,,,1.25,1.25,,1.25,1.18,,,,,,1.25,,1.25,,1.16,,
Esbjerg fB,c,8.0,8.0,,7.0,,,7.0,7.0,,7.5,9.0,,,,,,7.5,,8.0,,4.51,,
Standard Liege,c,7.5,7.5,,7.0,,,9.0,7.0,,7.5,7.5,,,,,,7.5,,8.0,,4.51,,
Elfsborg,c,29.0,26.0,,26.0,,,17.0,21.0,,25.0,29.0,,,,,,25.0,,26.0,,10.5,,
Rubin Kazan,d,1.18,1.17,,1.17,,,1.14,1.17,,1.17,1.14,,1.17,,,,1.17,,1.18,,1.12,,
Wigan,d,5.0,5.0,,5.0,,,5.5,5.5,,5.25,5.5,,5.0,,,,5.25,,5.5,,3.94,,
Zulte Waregem,d,26.0,21.0,,23.0,,,21.0,23.0,,20.0,23.0,,21.0,,,,20.0,,21.0,,10.5,,
Maribor,d,101.0,101.0,,101.0,,,101.0,101.0,,100.0,126.0,,67.0,,,,100.0,,101.0,,,,
Fiorentina,e,1.11,1.12,,1.11,,,1.1,1.11,,1.1,1.12,,,,,,1.1,,1.12,,1.09,,
Dnipro,e,7.0,6.5,,6.5,,,6.5,7.0,,6.0,5.5,,,,,,6.0,,7.0,,3.94,,
Pacos Ferreira,e,34.0,34.0,,34.0,,,41.0,46.0,,35.0,51.0,,,,,,35.0,,41.0,,13.4,,
Pandurii,e,51.0,51.0,,41.0,,,51.0,56.0,,50.0,41.0,,,,,,50.0,,51.0,,17.1,,
Eintracht Frankfurt,f,1.13,1.12,,1.17,,,1.12,1.25,,1.13,1.17,,,,,,1.13,,1.15,,,,
Maccabi Tel Aviv,f,7.5,7.5,,5.5,,,8.0,4.5,,7.0,5.5,,,,,,7.0,,7.0,,,,
Bordeaux,f,26.0,26.0,,26.0,,,26.0,26.0,,25.0,29.0,,,,,,25.0,,26.0,,,,
APOEL Nicosia,f,34.0,26.0,,26.0,,,17.0,23.0,,25.0,23.0,,,,,,25.0,,29.0,,,,
Genk,g,,,,1.4,,,,,,1.4,,,,,,,,,1.45,,1.38,,
Dynamo Kiev,g,,,,4.0,,,,,,4.0,,,,,,,,,4.0,,3.61,,
Thun,g,,,,9.0,,,,,,9.5,,,,,,,,,10.0,,8.6,,
Rapid Vienna,g,,,,26.0,,,,,,30.0,,,,,,,,,26.0,,23.0,,
Sevilla,h,,,,1.22,,,,,,1.25,,,,,,,,,1.25,,1.19,,
Slovan Liberec,h,,,,4.5,,,,,,4.5,,,,,,,,,5.0,,4.8,,
Freiburg,h,,,,15.0,,,,,,14.0,,,,,,,,,15.0,,13.4,,
Estoril,h,,,,81.0,,,,,,65.0,,,,,,,,,81.0,,57.0,,
Betis,i,,,,2.5,,,,,,2.55,,,,,,,,,2.6,,,,
Lyon,i,,,,2.5,,,,,,2.55,,,,,,,,,2.75,,,,
Guimaraes,i,,,,3.3,,,,,,3.3,,,,,,,,,3.2,,,,
Rijeka,i,,,,41.0,,,,,,50.0,,,,,,,,,51.0,,,,
Lazio,j,,,,1.4,,,,,,1.4,,,,,,,,,1.45,,,,
Trabzonspor,j,,,,3.75,,,,,,3.65,,,,,,,,,3.6,,,,
Apollon Limassol,j,,,,11.0,,,,,,11.0,,,,,,,,,11.0,,,,
Legia Warsaw,j,,,,26.0,,,,,,40.0,,,,,,,,,51.0,,,,
Tottenham,k,,,,1.03,,,,,,1.02,,1.01,,,,,,,,,1.04,,
Anzhi Makhachkala,k,,,,19.0,,,,,,18.0,,13.0,,,,,,,,,15.3,,
FC Sheriff,k,,,,41.0,,,,,,25.0,,34.0,,,,,,,,,38.0,,
Tromso,k,,,,67.0,,,,,,40.0,,67.0,,,,,,,,,48.0,,
AZ Alkmaar,l,,,,1.73,,,,,,,,,,,,,,,,,1.67,,
PAOK Saloniki,l,,,,2.25,,,,,,,,,,,,,,,,,2.08,,
Maccabi Haifa,l,,,,17.0,,,,,,,,,,,,,,,,,19.0,,
Shakhter Karagandy,l,,,,26.0,,,,,,,,,,,,,,,,,38.0,,
