name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Swansea,a,1.4,1.44,,1.4,1.44,,,1.5,1.36,1.4,1.36,1.44,1.44,1.44,,1.4,1.4,1.4,1.4,,1.43,,
Valencia,a,3.5,3.25,,3.5,3.25,,,3.4,3.5,3.5,3.75,3.25,3.25,3.25,,3.5,3.5,3.5,3.75,,3.04,,
St Gallen,a,13.0,11.0,,11.0,11.0,,,12.0,11.0,12.0,12.0,11.0,11.0,11.0,,10.0,12.0,11.0,12.0,,9.55,,
Kuban Krasnodar,a,67.0,34.0,,29.0,51.0,,,23.0,51.0,50.0,34.0,41.0,26.0,51.0,,51.0,50.0,29.0,51.0,,38.0,,
Ludogorets,b,2.1,1.91,,2.0,2.1,,,2.0,2.0,2.0,1.91,2.0,,1.9,,2.0,2.0,2.0,2.1,,1.88,,
PSV Eindhoven,b,2.25,2.38,,2.25,2.25,,,2.3,2.3,2.5,2.3,2.25,,2.3,,2.2,2.5,2.25,2.3,,2.18,,
Chernomorets Odessa,b,7.0,7.5,,7.0,7.0,,,7.5,7.0,6.5,7.0,7.0,,7.5,,7.0,6.5,7.0,7.5,,6.7,,
Din Zagreb,b,34.0,29.0,,34.0,26.0,,,41.0,,30.0,51.0,34.0,,41.0,,26.0,30.0,34.0,26.0,,25.0,,
Salzburg,c,1.25,1.25,,1.25,1.29,,,1.25,1.25,1.25,1.18,1.25,,1.22,,1.25,1.25,1.25,1.25,,1.19,,
Standard Liege,c,7.5,7.5,,7.0,7.0,,,7.0,6.5,7.5,7.5,7.0,,7.5,,7.5,7.5,7.0,8.0,,6.7,,
Esbjerg fB,c,8.0,8.0,,7.0,7.0,,,7.0,8.0,7.5,9.0,7.5,,8.0,,7.5,7.5,7.0,8.0,,6.7,,
Elfsborg,c,29.0,26.0,,26.0,26.0,,,21.0,26.0,25.0,29.0,21.0,,26.0,,25.0,25.0,26.0,26.0,,23.0,,
Rubin Kazan,d,1.18,1.17,,1.17,1.17,,,1.17,1.2,1.17,1.14,1.17,1.17,1.16,,1.16,1.17,1.17,1.18,,1.13,,
Wigan,d,5.0,5.0,,5.0,5.5,,,5.5,4.5,5.25,5.5,5.0,5.0,5.0,,5.25,5.25,5.0,5.5,,4.8,,
Zulte Waregem,d,26.0,21.0,,23.0,17.0,,,23.0,17.0,20.0,23.0,21.0,21.0,23.0,,20.0,20.0,23.0,21.0,,19.0,,
Maribor,d,101.0,101.0,,101.0,101.0,,,101.0,81.0,100.0,126.0,101.0,67.0,101.0,,101.0,100.0,101.0,101.0,,76.0,,
Fiorentina,e,1.11,1.12,,1.11,1.11,,,1.11,1.13,1.1,1.12,1.1,,1.11,,1.11,1.1,1.11,1.12,,1.1,,
Dnipro,e,7.0,6.5,,6.5,6.5,,,7.0,6.0,6.5,5.5,6.0,,6.5,,6.0,6.5,6.5,7.0,,5.94,,
Pacos Ferreira,e,34.0,34.0,,34.0,34.0,,,46.0,26.0,35.0,51.0,41.0,,34.0,,34.0,35.0,34.0,41.0,,29.0,,
Pandurii,e,51.0,51.0,,41.0,51.0,,,56.0,41.0,50.0,41.0,51.0,,51.0,,51.0,50.0,41.0,51.0,,38.0,,
Eintracht Frankfurt,f,1.13,1.12,,1.17,1.2,,,1.25,1.2,1.13,1.17,1.14,,1.14,,1.13,1.13,1.17,1.15,,1.1,,
Maccabi Tel Aviv,f,7.5,7.5,,5.5,4.5,,,4.5,5.0,7.0,5.5,6.0,,6.5,,7.0,7.0,5.5,7.0,,6.7,,
APOEL Nicosia,f,34.0,26.0,,26.0,34.0,,,23.0,26.0,25.0,23.0,26.0,,26.0,,25.0,25.0,26.0,29.0,,23.0,,
Bordeaux,f,26.0,26.0,,26.0,34.0,,,26.0,21.0,25.0,29.0,29.0,,29.0,,25.0,25.0,26.0,26.0,,23.0,,
Genk,g,1.4,1.4,,1.4,1.4,,,1.4,1.36,1.4,1.44,1.36,,1.44,,1.4,1.4,1.4,1.45,,1.38,,
Dynamo Kiev,g,4.0,4.0,,4.0,4.0,,,3.6,4.0,4.0,4.0,4.0,,3.75,,4.0,4.0,4.0,4.0,,3.61,,
Thun,g,10.0,10.0,,9.0,10.0,,,11.0,9.0,9.5,8.0,10.0,,9.5,,10.0,9.5,9.0,10.0,,8.6,,
Rapid Vienna,g,34.0,26.0,,26.0,26.0,,,23.0,34.0,30.0,19.0,26.0,,21.0,,21.0,30.0,26.0,26.0,,23.0,,
Sevilla,h,1.25,1.25,,1.22,1.25,,,1.25,1.2,1.25,1.15,1.2,,1.22,,1.2,1.25,1.22,1.25,,1.19,,
Slovan Liberec,h,5.0,4.5,,4.5,4.5,,,4.5,5.0,4.5,5.5,4.5,,4.5,,5.0,4.5,4.5,5.0,,4.8,,
Freiburg,h,13.0,15.0,,15.0,13.0,,,17.0,13.0,14.0,17.0,15.0,,15.0,,14.0,14.0,15.0,15.0,,13.4,,
Estoril,h,67.0,67.0,,81.0,67.0,,,101.0,67.0,65.0,81.0,101.0,,101.0,,67.0,65.0,81.0,81.0,,57.0,,
Betis,i,2.63,2.62,,2.5,2.5,,,2.6,2.62,2.55,2.38,2.5,,2.5,,2.55,2.55,2.5,2.6,,2.42,,
Lyon,i,2.63,2.62,,2.5,2.5,,,2.6,2.75,2.55,2.8,2.5,,2.6,,2.55,2.55,2.5,2.75,,2.52,,
Guimaraes,i,3.25,3.25,,3.3,3.5,,,3.0,3.0,3.3,3.2,3.25,,3.25,,3.3,3.3,3.3,3.2,,3.04,,
Rijeka,i,41.0,51.0,,41.0,51.0,,,41.0,29.0,50.0,29.0,51.0,,51.0,,50.0,50.0,41.0,51.0,,38.0,,
Lazio,j,1.4,1.4,,1.4,1.4,,,1.44,1.33,1.4,1.4,1.4,,1.4,,1.4,1.4,1.4,1.45,,1.34,,
Trabzonspor,j,3.75,3.75,,3.75,3.75,,,3.4,3.6,3.65,3.5,3.6,,3.6,,3.65,3.65,3.75,3.6,,3.38,,
Apollon Limassol,j,11.0,11.0,,11.0,11.0,,,11.0,17.0,11.0,12.0,10.0,,10.0,,11.0,11.0,11.0,11.0,,9.55,,
Legia Warsaw,j,51.0,51.0,,26.0,34.0,,,56.0,34.0,40.0,29.0,41.0,,51.0,,41.0,40.0,26.0,51.0,,38.0,,
Tottenham,k,1.02,1.02,,1.03,1.02,,,1.02,1.02,1.02,1.01,1.01,1.03,1.01,,1.02,1.02,1.02,1.02,,,,
Anzhi Makhachkala,k,21.0,17.0,,19.0,13.0,,,21.0,13.0,18.0,21.0,13.0,15.0,19.0,,15.0,18.0,13.0,17.0,,15.3,,
FC Sheriff,k,34.0,41.0,,41.0,34.0,,,46.0,21.0,25.0,51.0,34.0,34.0,34.0,,34.0,25.0,34.0,34.0,,38.0,,
Tromso,k,67.0,67.0,,67.0,67.0,,,71.0,81.0,40.0,67.0,67.0,41.0,67.0,,41.0,40.0,67.0,67.0,,48.0,,
AZ Alkmaar,l,1.67,1.73,,1.73,1.67,,,1.73,1.8,1.65,1.73,1.67,,1.67,,1.65,1.65,1.73,1.7,,1.67,,
PAOK Saloniki,l,2.38,2.25,,2.25,2.38,,,2.2,2.1,2.35,2.25,2.25,,2.25,,2.3,2.35,2.25,2.35,,2.08,,
Maccabi Haifa,l,21.0,21.0,,17.0,21.0,,,26.0,21.0,25.0,15.0,23.0,,23.0,,25.0,25.0,17.0,26.0,,19.0,,
Shakhter Karagandy,l,34.0,29.0,,26.0,29.0,,,26.0,26.0,30.0,41.0,26.0,,34.0,,34.0,30.0,26.0,26.0,,38.0,,
