name,group,max,min,mean,median
Salzburg,c,1.07,1.03,1.0411111111111113,1.04
Esbjerg fB,c,13.0,7.0,10.444444444444445,10.0
Fiorentina,e,1.26,1.2,1.2422222222222221,1.25
Dnipro,e,4.0,3.5,3.7111111111111108,3.75
Sevilla,h,1.29,1.25,1.2855555555555556,1.29
Slovan Liberec,h,3.5,3.5,3.5,3.5
Freiburg,h,3.6,3.4,3.4874999999999998,3.5
Lyon,i,1.83,1.65,1.7,1.6699999999999999
Betis,i,2.1,1.83,2.0422222222222222,2.1000000000000001
Lazio,j,1.73,1.53,1.6233333333333333,1.6000000000000001
Trabzonspor,j,2.38,2.0,2.181111111111111,2.2000000000000002
PAOK Saloniki,l,1.5,1.3,1.4044444444444446,1.3999999999999999
AZ Alkmaar,l,3.25,2.5,2.7911111111111113,2.75
