name,group,max,min,mean,median
Swansea,a,1.5,1.36,1.4124999999999994,1.3999999999999999
Valencia,a,3.75,3.14,3.4243749999999999,3.5
St Gallen,a,13.0,9.55,11.284375000000001,11.0
Kuban Krasnodar,a,67.0,23.0,42.25,45.5
Ludogorets,b,2.1,1.88,1.9866666666666668,2.0
PSV Eindhoven,b,2.5,2.2,2.313333333333333,2.2999999999999998
Chernomorets Odessa,b,7.5,6.5,7.0466666666666669,7.0
Din Zagreb,b,51.0,26.0,33.071428571428569,32.0
Salzburg,c,1.29,1.18,1.242,1.25
Standard Liege,c,8.0,6.5,7.2720000000000002,7.5
Esbjerg fB,c,9.0,7.0,7.6179999999999994,7.5
Elfsborg,c,29.0,21.0,25.399999999999999,26.0
Rubin Kazan,d,1.2,1.13,1.1675,1.1699999999999999
Wigan,d,5.5,4.5,5.1281249999999998,5.0
Zulte Waregem,d,26.0,17.0,21.125,21.0
Maribor,d,126.0,67.0,97.5,101.0
Fiorentina,e,1.13,1.1,1.1106666666666667,1.1100000000000001
Dnipro,e,7.0,5.5,6.4086666666666661,6.5
Pacos Ferreira,e,51.0,26.0,36.133333333333333,34.0
Pandurii,e,56.0,38.0,47.666666666666664,51.0
Eintracht Frankfurt,f,1.25,1.1,1.1553333333333335,1.1399999999999999
Maccabi Tel Aviv,f,7.5,4.5,6.1800000000000006,6.5
APOEL Nicosia,f,34.0,23.0,26.466666666666665,26.0
Bordeaux,f,34.0,21.0,26.399999999999999,26.0
Genk,g,1.45,1.36,1.4019999999999997,1.3999999999999999
Dynamo Kiev,g,4.0,3.6,3.9306666666666668,4.0
Thun,g,11.0,8.0,9.5399999999999991,9.5
Rapid Vienna,g,34.0,19.0,26.066666666666666,26.0
Sevilla,h,1.25,1.15,1.2233333333333334,1.22
Slovan Liberec,h,5.5,4.5,4.7199999999999998,4.5
Freiburg,h,17.0,13.0,14.56,15.0
Estoril,h,101.0,57.0,76.599999999999994,67.0
Betis,i,2.63,2.38,2.5346666666666668,2.5499999999999998
Lyon,i,2.8,2.5,2.5946666666666673,2.5499999999999998
Guimaraes,i,3.5,3.0,3.2293333333333325,3.25
Rijeka,i,51.0,29.0,44.333333333333336,50.0
Lazio,j,1.45,1.33,1.3973333333333331,1.3999999999999999
Trabzonspor,j,3.75,3.4,3.6280000000000001,3.6499999999999999
Apollon Limassol,j,17.0,9.55,11.236666666666668,11.0
Legia Warsaw,j,56.0,26.0,40.600000000000001,40.0
Tottenham,k,1.03,1.01,1.019333333333333,1.02
Anzhi Makhachkala,k,21.0,13.0,16.768750000000001,17.0
FC Sheriff,k,51.0,21.0,35.0,34.0
Tromso,k,81.0,40.0,60.3125,67.0
AZ Alkmaar,l,1.8,1.65,1.6966666666666663,1.6699999999999999
PAOK Saloniki,l,2.38,2.08,2.266,2.25
Maccabi Haifa,l,26.0,15.0,21.666666666666668,21.0
Shakhter Karagandy,l,41.0,26.0,30.333333333333332,29.0
