name,group,max,min,mean,median
Swansea,a,1.67,1.53,1.6288235294117646,1.6499999999999999
Valencia,a,5.0,3.4,3.901176470588235,3.75
St Gallen,a,8.5,6.0,7.5382352941176478,8.0
Kuban Krasnodar,a,13.0,8.0,10.267647058823529,10.0
PSV Eindhoven,b,2.88,2.25,2.5282352941176471,2.5
Chernomorets Odessa,b,3.75,2.75,3.2952941176470585,3.25
Ludogorets,b,5.0,2.88,3.6170588235294119,3.5
Din Zagreb,b,9.0,7.0,7.8843750000000004,8.0
Salzburg,c,1.8,1.6,1.678235294117647,1.6699999999999999
Standard Liege,c,4.5,3.75,4.0641176470588238,4.0
Esbjerg fB,c,17.0,4.0,5.4358823529411771,5.0
Elfsborg,c,21.0,5.0,18.117647058823529,19.0
Rubin Kazan,d,1.33,1.2,1.2611764705882351,1.25
Wigan,d,6.5,5.0,5.8088235294117645,6.0
Zulte Waregem,d,10.0,8.0,8.8294117647058812,9.0
Maribor,d,41.0,20.0,28.647058823529413,29.0
Fiorentina,e,1.5,1.4,1.4552941176470586,1.4399999999999999
Dnipro,e,3.0,2.71,2.9247058823529413,3.0
Pacos Ferreira,e,31.0,17.0,22.470588235294116,21.0
Pandurii,e,41.0,32.0,36.647058823529413,34.0
Eintracht Frankfurt,f,1.53,1.4,1.4747058823529411,1.5
Bordeaux,f,5.0,4.0,4.3605882352941174,4.3300000000000001
APOEL Nicosia,f,9.0,5.5,8.0382352941176478,8.0
Maccabi Tel Aviv,f,15.0,10.0,12.788235294117648,13.0
Genk,g,2.1,1.85,1.9805882352941178,2.0
Dynamo Kiev,g,2.9,2.25,2.6429411764705888,2.6200000000000001
Thun,g,8.5,5.0,6.9235294117647062,7.0
Rapid Vienna,g,21.0,10.0,12.141176470588235,11.0
Sevilla,h,1.45,1.33,1.3776470588235292,1.3600000000000001
Freiburg,h,6.0,4.0,5.0076470588235296,5.0
Slovan Liberec,h,9.0,5.0,7.5117647058823529,7.5
Estoril,h,36.0,17.0,24.176470588235293,23.0
Lyon,i,2.38,2.08,2.2329411764705882,2.25
Betis,i,2.5,2.2,2.3476470588235294,2.3799999999999999
Guimaraes,i,5.0,4.0,4.6794117647058826,4.7999999999999998
Rijeka,i,67.0,26.0,41.294117647058826,41.0
Lazio,j,1.45,1.38,1.4194117647058819,1.3999999999999999
Trabzonspor,j,4.0,3.3,3.5899999999999999,3.5
Legia Warsaw,j,13.0,9.0,11.088235294117647,11.0
Apollon Limassol,j,34.0,23.0,27.705882352941178,26.0
Tottenham,k,1.17,1.12,1.1411764705882355,1.1399999999999999
Anzhi Makhachkala,k,7.0,5.5,6.1911764705882355,6.0
FC Sheriff,k,51.0,17.0,26.529411764705884,26.0
Tromso,k,67.0,34.0,42.529411764705884,41.0
AZ Alkmaar,l,1.62,1.36,1.4658823529411764,1.4399999999999999
PAOK Saloniki,l,3.6,2.71,3.084705882352941,3.2000000000000002
Maccabi Haifa,l,21.0,13.0,18.176470588235293,19.0
Shakhter Karagandy,l,26.0,17.0,19.352941176470587,19.0
