name,group,max,min,mean,median
Swansea,a,1.67,1.3,1.5828571428571434,1.6000000000000001
Valencia,a,2.6,1.28,2.3664285714285715,2.5
St Gallen,a,101.0,4.8,25.557142857142857,21.0
Kuban Krasnodar,a,126.0,3.85,51.06071428571429,37.5
Ludogorets,b,1.3,1.2,1.25,1.25
PSV Eindhoven,b,4.0,3.75,3.7727272727272729,3.75
Chernomorets Odessa,b,50.0,26.0,38.090909090909093,34.0
Din Zagreb,b,501.0,51.0,192.19999999999999,84.0
Salzburg,c,1.17,1.12,1.1583333333333334,1.1699999999999999
Esbjerg fB,c,5.5,2.18,4.7830769230769228,5.0
Standard Liege,c,81.0,2.18,40.398461538461532,29.0
Elfsborg,c,201.0,2.18,105.09076923076924,81.0
Rubin Kazan,d,1.2,1.12,1.1461538461538461,1.1399999999999999
Wigan,d,5.5,4.5,5.2307692307692308,5.25
Maribor,d,55.0,29.0,46.846153846153847,51.0
Zulte Waregem,d,81.0,41.0,57.153846153846153,51.0
Fiorentina,e,1.11,1.07,1.0958333333333334,1.1000000000000001
Dnipro,e,7.0,5.5,6.541666666666667,6.5
Pacos Ferreira,e,101.0,80.0,89.166666666666671,81.0
Pandurii,e,151.0,81.0,122.08333333333333,125.0
Eintracht Frankfurt,f,1.12,1.05,1.0675000000000001,1.0649999999999999
Maccabi Tel Aviv,f,13.0,9.0,11.5,11.0
Bordeaux,f,17.0,13.0,15.166666666666666,15.0
APOEL Nicosia,f,151.0,41.0,108.0,113.0
Genk,g,1.65,1.53,1.6016666666666666,1.6200000000000001
Dynamo Kiev,g,2.62,2.38,2.4983333333333335,2.5
Thun,g,29.0,15.0,19.5,19.5
Rapid Vienna,g,41.0,26.0,36.666666666666664,37.0
Sevilla,h,1.2,1.17,1.1883333333333332,1.1899999999999999
Slovan Liberec,h,5.0,4.5,4.958333333333333,5.0
Freiburg,h,26.0,13.0,20.25,21.0
Estoril,h,251.0,67.0,110.5,101.0
Betis,i,2.38,2.1,2.2966666666666669,2.2999999999999998
Lyon,i,2.38,2.25,2.3200000000000003,2.2999999999999998
Guimaraes,i,5.0,3.75,4.3116666666666665,4.3300000000000001
Rijeka,i,151.0,67.0,96.916666666666671,100.5
Lazio,j,1.85,1.67,1.7290909090909095,1.73
Trabzonspor,j,2.5,2.25,2.4390909090909094,2.5
Apollon Limassol,j,10.0,8.0,9.3636363636363633,10.0
Legia Warsaw,j,201.0,67.0,105.90909090909091,100.0
Tottenham,k,1.04,1.0,1.0125,1.01
Anzhi Makhachkala,k,21.0,14.0,17.083333333333332,17.0
FC Sheriff,k,151.0,51.0,105.25,101.0
Tromso,k,201.0,81.0,161.66666666666666,151.0
PAOK Saloniki,l,1.8,1.57,1.6736363636363636,1.6699999999999999
AZ Alkmaar,l,2.38,2.1,2.23,2.25
Shakhter Karagandy,l,34.0,21.0,29.09090909090909,29.0
Maccabi Haifa,l,67.0,41.0,52.454545454545453,51.0
