name,group,max,min,mean,median
Swansea,a,1.67,1.28,1.5905882352941181,1.6000000000000001
Valencia,a,2.5,1.28,2.3635294117647057,2.5
St Gallen,a,101.0,4.8,25.047058823529412,21.0
Kuban Krasnodar,a,126.0,3.85,51.050000000000004,50.0
Ludogorets,b,1.3,1.2,1.2506666666666668,1.25
PSV Eindhoven,b,4.0,3.5,3.7666666666666666,3.75
Chernomorets Odessa,b,50.0,26.0,37.466666666666669,34.0
Din Zagreb,b,501.0,51.0,180.42857142857142,101.0
Salzburg,c,1.17,1.09,1.149375,1.1499999999999999
Esbjerg fB,c,5.5,2.18,4.8929411764705888,5.0
Standard Liege,c,81.0,2.18,41.245882352941173,34.0
Elfsborg,c,501.0,2.18,133.53999999999999,101.0
Rubin Kazan,d,1.2,1.12,1.1487499999999997,1.1399999999999999
Wigan,d,5.5,4.5,5.21875,5.375
Maribor,d,55.0,29.0,46.375,51.0
Zulte Waregem,d,81.0,41.0,56.0,51.0
Fiorentina,e,1.12,1.07,1.0975000000000001,1.1000000000000001
Dnipro,e,7.0,5.0,6.40625,6.5
Pacos Ferreira,e,201.0,80.0,98.6875,91.0
Pandurii,e,251.0,81.0,135.5625,125.5
Eintracht Frankfurt,f,1.12,1.05,1.0656250000000003,1.0600000000000001
Maccabi Tel Aviv,f,13.0,9.0,11.5625,11.0
Bordeaux,f,23.0,13.0,15.625,15.0
APOEL Nicosia,f,151.0,41.0,109.375,101.0
Genk,g,1.67,1.53,1.6025000000000003,1.6200000000000001
Dynamo Kiev,g,2.75,2.38,2.5218750000000001,2.5
Thun,g,29.0,10.0,18.3125,18.0
Rapid Vienna,g,41.0,19.0,35.0625,34.0
Sevilla,h,1.2,1.12,1.1793749999999998,1.1799999999999999
Slovan Liberec,h,5.5,4.5,5.0,5.0
Freiburg,h,26.0,13.0,20.3125,21.0
Estoril,h,251.0,67.0,109.6875,101.0
Betis,i,2.38,2.1,2.2721428571428572,2.2749999999999999
Lyon,i,2.38,2.2,2.2992857142857139,2.2999999999999998
Guimaraes,i,5.0,3.75,4.4099999999999993,4.5
Rijeka,i,151.0,67.0,97.0,101.0
Lazio,j,1.85,1.67,1.7312500000000002,1.73
Trabzonspor,j,2.5,2.2,2.3768750000000005,2.3500000000000001
Apollon Limassol,j,13.0,8.0,10.125,10.0
Legia Warsaw,j,201.0,67.0,121.25,101.0
Tottenham,k,1.02,1.0,1.0092857142857141,1.01
Anzhi Makhachkala,k,21.0,1.95,15.996874999999999,17.0
FC Sheriff,k,151.0,1.95,96.746875000000003,101.0
Tromso,k,201.0,1.95,155.93437499999999,151.0
PAOK Saloniki,l,1.8,1.57,1.6768750000000003,1.6699999999999999
AZ Alkmaar,l,2.38,2.05,2.2143750000000004,2.2000000000000002
Shakhter Karagandy,l,51.0,21.0,32.6875,32.0
Maccabi Haifa,l,81.0,26.0,50.875,51.0
