name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,,,,,,,,,,,,,,,,1.18,,,,1.26,1.1,
Bor Dortmund,Germany,,,,,,,,,,,,,,,,,5.0,,,,4.89,4.1,
Bayer Leverkusen,Germany,,,,,,,,,,,,,,,,,20.0,,,,29.0,0.03,
Schalke 04,Germany,,,,,,,,,,,,,,,,,90.0,,,,86.0,0.03,
Bor Monchengladbach,Germany,,,,,,,,,,,,,,,,,150.0,,,,314.0,0.03,
VfB Stuttgart,Germany,,,,,,,,,,,,,,,,,200.0,,,,304.0,0.03,
Hertha Berlin,Germany,,,,,,,,,,,,,,,,,200.0,,,,333.0,0.03,
Hannover 96,Germany,,,,,,,,,,,,,,,,,200.0,,,,399.0,0.03,
Eintracht Frankfurt,Germany,,,,,,,,,,,,,,,,,200.0,,,,485.0,0.03,
Hamburg,Germany,,,,,,,,,,,,,,,,,300.0,,,,162.0,0.03,
Werder Bremen,Germany,,,,,,,,,,,,,,,,,300.0,,,,589.0,0.03,
Augsburg,Germany,,,,,,,,,,,,,,,,,300.0,,,,950.0,0.03,
Hoffenheim,Germany,,,,,,,,,,,,,,,,,300.0,,,,950.0,0.03,
Mainz 05,Germany,,,,,,,,,,,,,,,,,300.0,,,,950.0,0.03,
Freiburg,Germany,,,,,,,,,,,,,,,,,2000.0,,,,950.0,0.03,
Nurnberg,Germany,,,,,,,,,,,,,,,,,2000.0,,,,950.0,0.03,
VfL Wolfsburg,Germany,,,,,,,,,,,,,,,,,3000.0,,,,190.0,0.03,
Braunschweig,Germany,,,,,,,,,,,,,,,,,5000.0,,,,950.0,0.03,
Barcelona,Spain,,,,,1.4,,,,,,,,,,,,,,,,1.35,1.24,
Real Madrid,Spain,,,,,3.5,,,,,,,,,,,,,,,,4.42,0.03,
Atletico Madrid,Spain,,,,,13.0,,,,,,,,,,,,,,,,12.4,0.03,
Valencia,Spain,,,,,251.0,,,,,,,,,,,,,,,,475.0,0.03,
Athl Bilbao,Spain,,,,,501.0,,,,,,,,,,,,,,,,399.0,0.03,
Real Sociedad,Spain,,,,,501.0,,,,,,,,,,,,,,,,399.0,0.03,
Villarreal,Spain,,,,,,,,,,,,,,,,,,,,,247.0,0.03,
Betis,Spain,,,,,,,,,,,,,,,,,,,,,494.0,0.03,
Sevilla,Spain,,,,,,,,,,,,,,,,,,,,,504.0,0.03,
Espanyol,Spain,,,,,,,,,,,,,,,,,,,,,570.0,0.03,
Almeria,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Celta Vigo,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Elche,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Getafe,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Granada,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Levante,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Malaga,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Osasuna,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Rayo Vallecano,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Valladolid,Spain,,,,,,,,,,,,,,,,,,,,,950.0,0.03,
Man City,England,2.88,,2.88,2.88,2.88,,2.88,2.88,,,2.62,,2.62,,,,2.85,,2.75,2.8,2.81,2.8,
Chelsea,England,3.5,,3.5,3.6,3.5,,3.5,3.5,,,3.3,,3.5,,,,3.5,,3.25,3.7,3.66,3.72,
Arsenal,England,5.0,,5.5,6.0,5.5,,5.5,6.0,,,5.5,,5.5,,,,5.5,,5.5,6.4,6.32,6.63,
Liverpool,England,9.0,,9.0,9.0,9.0,,9.0,10.0,,,9.0,,10.0,,,,9.0,,9.0,9.2,9.36,9.54,
