name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.12,1.05,1.0954545454545455,1.1000000000000001,1.085,1.1000000000000001
vfl wolfsburg,Germany,18.0,15.0,17.0,17.0,17.0,17.0
bor dortmund,Germany,21.0,12.0,17.140909090909091,17.0,15.0,18.899999999999999
wolfsburg,Germany,21.0,11.0,16.850000000000001,17.0,15.625,19.25
bayer leverkusen,Germany,41.0,23.0,34.5,34.0,34.0,34.75
bor monchengladbach,Germany,51.0,26.0,36.772727272727273,35.5,34.0,41.0
schalke 04,Germany,101.0,29.0,46.909090909090907,43.0,41.0,51.0
mainz 05,Germany,521.0,87.0,416.90909090909093,501.0,401.0,501.0
eintracht frankfurt,Germany,751.0,87.0,451.0,501.0,413.5,501.0
hoffenheim,Germany,751.0,87.0,290.31818181818181,251.0,213.5,258.5
vfb stuttgart,Germany,751.0,87.0,421.45454545454544,426.0,263.5,501.0
augsburg,Germany,781.0,87.0,421.90909090909093,376.0,251.0,501.0
fc koln,Germany,1001.0,87.0,597.66666666666663,601.0,501.0,751.0
hamburg,Germany,1001.0,87.0,471.47619047619048,501.0,301.0,501.0
hannover,Germany,1001.0,87.0,511.0,501.0,399.5,676.0
hannover 96,Germany,1001.0,401.0,663.14285714285711,636.0,501.0,788.5
hertha berlin,Germany,1001.0,87.0,722.81818181818187,751.0,751.0,801.0
werder bremen,Germany,1001.0,87.0,457.81818181818181,501.0,263.5,501.0
ingolstadt,Germany,2501.0,87.0,1259.1818181818182,1001.0,813.5,1876.0
darmstadt,Germany,5001.0,95.0,2366.4545454545455,2251.0,1501.0,3001.0
barcelona,Spain,1.75,1.61,1.6879166666666665,1.6850000000000001,1.6499999999999999,1.73
real madrid,Spain,2.7,2.1,2.5245833333333336,2.5,2.4950000000000001,2.6299999999999999
atletico madrid,Spain,21.0,13.0,16.837500000000002,16.0,15.0,17.774999999999999
seville,Spain,67.0,34.0,49.083333333333336,50.5,41.0,51.0
valencia,Spain,67.0,29.0,45.0,41.5,34.0,51.0
villarreal,Spain,301.0,87.0,197.0,213.5,101.0,251.0
athletic bilbao,Spain,501.0,87.0,266.83333333333331,251.0,201.0,301.0
