name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.03,1.02,1.02,1.02,1.01,1.02,1.03,1.03,1.01,1.02,,1.03,1.02,1.02,1.02,1.02,1.02,1.01,1.05,1.01,1.02,,1.05,,
bor dortmund,Germany,17.0,15.0,13.0,15.0,13.0,15.0,13.0,13.0,11.0,16.0,13.0,,11.0,13.0,15.0,17.0,12.3,13.0,16.0,10.0,16.0,15.0,,18.1,,
wolfsburg,Germany,501.0,201.0,251.0,,251.0,301.0,101.0,251.0,201.0,601.0,201.0,,501.0,67.0,101.0,81.0,251.0,67.0,601.0,151.0,601.0,111.0,,90.0,,
bor monchengladbach,Germany,751.0,,501.0,,501.0,301.0,81.0,251.0,501.0,1201.0,251.0,,501.0,81.0,201.0,101.0,351.0,81.0,1201.0,251.0,1201.0,91.0,,90.0,,
hertha berlin,Germany,1501.0,251.0,501.0,,501.0,1001.0,751.0,251.0,,1501.0,351.0,,501.0,751.0,501.0,501.0,751.0,751.0,1501.0,1001.0,1501.0,751.0,,95.0,,
bayer leverkusen,Germany,401.0,151.0,501.0,,501.0,201.0,101.0,251.0,201.0,1501.0,201.0,,501.0,81.0,81.0,101.0,351.0,81.0,1501.0,251.0,1501.0,111.0,,105.0,,
schalke 04,Germany,1001.0,501.0,1001.0,,1001.0,351.0,101.0,501.0,501.0,1501.0,351.0,,501.0,101.0,251.0,101.0,551.0,101.0,1501.0,501.0,1501.0,111.0,,219.0,,
mainz 05,Germany,2501.0,,2501.0,,2501.0,,751.0,501.0,,2501.0,751.0,,,1001.0,501.0,,1001.0,1001.0,2501.0,3001.0,2501.0,751.0,,95.0,,
hamburg,Germany,3001.0,,2501.0,,2501.0,,1001.0,501.0,,4001.0,751.0,,,1001.0,251.0,,1001.0,1001.0,4001.0,3001.0,4001.0,1001.0,,90.0,,
fc koln,Germany,3501.0,,2501.0,,2501.0,,501.0,501.0,,5001.0,751.0,,,1001.0,501.0,,1001.0,1001.0,5001.0,3001.0,5001.0,551.0,,95.0,,
ingolstadt,Germany,4501.0,,5001.0,,5001.0,,1501.0,501.0,,8001.0,1501.0,,,1001.0,1001.0,,1001.0,1001.0,8001.0,3001.0,8001.0,1501.0,,95.0,,
augsburg,Germany,4001.0,,,,,,1001.0,501.0,,9001.0,1501.0,,,1001.0,1001.0,,1001.0,1001.0,9001.0,5001.0,9001.0,1001.0,,95.0,,
darmstadt,Germany,4501.0,,,,,,5001.0,501.0,,9001.0,2501.0,,,1001.0,1501.0,,1001.0,1001.0,9001.0,5001.0,9001.0,1501.0,,95.0,,
eintracht frankfurt,Germany,4501.0,,,,,,751.0,501.0,,9001.0,2501.0,,,1001.0,501.0,,1001.0,1001.0,9001.0,5001.0,9001.0,751.0,,95.0,,
hannover,Germany,4501.0,,,,,,751.0,501.0,,9001.0,2501.0,,,1001.0,1001.0,,1001.0,1001.0,9001.0,5001.0,9001.0,751.0,,95.0,,
hoffenheim,Germany,4501.0,,,,,,1001.0,501.0,,9001.0,2001.0,,,1001.0,1001.0,,1001.0,1001.0,9001.0,5001.0,9001.0,751.0,,95.0,,
vfb stuttgart,Germany,4501.0,,,,,,1001.0,501.0,,9001.0,2501.0,,,1001.0,501.0,,1001.0,1001.0,9001.0,5001.0,9001.0,1001.0,,95.0,,
werder bremen,Germany,4501.0,,,,,,1501.0,501.0,,9001.0,2501.0,,,1001.0,751.0,,1001.0,1001.0,9001.0,5001.0,9001.0,1501.0,,95.0,,
barcelona,Spain,1.22,1.22,1.2,1.22,1.2,1.2,1.22,1.22,1.22,1.25,1.2,1.22,1.22,1.22,1.25,1.25,,1.22,1.25,1.25,1.25,1.27,,,,
