name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.06,,,,1.1,1.05,1.07,1.06,,1.06,,,,1.06,,,,,1.12,,1.11,,1.1,,
bor dortmund,Germany,,17.0,,,,11.0,15.0,14.0,13.0,,13.0,,,,17.0,,,,,10.0,,10.0,,10.5,,
wolfsburg,Germany,,21.0,,,,21.0,17.0,21.0,21.0,,19.0,,,,21.0,,,,,13.0,,13.0,,28.0,,
bayer leverkusen,Germany,,29.0,,,,34.0,21.0,36.0,26.0,,29.0,,,,34.0,,,,,41.0,,41.0,,21.0,,
schalke 04,Germany,,67.0,,,,51.0,81.0,56.0,51.0,,81.0,,,,67.0,,,,,75.0,,81.0,,30.0,,
bor monchengladbach,Germany,,67.0,,,,67.0,81.0,67.0,67.0,,67.0,,,,67.0,,,,,75.0,,81.0,,124.0,,
eintracht frankfurt,Germany,,501.0,,,,501.0,751.0,501.0,501.0,,501.0,,,,501.0,,,,,501.0,,601.0,,17.1,,
mainz 05,Germany,,501.0,,,,401.0,751.0,501.0,251.0,,501.0,,,,501.0,,,,,501.0,,501.0,,20.0,,
hamburg,Germany,,501.0,,,,501.0,1001.0,501.0,501.0,,751.0,,,,501.0,,,,,501.0,,,,14.3,,
hannover,Germany,,501.0,,,,501.0,751.0,501.0,501.0,,1001.0,,,,751.0,,,,,1001.0,,1001.0,,14.3,,
hertha berlin,Germany,,751.0,,,,501.0,751.0,501.0,751.0,,1001.0,,,,751.0,,,,,751.0,,751.0,,14.3,,
hoffenheim,Germany,,501.0,,,,251.0,1001.0,301.0,251.0,,301.0,,,,501.0,,,,,501.0,,501.0,,14.3,,
vfb stuttgart,Germany,,751.0,,,,301.0,1001.0,501.0,751.0,,751.0,,,,501.0,,,,,501.0,,601.0,,14.3,,
fc koln,Germany,,501.0,,,,501.0,501.0,501.0,501.0,,1001.0,,,,751.0,,,,,501.0,,501.0,,15.3,,
augsburg,Germany,,501.0,,,,501.0,1001.0,501.0,501.0,,351.0,,,,501.0,,,,,501.0,,501.0,,20.0,,
werder bremen,Germany,,501.0,,,,301.0,1501.0,501.0,501.0,,501.0,,,,501.0,,,,,501.0,,601.0,,14.3,,
ingolstadt,Germany,,1501.0,,,,751.0,1501.0,501.0,1001.0,,1501.0,,,,2001.0,,,,,1001.0,,1001.0,,14.3,,
darmstadt,Germany,,1501.0,,,,1001.0,5001.0,501.0,2501.0,,5001.0,,,,2501.0,,,,,1501.0,,1751.0,,14.3,,
barcelona,Spain,,1.62,,,,1.6,1.62,1.57,,,,,,,1.57,,,,,,,1.57,,1.68,1.65,
real madrid,Spain,,2.75,,,,2.65,2.25,2.75,,,,,,,2.5,,,,,,,2.2,,2.79,2.49,
atletico madrid,Spain,,15.0,,,,15.0,21.0,15.0,,,,,,,15.0,,,,,,,23.0,,12.9,9.73,
valencia,Spain,,41.0,,,,51.0,51.0,51.0,,,,,,,41.0,,,,,,,51.0,,57.0,124.0,
seville,Spain,,67.0,,,,67.0,51.0,67.0,,,,,,,67.0,,,,,,,56.0,,52.0,64.0,
villarreal,Spain,,101.0,,,,101.0,251.0,251.0,,,,,,,201.0,,,,,,,276.0,,95.0,116.0,
athletic bilbao,Spain,,101.0,,,,201.0,251.0,301.0,,,,,,,251.0,,,,,,,276.0,,190.0,213.0,
malaga,Spain,,501.0,,,,501.0,501.0,501.0,,,,,,,501.0,,,,,,,601.0,,95.0,180.0,
celta vigo,Spain,,501.0,,,,201.0,501.0,501.0,,,,,,,751.0,,,,,,,,,95.0,180.0,
real sociedad,Spain,,501.0,,,,501.0,1001.0,501.0,,,,,,,751.0,,,,,,,,,95.0,180.0,
espanyol,Spain,,1001.0,,,,751.0,1001.0,501.0,,,,,,,1001.0,,,,,,,1251.0,,95.0,180.0,
rayo vallecano,Spain,,1001.0,,,,1501.0,2501.0,501.0,,,,,,,2501.0,,,,,,,,,95.0,180.0,
betis,Spain,,1001.0,,,,1001.0,5001.0,501.0,,,,,,,1001.0,,,,,,,,,95.0,180.0,
