name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.1,1.06,1.07,1.06,1.1,1.05,1.07,1.06,1.13,1.07,1.12,1.08,1.06,1.05,1.06,,1.06,1.13,1.13,1.13,1.05,1.09,,
bor dortmund,Germany,11.0,15.0,15.0,15.0,15.0,11.0,17.0,15.0,13.0,11.0,13.0,9.0,11.0,13.0,15.0,15.0,,13.0,11.0,10.0,11.0,15.0,10.0,,
wolfsburg,Germany,34.0,21.0,21.0,21.0,21.0,21.0,17.0,21.0,26.0,31.0,21.0,34.0,26.0,17.0,21.0,21.0,,17.0,31.0,17.0,31.0,23.0,23.0,,
bayer leverkusen,Germany,41.0,34.0,34.0,34.0,34.0,34.0,26.0,31.0,34.0,36.0,29.0,21.0,41.0,34.0,34.0,34.0,,34.0,36.0,34.0,36.0,31.0,19.0,,
schalke 04,Germany,81.0,67.0,51.0,51.0,51.0,51.0,41.0,41.0,67.0,46.0,67.0,101.0,67.0,51.0,51.0,67.0,,51.0,46.0,67.0,46.0,41.0,52.0,,
bor monchengladbach,Germany,151.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,121.0,81.0,151.0,101.0,51.0,67.0,67.0,,51.0,121.0,75.0,121.0,71.0,105.0,,
fc koln,Germany,501.0,501.0,401.0,501.0,401.0,501.0,501.0,501.0,501.0,701.0,1001.0,1001.0,751.0,401.0,751.0,751.0,,401.0,701.0,501.0,701.0,601.0,23.0,,
hoffenheim,Germany,251.0,501.0,301.0,251.0,301.0,251.0,1001.0,251.0,251.0,601.0,301.0,501.0,501.0,251.0,501.0,751.0,,251.0,601.0,501.0,601.0,501.0,23.0,,
vfb stuttgart,Germany,1001.0,751.0,501.0,501.0,501.0,301.0,1001.0,501.0,751.0,701.0,751.0,1001.0,751.0,501.0,501.0,1001.0,,501.0,701.0,501.0,701.0,501.0,23.0,,
eintracht frankfurt,Germany,501.0,501.0,501.0,501.0,501.0,501.0,751.0,501.0,501.0,801.0,501.0,1001.0,501.0,501.0,501.0,501.0,,501.0,801.0,501.0,801.0,601.0,25.0,,
hamburg,Germany,501.0,501.0,501.0,501.0,501.0,501.0,1001.0,501.0,501.0,901.0,751.0,1501.0,501.0,501.0,501.0,501.0,,501.0,901.0,501.0,901.0,,23.0,,
hannover,Germany,501.0,501.0,751.0,501.0,751.0,501.0,751.0,501.0,501.0,2001.0,1001.0,2001.0,751.0,501.0,751.0,1001.0,,501.0,2001.0,1001.0,2001.0,601.0,23.0,,
hertha berlin,Germany,1001.0,751.0,1001.0,751.0,1001.0,501.0,751.0,501.0,751.0,801.0,1001.0,2001.0,751.0,751.0,751.0,1001.0,,751.0,801.0,751.0,801.0,501.0,23.0,,
werder bremen,Germany,501.0,501.0,301.0,501.0,301.0,301.0,1501.0,501.0,501.0,901.0,501.0,2001.0,501.0,751.0,501.0,501.0,,751.0,901.0,501.0,901.0,501.0,23.0,,
augsburg,Germany,501.0,501.0,251.0,501.0,251.0,501.0,1001.0,501.0,501.0,701.0,351.0,2001.0,501.0,251.0,501.0,751.0,,251.0,701.0,501.0,701.0,601.0,25.0,,
mainz 05,Germany,301.0,501.0,401.0,501.0,401.0,401.0,751.0,501.0,251.0,501.0,501.0,2001.0,501.0,501.0,501.0,501.0,,501.0,501.0,751.0,501.0,501.0,25.0,,
ingolstadt,Germany,2501.0,1501.0,1501.0,1001.0,1501.0,751.0,1501.0,501.0,1001.0,3001.0,1501.0,2501.0,2501.0,1001.0,2001.0,1001.0,,1001.0,3001.0,1001.0,3001.0,1501.0,23.0,,
darmstadt,Germany,2501.0,1501.0,2501.0,1501.0,2501.0,1001.0,5001.0,501.0,2501.0,6001.0,5001.0,5001.0,2501.0,2501.0,2501.0,2501.0,,2501.0,6001.0,1501.0,6001.0,1501.0,23.0,,
barcelona,Spain,1.57,1.62,1.57,1.57,1.57,1.57,1.5,1.57,1.53,1.58,1.57,1.57,1.62,1.57,1.57,1.62,,1.57,1.58,1.57,1.58,1.57,1.58,1.54,
real madrid,Spain,2.88,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.9,2.62,2.75,2.62,2.75,2.75,2.75,,2.75,2.9,2.75,2.9,2.75,2.82,2.67,
atletico madrid,Spain,15.0,15.0,15.0,17.0,15.0,15.0,17.0,15.0,15.0,16.0,21.0,15.0,13.0,15.0,15.0,15.0,,15.0,16.0,15.0,16.0,17.0,14.3,11.2,
seville,Spain,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,51.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,,67.0,67.0,67.0,67.0,67.0,52.0,58.0,
valencia,Spain,67.0,41.0,67.0,67.0,67.0,51.0,67.0,51.0,51.0,67.0,67.0,67.0,67.0,51.0,51.0,41.0,,51.0,67.0,51.0,67.0,67.0,57.0,116.0,
villarreal,Spain,251.0,101.0,251.0,251.0,251.0,101.0,251.0,251.0,151.0,251.0,301.0,201.0,251.0,251.0,251.0,251.0,,251.0,251.0,201.0,251.0,251.0,95.0,116.0,
athletic bilbao,Spain,501.0,101.0,501.0,301.0,501.0,201.0,251.0,301.0,251.0,251.0,501.0,501.0,251.0,251.0,251.0,201.0,,251.0,251.0,251.0,251.0,251.0,190.0,194.0,
celta vigo,Spain,751.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,401.0,751.0,1001.0,501.0,501.0,751.0,751.0,501.0,,751.0,751.0,1001.0,751.0,,95.0,180.0,
malaga,Spain,1001.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,751.0,1001.0,1001.0,1001.0,1001.0,501.0,501.0,501.0,,501.0,1001.0,751.0,1001.0,1001.0,95.0,180.0,
real sociedad,Spain,1001.0,501.0,751.0,751.0,751.0,501.0,1001.0,501.0,751.0,1001.0,1001.0,1001.0,1001.0,751.0,751.0,501.0,,751.0,1001.0,751.0,1001.0,,95.0,180.0,
espanyol,Spain,1001.0,1001.0,751.0,751.0,751.0,751.0,1001.0,501.0,751.0,1501.0,1501.0,1001.0,751.0,1001.0,1001.0,751.0,,1001.0,1501.0,1001.0,1501.0,1501.0,95.0,180.0,
betis,Spain,4501.0,1001.0,2001.0,1501.0,2001.0,1001.0,5001.0,501.0,2001.0,2501.0,5001.0,1001.0,2501.0,1001.0,1001.0,1501.0,,1001.0,2501.0,1501.0,2501.0,,95.0,180.0,
rayo vallecano,Spain,1001.0,1001.0,2001.0,2001.0,2001.0,1501.0,2501.0,501.0,2001.0,2501.0,5001.0,1001.0,2501.0,2501.0,2501.0,2001.0,,2501.0,2501.0,2501.0,2501.0,,95.0,180.0,
deportivo la coruna,Spain,5000.0,1501.0,2001.0,2501.0,2001.0,1001.0,5001.0,501.0,2001.0,4001.0,10001.0,2001.0,2501.0,2001.0,2001.0,1501.0,,2001.0,4001.0,2501.0,4001.0,,95.0,180.0,
eibar,Spain,5000.0,5001.0,5001.0,2501.0,5001.0,5001.0,5001.0,501.0,5001.0,5001.0,10001.0,5001.0,5001.0,5001.0,5001.0,2001.0,,5001.0,5001.0,2501.0,5001.0,,95.0,180.0,
getafe,Spain,5000.0,5001.0,5001.0,2501.0,5001.0,2001.0,5001.0,501.0,2501.0,4001.0,10001.0,2001.0,5001.0,5001.0,5001.0,2501.0,,5001.0,4001.0,2501.0,4001.0,,95.0,180.0,
gijon,Spain,5000.0,5001.0,2501.0,2501.0,2501.0,2501.0,5001.0,501.0,2001.0,5001.0,10001.0,2001.0,5001.0,5001.0,5001.0,5001.0,,5001.0,5001.0,2501.0,5001.0,,95.0,180.0,
granada,Spain,5000.0,5001.0,5001.0,2501.0,5001.0,2001.0,5001.0,501.0,5001.0,5001.0,10001.0,2001.0,5001.0,5001.0,5001.0,2501.0,,5001.0,5001.0,2501.0,5001.0,,95.0,180.0,
levante,Spain,5000.0,5001.0,5001.0,2501.0,5001.0,2001.0,2501.0,501.0,2501.0,5001.0,10001.0,5001.0,5001.0,5001.0,5001.0,2501.0,,5001.0,5001.0,2501.0,5001.0,,95.0,180.0,
ud las palmas,Spain,5000.0,5001.0,5001.0,2501.0,5001.0,5001.0,5001.0,501.0,2501.0,5001.0,10001.0,2001.0,5001.0,1001.0,1001.0,5001.0,,1001.0,5001.0,2501.0,5001.0,,95.0,180.0,
man city,England,1.8,1.83,,1.8,1.83,1.7,,1.85,1.8,1.8,1.75,1.73,1.83,1.83,1.8,1.83,1.8,1.83,1.8,1.83,1.8,1.8,1.78,1.78,1.81
chelsea,England,4.33,4.33,,4.0,4.0,4.6,,4.33,4.33,4.5,4.33,4.33,4.33,4.33,4.0,4.33,4.25,4.33,4.5,4.33,4.5,4.2,4.42,4.69,4.56
arsenal,England,6.5,6.5,,6.0,6.0,6.5,,6.0,6.0,6.25,6.5,6.5,5.5,6.0,7.0,6.0,6.2,6.0,6.25,6.0,6.25,6.5,7.46,7.4,7.73
man utd,England,11.0,11.0,,10.0,10.0,11.0,,11.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,12.9,13.1,13.4
liverpool,England,23.0,23.0,,26.0,21.0,17.0,,23.0,23.0,23.0,23.0,15.0,21.0,23.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,23.0,25.0,24.0,26.0
tottenham,England,251.0,201.0,,251.0,201.0,301.0,,201.0,251.0,301.0,301.0,351.0,201.0,251.0,251.0,251.0,251.0,251.0,301.0,251.0,301.0,251.0,323.0,286.0,298.0
everton,England,501.0,501.0,,401.0,501.0,501.0,,301.0,501.0,601.0,501.0,501.0,501.0,401.0,501.0,401.0,501.0,401.0,601.0,501.0,601.0,501.0,817.0,839.0,80.0
southampton,England,751.0,501.0,,501.0,501.0,501.0,,501.0,751.0,751.0,751.0,501.0,351.0,501.0,1001.0,401.0,601.0,501.0,751.0,751.0,751.0,751.0,950.0,878.0,496.0
swansea,England,1501.0,1501.0,,1501.0,1001.0,1501.0,,1001.0,1001.0,1501.0,1501.0,1501.0,1001.0,1501.0,1001.0,1001.0,1001.0,1501.0,1501.0,1501.0,1501.0,1501.0,950.0,970.0,496.0
crystal palace,England,1501.0,1501.0,,1001.0,2001.0,2001.0,,1251.0,1001.0,1501.0,3001.0,1501.0,3001.0,1501.0,1501.0,1251.0,1001.0,1501.0,1501.0,1501.0,1501.0,1501.0,950.0,970.0,496.0
stoke,England,1251.0,1501.0,,1501.0,1001.0,1001.0,,1501.0,1501.0,1501.0,2501.0,1501.0,3001.0,2001.0,1501.0,1501.0,1001.0,2001.0,1501.0,1251.0,1501.0,1251.0,950.0,970.0,496.0
aston villa,England,2001.0,5001.0,,3001.0,2001.0,2001.0,,2001.0,5001.0,5001.0,5001.0,2001.0,5001.0,2001.0,2501.0,2501.0,1001.0,2001.0,5001.0,2001.0,5001.0,2001.0,950.0,970.0,496.0
leicester,England,1501.0,5001.0,,1501.0,2001.0,2001.0,,1501.0,1501.0,1501.0,2501.0,2001.0,1501.0,2001.0,1501.0,2001.0,1001.0,2001.0,1501.0,1501.0,1501.0,1751.0,950.0,970.0,496.0
newcastle,England,2501.0,5001.0,,2001.0,1001.0,1501.0,,1501.0,2501.0,2001.0,5001.0,1501.0,3001.0,3001.0,2501.0,1501.0,1001.0,3001.0,2001.0,2501.0,2001.0,2501.0,950.0,970.0,496.0
west ham,England,1001.0,5001.0,,2001.0,1501.0,1001.0,,1251.0,2501.0,2001.0,5001.0,1501.0,1001.0,2001.0,2501.0,2001.0,1001.0,2001.0,2001.0,1001.0,2001.0,1001.0,950.0,970.0,496.0
bournemouth,England,5000.0,5001.0,,2501.0,2001.0,5001.0,,2001.0,3001.0,5001.0,7501.0,5001.0,1001.0,5001.0,2501.0,3001.0,1001.0,5001.0,5001.0,5001.0,5001.0,7501.0,950.0,970.0,496.0
west brom,England,2001.0,5001.0,,3001.0,2001.0,2001.0,,2001.0,4001.0,5001.0,7501.0,2001.0,5001.0,3001.0,2501.0,2001.0,1001.0,3001.0,5001.0,2001.0,5001.0,2001.0,950.0,970.0,496.0
norwich,England,5000.0,5001.0,,5001.0,2001.0,5001.0,,5001.0,6001.0,7501.0,8001.0,5001.0,1001.0,5001.0,1501.0,7501.0,1001.0,5001.0,7501.0,5001.0,7501.0,7501.0,950.0,970.0,496.0
