name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,,,,,,1.0,,,,,,,,,,,,,,1.1,,,,
vfl wolfsburg,Germany,,,,,,,26.0,,,,,,,,,,,,,,15.0,,,,
schalke 04,Germany,,,,,,,151.0,,,,,,,,,,,,,,34.0,,,,
bor monchengladbach,Germany,,,,,,,201.0,,,,,,,,,,,,,,26.0,,,,
bayer leverkusen,Germany,,,,,,,251.0,,,,,,,,,,,,,,21.0,,,,
bor dortmund,Germany,,,,,,,501.0,,,,,,,,,,,,,,15.0,,,,
hannover 96,Germany,,,,,,,501.0,,,,,,,,,,,,,,251.0,,,,
mainz 05,Germany,,,,,,,401.0,,,,,,,,,,,,,,501.0,,,,
hoffenheim,Germany,,,,,,,751.0,,,,,,,,,,,,,,151.0,,,,
eintracht frankfurt,Germany,,,,,,,1001.0,,,,,,,,,,,,,,251.0,,,,
fc koln,Germany,,,,,,,1001.0,,,,,,,,,,,,,,501.0,,,,
vfb stuttgart,Germany,,,,,,,1001.0,,,,,,,,,,,,,,251.0,,,,
hertha berlin,Germany,,,,,,,1501.0,,,,,,,,,,,,,,501.0,,,,
augsburg,Germany,,,,,,,2001.0,,,,,,,,,,,,,,251.0,,,,
freiburg,Germany,,,,,,,2001.0,,,,,,,,,,,,,,751.0,,,,
werder bremen,Germany,,,,,,,2001.0,,,,,,,,,,,,,,251.0,,,,
hamburg,Germany,,,,,,,2501.0,,,,,,,,,,,,,,251.0,,,,
paderborn,Germany,,,,,,,2501.0,,,,,,,,,,,,,,1001.0,,,,
barcelona,Spain,,1.33,,1.3,,,1.22,1.25,,1.27,1.29,,,1.29,,1.28,,,1.29,1.27,,1.27,1.35,1.02,
real madrid,Spain,,3.25,,3.4,,,4.0,3.5,,3.5,3.5,,,3.5,,3.5,,,3.5,3.5,,3.5,3.23,1.02,
atletico madrid,Spain,,,,,,,,,,,,,,,,,,,,,,,285.0,,
chelsea,England,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0
arsenal,England,101.0,101.0,,,,,,126.0,,,101.0,251.0,,,,,,,,,,,475.0,466.0,80.0
psg,France,,1.17,,,,,1.14,1.17,,1.17,1.12,,,1.16,,1.16,,,1.16,1.17,,1.17,1.13,1.1,
lyon,France,,4.5,,,,,5.0,4.5,,4.5,5.5,,,4.5,,4.5,,,4.5,4.5,,4.5,5.46,5.27,
monaco,France,,,,,,,101.0,,,,501.0,,,,,,,,,,,,15.7,87.0,
st etienne,France,,,,,,,,,,,1001.0,,51.0,,,,,,,,,,,,
montpellier,France,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
lorient,France,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
marseille,France,,,,,,,,,,,1001.0,,,,,,,,,,,,,,
metz,France,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
nantes,France,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
