name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.2,1.22,1.2,1.25,1.2,1.2,1.22,1.25,,1.22,1.22,1.25,1.2,1.22,1.25,1.22,1.22,1.22,1.2,1.22,1.24,1.28,1.26,
Bor Dortmund,Germany,4.5,4.33,4.5,4.33,4.5,4.6,4.33,4.2,,4.5,4.5,4.5,4.33,4.33,4.5,4.25,4.5,4.5,4.5,4.5,4.8,5.09,4.8,
Bayer Leverkusen,Germany,26.0,21.0,26.0,21.0,26.0,26.0,21.0,19.0,,20.0,21.0,21.0,17.0,21.0,26.0,21.0,20.0,26.0,26.0,21.0,18.5,26.0,29.0,
Schalke 04,Germany,201.0,101.0,101.0,101.0,101.0,151.0,101.0,101.0,,100.0,101.0,151.0,81.0,101.0,101.0,67.0,100.0,151.0,201.0,101.0,70.0,95.0,80.0,
VfL Wolfsburg,Germany,201.0,151.0,151.0,126.0,151.0,151.0,151.0,126.0,,150.0,151.0,151.0,151.0,151.0,201.0,101.0,150.0,151.0,201.0,151.0,144.0,190.0,179.0,
Bor Monchengladbach,Germany,251.0,151.0,201.0,201.0,201.0,201.0,151.0,126.0,,150.0,201.0,151.0,201.0,151.0,201.0,101.0,150.0,201.0,251.0,151.0,196.0,314.0,252.0,
VfB Stuttgart,Germany,176.0,151.0,151.0,151.0,151.0,251.0,201.0,151.0,,200.0,201.0,201.0,201.0,201.0,301.0,101.0,200.0,251.0,201.0,201.0,205.0,285.0,261.0,
Hannover 96,Germany,301.0,,201.0,401.0,201.0,401.0,301.0,501.0,,200.0,301.0,201.0,301.0,251.0,501.0,101.0,200.0,401.0,301.0,501.0,260.0,371.0,337.0,
Werder Bremen,Germany,301.0,201.0,301.0,201.0,301.0,301.0,251.0,251.0,,300.0,351.0,501.0,501.0,201.0,301.0,251.0,300.0,301.0,301.0,251.0,350.0,485.0,451.0,
Eintracht Frankfurt,Germany,601.0,,251.0,,251.0,401.0,501.0,251.0,,200.0,301.0,501.0,301.0,251.0,751.0,151.0,200.0,501.0,,751.0,340.0,485.0,442.0,
Hamburg,Germany,601.0,,401.0,401.0,401.0,301.0,301.0,251.0,,300.0,501.0,501.0,501.0,251.0,751.0,251.0,300.0,301.0,,751.0,540.0,760.0,713.0,
Hertha Berlin,Germany,601.0,,401.0,,401.0,501.0,301.0,301.0,,200.0,351.0,501.0,501.0,501.0,1001.0,151.0,200.0,501.0,,301.0,230.0,333.0,304.0,
Freiburg,Germany,601.0,,501.0,,501.0,701.0,1001.0,501.0,,1000.0,751.0,1001.0,501.0,751.0,1001.0,501.0,1000.0,701.0,,1001.0,610.0,950.0,884.0,
Hoffenheim,Germany,1001.0,,201.0,401.0,201.0,501.0,501.0,301.0,,250.0,351.0,501.0,501.0,351.0,751.0,151.0,250.0,501.0,,501.0,615.0,950.0,888.0,
Mainz 05,Germany,1001.0,,301.0,,301.0,401.0,751.0,401.0,,300.0,401.0,501.0,501.0,351.0,1001.0,151.0,300.0,401.0,,501.0,615.0,950.0,888.0,
Augsburg,Germany,3001.0,,1001.0,,1001.0,2501.0,2501.0,401.0,,200.0,2001.0,1001.0,1001.0,1501.0,2501.0,251.0,200.0,2501.0,,2001.0,615.0,950.0,888.0,
Nurnberg,Germany,3001.0,,751.0,,751.0,1001.0,1001.0,501.0,,1000.0,1001.0,1501.0,1001.0,751.0,1501.0,501.0,1000.0,1001.0,,1001.0,615.0,950.0,888.0,
Braunschweig,Germany,5001.0,,5001.0,,5001.0,5001.0,5001.0,501.0,,3000.0,5001.0,5001.0,5001.0,5001.0,5001.0,2001.0,3000.0,5001.0,,2501.0,615.0,950.0,888.0,
Barcelona,Spain,1.44,1.44,1.44,1.47,1.44,1.4,1.44,1.5,1.44,,1.29,,1.4,1.4,1.44,1.45,,1.4,1.47,1.4,1.44,1.46,1.43,
Real Madrid,Spain,3.5,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.4,,3.25,3.25,3.0,3.15,,3.0,3.0,3.25,3.25,3.94,3.52,
Atletico Madrid,Spain,11.0,13.0,15.0,13.0,15.0,17.0,15.0,13.0,13.0,,15.0,,11.0,13.0,15.0,11.0,,17.0,15.0,15.0,10.5,11.4,11.0,
Valencia,Spain,401.0,401.0,201.0,251.0,201.0,401.0,251.0,226.0,401.0,,401.0,,501.0,251.0,,,,401.0,,401.0,260.0,523.0,337.0,
Athl Bilbao,Spain,401.0,501.0,301.0,401.0,301.0,1001.0,1001.0,401.0,501.0,,1001.0,,501.0,751.0,,,,1001.0,,751.0,200.0,295.0,252.0,
Betis,Spain,,501.0,501.0,401.0,501.0,1001.0,751.0,401.0,501.0,,1001.0,,751.0,751.0,,,,1001.0,,1001.0,295.0,409.0,380.0,
Real Sociedad,Spain,,501.0,401.0,251.0,401.0,1001.0,401.0,201.0,501.0,,1001.0,,751.0,501.0,,,,1001.0,,501.0,170.0,437.0,214.0,
Malaga,Spain,1001.0,1001.0,1001.0,501.0,1001.0,1001.0,1001.0,501.0,501.0,,1001.0,,751.0,751.0,,,,1001.0,,1001.0,615.0,950.0,888.0,
Sevilla,Spain,,1001.0,1001.0,501.0,1001.0,1001.0,1001.0,401.0,1001.0,,1501.0,,751.0,751.0,,,,1001.0,,,240.0,504.0,309.0,
Espanyol,Spain,1501.0,,501.0,,501.0,1501.0,1001.0,1001.0,1001.0,,1501.0,,1001.0,,,,,1501.0,,2001.0,360.0,513.0,480.0,
Villarreal,Spain,401.0,,501.0,,501.0,1501.0,1501.0,,3001.0,,501.0,,501.0,,,,,1501.0,,1501.0,128.0,171.0,158.0,
Celta Vigo,Spain,,,,,,3001.0,2501.0,1501.0,2001.0,,5001.0,,1501.0,,,,,3001.0,,,615.0,950.0,888.0,
Getafe,Spain,,,,,,2001.0,2001.0,1001.0,1501.0,,5001.0,,1001.0,,,,,2001.0,,,615.0,950.0,888.0,
Granada,Spain,,,,,,5001.0,5001.0,3001.0,3001.0,,5001.0,,2501.0,,,,,5001.0,,,615.0,950.0,888.0,
Levante,Spain,,,,,,3501.0,2501.0,2001.0,2501.0,,5001.0,,2501.0,,,,,3501.0,,,615.0,950.0,888.0,
Valladolid,Spain,,,,,,3501.0,3001.0,2501.0,3001.0,,5001.0,,4001.0,,,,,3501.0,,,615.0,950.0,888.0,
Osasuna,Spain,,,,,,5001.0,5001.0,2501.0,3001.0,,7501.0,,4001.0,,,,,5001.0,,,615.0,950.0,888.0,
Rayo Vallecano,Spain,,,,,,5001.0,5001.0,1001.0,1501.0,,8001.0,,2501.0,,,,,5001.0,,,615.0,950.0,888.0,
Almeria,Spain,,,,,,7501.0,7501.0,,,,9001.0,,5001.0,,,,,8001.0,,,615.0,950.0,888.0,
Elche,Spain,,,,,,7501.0,7501.0,5001.0,7501.0,,9001.0,,5001.0,,,,,8001.0,,,615.0,950.0,888.0,
Man City,England,3.25,3.3,3.25,3.4,3.25,3.5,3.0,3.25,3.2,3.4,3.25,3.25,3.25,3.25,3.25,3.4,3.4,3.3,3.25,3.3,3.7,3.66,3.66,
