name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
eibar,Spain,10001.0,5001.0,2501.0,2501.0,2501.0,5001.0,5001.0,501.0,2501.0,7501.0,10001.0,5001.0,5001.0,5001.0,5001.0,2001.0,1001.0,5001.0,7501.0,2501.0,7501.0,,,844.0,
getafe,Spain,10001.0,5001.0,1501.0,2501.0,1501.0,2001.0,5001.0,501.0,2501.0,5001.0,10001.0,2001.0,5001.0,5001.0,5001.0,2501.0,1001.0,5001.0,5001.0,2501.0,5001.0,,,844.0,
gijon,Spain,10001.0,5001.0,2501.0,2501.0,2501.0,2501.0,5001.0,501.0,2501.0,7501.0,10001.0,2001.0,5001.0,5001.0,5001.0,5001.0,1001.0,5001.0,7501.0,2501.0,7501.0,,,844.0,
granada,Spain,10001.0,5001.0,2001.0,2501.0,2001.0,2001.0,5001.0,501.0,2001.0,5001.0,10001.0,2001.0,5001.0,5001.0,5001.0,2501.0,1001.0,5001.0,5001.0,2501.0,5001.0,,,844.0,
levante,Spain,10001.0,5001.0,2501.0,2501.0,2501.0,2001.0,2501.0,501.0,2501.0,5001.0,10001.0,5001.0,5001.0,5001.0,5001.0,2501.0,1001.0,5001.0,5001.0,2501.0,5001.0,,,844.0,
ud las palmas,Spain,10001.0,5001.0,2501.0,2501.0,2501.0,5001.0,5001.0,501.0,2501.0,5001.0,10001.0,2001.0,5001.0,5001.0,1001.0,5001.0,1001.0,5001.0,5001.0,2501.0,5001.0,,,844.0,
chelsea,England,2.88,2.88,2.75,2.75,2.75,2.9,2.75,3.0,2.75,2.9,2.88,3.0,2.88,2.75,2.62,2.88,,2.75,2.9,2.75,2.9,2.85,2.9,2.94,3.0
man city,England,3.0,3.25,3.25,3.4,3.25,3.3,3.25,3.25,3.25,3.25,3.25,3.0,3.25,3.25,3.25,3.25,,3.25,3.25,3.25,3.25,3.2,3.14,3.18,3.24
arsenal,England,5.5,6.0,5.5,5.0,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.0,5.0,5.5,5.5,6.0,,5.5,5.5,5.0,5.5,5.3,5.75,5.85,5.95
man utd,England,6.0,5.0,6.0,5.5,6.0,6.0,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.5,6.0,,6.0,6.0,5.0,6.0,6.25,6.51,6.43,6.74
liverpool,England,19.0,21.0,17.0,17.0,17.0,19.0,15.0,17.0,17.0,21.0,17.0,15.0,17.0,17.0,19.0,17.0,,17.0,21.0,17.0,21.0,21.0,18.1,18.5,18.8
tottenham,England,151.0,151.0,126.0,126.0,126.0,151.0,151.0,151.0,151.0,201.0,201.0,201.0,201.0,151.0,201.0,151.0,,151.0,201.0,151.0,201.0,156.0,190.0,199.0,150.0
southampton,England,301.0,201.0,201.0,301.0,201.0,201.0,251.0,376.0,251.0,301.0,301.0,251.0,251.0,251.0,251.0,301.0,,251.0,301.0,251.0,301.0,306.0,532.0,567.0,496.0
everton,England,401.0,251.0,401.0,401.0,401.0,301.0,501.0,426.0,501.0,501.0,401.0,501.0,501.0,401.0,401.0,501.0,,401.0,501.0,401.0,501.0,411.0,656.0,674.0,496.0
west ham,England,1001.0,501.0,1001.0,1001.0,1001.0,1001.0,751.0,1251.0,1001.0,1001.0,2001.0,2001.0,1001.0,1001.0,1001.0,1501.0,,1001.0,1001.0,1001.0,1001.0,1001.0,950.0,931.0,496.0
crystal palace,England,1501.0,2001.0,2001.0,1001.0,2001.0,2001.0,1001.0,1001.0,1001.0,1501.0,3001.0,1501.0,3001.0,1501.0,1001.0,2001.0,,1501.0,1501.0,1001.0,1501.0,1001.0,950.0,931.0,496.0
stoke,England,1251.0,1001.0,1001.0,1501.0,1001.0,1001.0,2501.0,1501.0,1001.0,1501.0,3001.0,2001.0,3001.0,2001.0,1001.0,1501.0,,2001.0,1501.0,1001.0,1501.0,1501.0,950.0,931.0,496.0
