name,country,max,min,mean,median,twentyfive,seventyfive
chelsea,England,1.3,1.2,1.2404761904761905,1.22,1.22,1.25
man city,England,5.5,5.0,5.0571428571428569,5.0,5.0,5.0
arsenal,England,47.0,34.0,37.666666666666664,34.0,34.0,41.0
man utd,England,62.0,29.0,41.80952380952381,41.0,34.0,41.0
southampton,England,314.0,34.0,236.61904761904762,251.0,201.0,301.0
liverpool,England,501.0,251.0,370.04761904761904,401.0,301.0,401.0
tottenham,England,501.0,298.0,373.1904761904762,401.0,301.0,401.0
crystal palace,England,1001.0,496.0,854.25,960.0,836.5,977.75
newcastle,England,1501.0,496.0,979.25,960.0,836.5,1102.75
sunderland,England,2001.0,496.0,1104.25,960.0,836.5,1227.75
everton,England,2501.0,496.0,1273.0,950.0,917.0,1501.0
stoke,England,2501.0,496.0,1229.25,960.0,836.5,1352.75
swansea,England,2501.0,496.0,1216.0,933.5,811.75,1337.75
aston villa,England,4001.0,496.0,1591.0,933.5,811.75,1712.75
west ham,England,5001.0,496.0,1819.8333333333333,1235.5,955.0,1876.0
west brom,England,7501.0,496.0,2479.25,960.0,836.5,2602.75
hull,England,15001.0,496.0,4354.25,960.0,836.5,4477.75
qpr,England,15001.0,950.0,5640.333333333333,970.0,960.0,7985.5
burnley,England,20001.0,496.0,5604.25,960.0,836.5,5727.75
leicester,England,20001.0,496.0,5604.25,960.0,836.5,5727.75
celtic,Scotland,1.06,1.03,1.0404761904761906,1.04,1.04,1.04
aberdeen,Scotland,15.0,11.0,12.023809523809524,12.0,11.0,12.0
dundee utd,Scotland,41.0,29.0,34.666666666666664,34.0,34.0,34.0
inverness,Scotland,82.0,34.0,69.400000000000006,67.0,67.0,81.0
hamilton,Scotland,751.0,2.77,306.55399999999997,251.0,27.0,501.0
st johnstone,Scotland,1001.0,204.0,538.20000000000005,276.0,209.0,1001.0
kilmarnock,Scotland,2501.0,262.0,887.25,393.0,279.25,1001.0
dundee,Scotland,3001.0,36.0,1220.5,922.5,642.0,1501.0
motherwell,Scotland,10001.0,36.0,2970.5,922.5,642.0,3251.0
partick,Scotland,10001.0,36.0,2970.5,922.5,642.0,3251.0
st mirren,Scotland,10001.0,36.0,2970.5,922.5,642.0,3251.0
ross county,Scotland,20001.0,36.0,5470.5,922.5,642.0,5751.0
fenerbahce,Turkey,2.2,2.05,2.125,2.125,2.0874999999999999,2.1625000000000001
galatasaray,Turkey,2.5,2.38,2.4399999999999999,2.4399999999999999,2.4100000000000001,2.4699999999999998
besiktas,Turkey,4.33,4.2,4.2650000000000006,4.2650000000000006,4.2324999999999999,4.2975000000000003
bursaspor,Turkey,67.0,32.0,55.333333333333336,67.0,49.5,67.0
eskisehirspor,Turkey,67.0,32.0,49.5,49.5,40.75,58.25
gaziantepspor,Turkey,67.0,32.0,49.5,49.5,40.75,58.25
mersin i y,Turkey,67.0,32.0,49.5,49.5,40.75,58.25
trabzonspor,Turkey,101.0,14.3,57.649999999999999,57.649999999999999,35.975000000000001,79.325000000000003
akhisar,Turkey,101.0,32.0,66.5,66.5,49.25,83.75
genclerbirligi,Turkey,101.0,32.0,66.5,66.5,49.25,83.75
sivasspor,Turkey,101.0,32.0,66.5,66.5,49.25,83.75
istanbul bb,Turkey,126.0,32.0,86.333333333333329,101.0,66.5,113.5
karabukspor,Turkey,126.0,32.0,79.0,79.0,55.5,102.5
rizespor,Turkey,151.0,32.0,91.5,91.5,61.75,121.25
balikesirspor,Turkey,751.0,32.0,391.5,391.5,211.75,571.25
erciyesspor,Turkey,1001.0,32.0,516.5,516.5,274.25,758.75
konyaspor,Turkey,1001.0,32.0,516.5,516.5,274.25,758.75
kasimpasa,Turkey,32.0,32.0,32.0,32.0,32.0,32.0
