name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,1.01,1.01,
vfl wolfsburg,Germany,101.0,51.0,34.0,51.0,34.0,23.0,26.0,26.0,26.0,,,,51.0,41.0,,67.0,26.0,,41.0,,,,3.85,,
bor monchengladbach,Germany,,251.0,201.0,,201.0,101.0,201.0,201.0,201.0,,,,,201.0,,201.0,201.0,,201.0,,,,3.85,,
schalke 04,Germany,,251.0,251.0,,251.0,201.0,151.0,201.0,201.0,,,,,201.0,,201.0,201.0,,201.0,,,,114.0,155.0,
bayer leverkusen,Germany,,251.0,201.0,,201.0,126.0,251.0,201.0,201.0,,,,,251.0,,251.0,251.0,,251.0,,,,133.0,6.82,
bor dortmund,Germany,,,,,,401.0,501.0,501.0,,,,,,501.0,,,,,501.0,,,,,,
hannover 96,Germany,,,,,,,501.0,501.0,,,,,,,,,,,,,,,,,
mainz 05,Germany,,,,,,,401.0,501.0,,,,,,,,,,,,,,,,,
hoffenheim,Germany,,,,,,,751.0,501.0,,,,,,,,,,,,,,,1.01,,
eintracht frankfurt,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,3.85,,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,,,,,,,,,,,,
werder bremen,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,1.01,,
augsburg,Germany,,,401.0,,401.0,,2001.0,501.0,,,,,,,,,,,,,,,44.0,,
freiburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,,
