name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
genclerbirligi,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
istanbul bb,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
kasimpasa,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
kayserispor,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
konyaspor,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
mersin i y,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
osmanlispor,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
rizespor,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
sivasspor,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
trabzonspor,Turkey,,,,,,,,,,,,,,,,,,,,,,,,9.55,,
