name,country,max,min,mean,median,twentyfive,seventyfive
Bayern Munich,Germany,1.02,1.01,1.0106250000000001,1.01,1.01,1.01
Bayer Leverkusen,Germany,86.0,15.5,40.352941176470587,41.0,41.0,41.0
Bor Dortmund,Germany,51.0,34.0,40.470588235294116,41.0,40.0,41.0
Bor Monchengladbach,Germany,501.0,144.0,287.23076923076923,251.0,200.0,301.0
Schalke 04,Germany,501.0,152.0,420.91666666666669,501.0,425.75,501.0
VfL Wolfsburg,Germany,1001.0,260.0,497.19999999999999,380.0,344.0,501.0
Eintracht Frankfurt,Germany,380.0,255.0,323.33333333333331,335.0,295.0,357.5
Werder Bremen,Germany,380.0,270.0,334.66666666666669,354.0,312.0,367.0
Hannover 96,Germany,399.0,280.0,350.66666666666669,373.0,326.5,386.0
VfB Stuttgart,Germany,475.0,340.0,422.0,451.0,395.5,463.0
Augsburg,Germany,485.0,205.0,319.0,267.0,236.0,376.0
Hertha Berlin,Germany,523.0,365.0,461.0,495.0,430.0,509.0
Hoffenheim,Germany,760.0,340.0,517.0,451.0,395.5,605.5
Braunschweig,Germany,950.0,615.0,824.0,907.0,761.0,928.5
Freiburg,Germany,950.0,610.0,820.66666666666663,902.0,756.0,926.0
Mainz 05,Germany,950.0,615.0,824.0,907.0,761.0,928.5
Nurnberg,Germany,950.0,615.0,824.0,907.0,761.0,928.5
Hamburg,Germany,10001.0,395.0,2872.75,547.5,499.25,2921.0
Barcelona,Spain,1.8,1.59,1.7012499999999999,1.7,1.6799999999999999,1.73
Real Madrid,Spain,2.77,2.06,2.5762499999999999,2.6850000000000001,2.4775,2.75
Atletico Madrid,Spain,7.08,5.1,6.75,7.0,6.9550000000000001,7.0
Athl Bilbao,Spain,950.0,300.0,576.20000000000005,565.0,300.0,766.0
Villarreal,Spain,950.0,300.0,576.20000000000005,565.0,300.0,766.0
Real Sociedad,Spain,950.0,500.0,656.20000000000005,565.0,500.0,766.0
Sevilla,Spain,950.0,565.0,695.20000000000005,600.0,600.0,761.0
Valencia,Spain,2500.0,565.0,1456.2,950.0,766.0,2500.0
Almeria,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Betis,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Celta Vigo,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Elche,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Espanyol,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Getafe,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Granada,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Levante,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
Malaga,Spain,950.0,565.0,760.33333333333337,766.0,665.5,858.0
