name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.08,,1.07,1.08,1.08,1.06,1.11,1.1,1.08,1.08,,,1.08,,1.08,1.08,,1.08,1.08,1.13,1.08,1.11,1.13,
bor dortmund,Germany,10.0,11.0,,9.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,,,8.5,,11.0,8.0,,8.5,9.0,10.0,9.0,10.0,9.15,
bayer leverkusen,Germany,21.0,23.0,,21.0,26.0,21.0,17.0,21.0,21.0,21.0,21.0,,,21.0,,21.0,21.0,,21.0,21.0,17.0,21.0,24.0,14.6,
vfl wolfsburg,Germany,81.0,67.0,,81.0,51.0,67.0,81.0,51.0,51.0,151.0,67.0,,,67.0,,81.0,67.0,,67.0,151.0,101.0,151.0,124.0,97.0,
schalke 04,Germany,81.0,67.0,,51.0,51.0,51.0,81.0,67.0,51.0,151.0,51.0,,,67.0,,81.0,67.0,,67.0,151.0,75.0,151.0,561.0,223.0,
bor monchengladbach,Germany,201.0,101.0,,101.0,101.0,101.0,251.0,101.0,101.0,151.0,151.0,,,151.0,,101.0,151.0,,151.0,151.0,75.0,151.0,171.0,78.0,
hoffenheim,Germany,151.0,151.0,,151.0,151.0,151.0,151.0,176.0,201.0,151.0,151.0,,,151.0,,251.0,151.0,,151.0,151.0,251.0,151.0,361.0,291.0,
mainz 05,Germany,301.0,251.0,,301.0,251.0,301.0,401.0,501.0,401.0,301.0,351.0,,,251.0,,401.0,301.0,,251.0,301.0,251.0,301.0,428.0,204.0,
hannover 96,Germany,1001.0,501.0,,501.0,501.0,501.0,501.0,501.0,501.0,301.0,501.0,,,751.0,,751.0,501.0,,751.0,301.0,251.0,301.0,105.0,87.0,
fc koln,Germany,1001.0,751.0,,751.0,751.0,751.0,1001.0,501.0,751.0,1001.0,1001.0,,,751.0,,1001.0,1001.0,,751.0,1001.0,501.0,1001.0,950.0,97.0,
