name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.01,1.01,,1.01,1.01,,1.01,,1.02,,1.02,1.01,
vfl wolfsburg,Germany,,21.0,23.0,,23.0,,21.0,26.0,,,,,26.0,21.0,,21.0,21.0,,21.0,,29.0,,42.0,40.0,
hannover 96,Germany,,,,,,,501.0,501.0,,,,,,,,501.0,,,,,,,23.0,844.0,
mainz 05,Germany,,,,,,,401.0,501.0,,,,,,,,501.0,,,,,,,40.0,844.0,
bor dortmund,Germany,,,301.0,,301.0,,501.0,501.0,,,,,,301.0,,301.0,,,301.0,,,,95.0,500.0,
schalke 04,Germany,,151.0,151.0,,151.0,,101.0,201.0,,,,,501.0,101.0,,151.0,151.0,,101.0,,501.0,,124.0,209.0,
bor monchengladbach,Germany,,201.0,151.0,,151.0,,201.0,201.0,,,,,501.0,151.0,,151.0,201.0,,151.0,,501.0,,314.0,272.0,
hoffenheim,Germany,,,501.0,,501.0,,751.0,501.0,,,,,,,,251.0,,,,,,,23.0,412.0,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,23.0,844.0,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,,,,,,,,1001.0,,,,,,,23.0,844.0,
eintracht frankfurt,Germany,,,751.0,,751.0,,1001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
bayer leverkusen,Germany,,201.0,201.0,,201.0,,251.0,151.0,,,,,1001.0,201.0,,201.0,201.0,,201.0,,501.0,,133.0,349.0,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,,,,,,,,,,23.0,844.0,
werder bremen,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,22.0,844.0,
freiburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
augsburg,Germany,,,,,,,2001.0,501.0,,,,,1001.0,,,,,,,,501.0,,124.0,124.0,
paderborn,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,23.0,844.0,
hamburg,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,40.0,844.0,
real madrid,Spain,1.73,1.83,1.8,1.67,1.8,1.75,1.8,1.83,,1.85,1.7,1.91,1.8,1.8,1.75,1.8,1.8,,1.8,,1.8,1.85,1.94,1.9,
barcelona,Spain,2.25,2.1,2.25,2.25,2.25,2.1,2.2,2.1,,2.1,2.2,1.91,2.1,2.1,2.15,2.1,2.1,,2.1,,2.1,2.1,2.27,2.22,
atletico madrid,Spain,15.0,12.0,11.0,13.0,11.0,13.0,11.0,11.0,,15.0,12.0,12.0,10.0,12.0,17.0,9.0,11.0,,12.0,15.0,11.0,15.0,11.4,11.2,
valencia,Spain,151.0,,151.0,251.0,151.0,151.0,,201.0,,251.0,501.0,,301.0,,501.0,151.0,201.0,,,,201.0,251.0,209.0,320.0,
seville,Spain,1001.0,,501.0,501.0,501.0,501.0,,501.0,,1001.0,1001.0,,751.0,,1001.0,251.0,501.0,,,1001.0,501.0,1001.0,390.0,500.0,
