name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,,,,,,,1.33,1.25,1.33,1.29,,,,1.29,,1.33,,1.25,,1.32,1.34,1.31,
Bor Dortmund,Germany,,,,,,,,3.75,4.0,3.75,4.0,,,,4.0,,3.75,,3.0,,3.85,3.94,3.8,
Bayer Leverkusen,Germany,,,,,,,,26.0,34.0,30.0,26.0,,,,34.0,,30.0,,34.0,,27.0,38.0,29.0,
Schalke 04,Germany,,,,,,,,51.0,67.0,75.0,67.0,,,,67.0,,75.0,,67.0,,50.0,86.0,55.0,
VfL Wolfsburg,Germany,,,,,,,,101.0,101.0,150.0,126.0,,,,151.0,,150.0,,101.0,,88.0,124.0,106.0,
Bor Monchengladbach,Germany,,,,,,,,201.0,251.0,150.0,201.0,,,,201.0,,150.0,,251.0,,330.0,475.0,428.0,
VfB Stuttgart,Germany,,,,,,,,201.0,301.0,200.0,251.0,,,,301.0,,200.0,,301.0,,150.0,200.0,184.0,
Werder Bremen,Germany,,,,,,,,251.0,251.0,300.0,501.0,,,,251.0,,300.0,,251.0,,400.0,570.0,532.0,
Hamburg,Germany,,,,,,,,251.0,251.0,200.0,501.0,,,,301.0,,200.0,,251.0,,540.0,760.0,713.0,
Hannover 96,Germany,,,,,,,,401.0,301.0,150.0,251.0,,,,751.0,,150.0,,301.0,,400.0,570.0,532.0,
Mainz 05,Germany,,,,,,,,301.0,501.0,200.0,251.0,,,,751.0,,200.0,,501.0,,400.0,570.0,532.0,
Eintracht Frankfurt,Germany,,,,,,,,201.0,401.0,300.0,201.0,,,,751.0,,300.0,,401.0,,525.0,760.0,698.0,
Hoffenheim,Germany,,,,,,,,201.0,501.0,200.0,251.0,,,,751.0,,200.0,,501.0,,540.0,760.0,713.0,
Freiburg,Germany,,,,,,,,401.0,501.0,1000.0,751.0,,,,751.0,,1000.0,,501.0,,610.0,950.0,884.0,
Hertha Berlin,Germany,,,,,,,,401.0,1001.0,200.0,351.0,,,,1001.0,,200.0,,1001.0,,540.0,760.0,713.0,
Nurnberg,Germany,,,,,,,,501.0,751.0,1000.0,1001.0,,,,1501.0,,1000.0,,751.0,,615.0,950.0,888.0,
Augsburg,Germany,,,,,,,,401.0,1501.0,300.0,1501.0,,,,2501.0,,300.0,,1501.0,,615.0,950.0,888.0,
