name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,,1.12,1.13,1.13,,1.12,1.12,,1.14,,,1.12,1.12,1.12,1.12,1.15,1.14,,1.13,1.17,1.15,
Bor Dortmund,Germany,,,6.0,6.0,6.0,,6.0,6.0,,6.0,,,6.0,6.0,6.0,6.0,5.0,6.0,,6.0,6.7,6.04,
Bayer Leverkusen,Germany,,,23.0,26.0,23.0,,26.0,23.0,,30.0,,,23.0,26.0,23.0,26.0,41.0,30.0,,27.0,32.0,33.0,
Schalke 04,Germany,,,81.0,201.0,81.0,,301.0,81.0,,150.0,,,201.0,151.0,151.0,151.0,101.0,150.0,,96.0,114.0,116.0,
VfL Wolfsburg,Germany,,,,251.0,,,301.0,101.0,,300.0,,,251.0,251.0,251.0,251.0,101.0,300.0,,140.0,190.0,177.0,
Bor Monchengladbach,Germany,,,81.0,201.0,81.0,,401.0,101.0,,250.0,,,201.0,151.0,151.0,151.0,101.0,250.0,,142.0,200.0,180.0,
Mainz 05,Germany,,,,,,,,326.0,,,,,,,501.0,501.0,501.0,,,270.0,380.0,359.0,
Hamburg,Germany,,,,,,,,326.0,,,,,,,751.0,501.0,501.0,,,154.0,162.0,199.0,
Hertha Berlin,Germany,,,,,,,,301.0,,500.0,,,,,501.0,751.0,501.0,500.0,,154.0,219.0,194.0,
Eintracht Frankfurt,Germany,,,,,,,,376.0,,,,,,501.0,751.0,751.0,501.0,,,255.0,371.0,340.0,
Hannover 96,Germany,,,,,,,,501.0,,,,,,,751.0,751.0,501.0,,,280.0,390.0,369.0,
Hoffenheim,Germany,,,,,,,,401.0,,,,,,,751.0,,501.0,,,340.0,475.0,451.0,
VfB Stuttgart,Germany,,,501.0,301.0,501.0,,1001.0,251.0,,500.0,,,751.0,501.0,501.0,501.0,251.0,500.0,,365.0,523.0,495.0,
Werder Bremen,Germany,,,,501.0,,,1001.0,301.0,,,,,,501.0,501.0,751.0,501.0,,,455.0,646.0,616.0,
Augsburg,Germany,,,,,,,,401.0,,,,,,,1501.0,,501.0,,,615.0,950.0,907.0,
Freiburg,Germany,,,,,,,,501.0,,,,,,,2001.0,,2001.0,,,610.0,950.0,902.0,
Nurnberg,Germany,,,,,,,,751.0,,,,,,,2501.0,,2001.0,,,615.0,950.0,907.0,
Braunschweig,Germany,,,,,,,,401.0,,,,,,,5001.0,,2001.0,,,615.0,950.0,907.0,
Barcelona,Spain,1.3,1.29,1.29,1.33,1.29,,1.25,1.29,1.29,1.3,1.25,1.29,1.29,1.29,,1.3,1.3,1.3,,1.37,1.43,1.37,
Real Madrid,Spain,4.5,4.5,4.5,4.0,4.5,,5.0,4.5,4.5,4.25,5.0,4.5,4.5,4.0,,4.5,4.25,4.25,,3.85,4.04,3.86,
Atletico Madrid,Spain,10.0,12.0,11.0,11.0,11.0,,11.0,12.0,9.0,12.0,10.0,11.0,10.0,11.0,,11.0,10.5,12.0,,11.0,13.4,11.7,
Villarreal,Spain,,,,,,,,,301.0,300.0,1001.0,,,,,251.0,,300.0,,345.0,570.0,456.0,
Athl Bilbao,Spain,,,,,,,,401.0,1001.0,400.0,1001.0,,,,,,,400.0,,565.0,950.0,766.0,
Valencia,Spain,,,,,,,,426.0,501.0,600.0,2001.0,,,,,751.0,,600.0,,310.0,513.0,412.0,
Sevilla,Spain,,,,,,,,326.0,1001.0,900.0,3001.0,,,,,,,900.0,,255.0,542.0,340.0,
Real Sociedad,Spain,,,,,,,,401.0,501.0,600.0,3001.0,,,,,751.0,,600.0,,335.0,551.0,441.0,
Getafe,Spain,,,,,,,,1001.0,1501.0,2500.0,3001.0,,,,,,,2500.0,,565.0,950.0,766.0,
Levante,Spain,,,,,,,,2001.0,2501.0,3000.0,3001.0,,,,,,,3000.0,,565.0,950.0,766.0,
Almeria,Spain,,,,,,,,,,5000.0,10001.0,,,,,,,5000.0,,565.0,950.0,766.0,
Betis,Spain,,,,,,,,326.0,1001.0,4000.0,10001.0,,,,,,,4000.0,,565.0,950.0,766.0,
Celta Vigo,Spain,,,,,,,,1501.0,2001.0,4000.0,10001.0,,,,,,,4000.0,,565.0,950.0,766.0,
Elche,Spain,,,,,,,,5001.0,7501.0,3000.0,10001.0,,,,,,,3000.0,,565.0,950.0,766.0,
Espanyol,Spain,,,,,,,,1001.0,1001.0,3000.0,10001.0,,,,,,,3000.0,,565.0,950.0,766.0,
Granada,Spain,,,,,,,,3001.0,3001.0,2500.0,10001.0,,,,,,,2500.0,,565.0,950.0,766.0,
Malaga,Spain,,,,,,,,501.0,1001.0,4000.0,10001.0,,,,,,,4000.0,,565.0,950.0,766.0,
Osasuna,Spain,,,,,,,,2501.0,3001.0,5000.0,10001.0,,,,,,,5000.0,,565.0,950.0,766.0,
Rayo Vallecano,Spain,,,,,,,,1001.0,1501.0,4000.0,10001.0,,,,,,,4000.0,,565.0,950.0,766.0,
Valladolid,Spain,,,,,,,,2501.0,3001.0,5000.0,10001.0,,,,,,,5000.0,,565.0,950.0,766.0,
Man City,England,3.5,3.5,3.75,3.6,3.75,3.6,3.5,3.75,3.6,3.75,3.5,3.5,3.5,3.6,3.75,3.75,3.55,3.75,3.75,3.5,3.47,3.52,
Arsenal,England,4.5,4.5,4.5,4.5,4.5,4.33,4.5,4.5,4.33,4.5,4.33,4.5,4.5,4.33,4.0,4.5,4.5,4.5,4.5,4.5,4.51,4.59,
Chelsea,England,5.0,4.5,4.5,4.5,4.5,4.33,4.33,4.5,4.5,4.5,3.75,4.5,4.5,4.33,4.0,4.5,4.5,4.5,4.33,5.1,5.18,5.17,
Man Utd,England,5.5,5.5,5.0,6.0,5.0,5.5,5.5,5.0,5.5,6.0,5.0,5.5,5.0,5.5,5.5,5.5,6.0,6.0,5.5,6.2,6.32,6.43,
Liverpool,England,7.0,7.5,7.0,7.0,7.0,7.5,7.0,7.5,6.5,7.0,8.0,7.5,7.0,7.0,7.5,7.0,7.0,7.0,8.0,6.6,6.7,6.82,
Tottenham,England,26.0,29.0,26.0,29.0,26.0,23.0,34.0,23.0,34.0,30.0,26.0,34.0,29.0,26.0,29.0,34.0,34.0,30.0,34.0,34.0,38.0,37.0,
Southampton,England,141.0,126.0,101.0,151.0,101.0,151.0,151.0,126.0,151.0,150.0,151.0,151.0,151.0,151.0,151.0,151.0,126.0,150.0,151.0,112.0,133.0,136.0,
Everton,England,151.0,126.0,101.0,151.0,101.0,151.0,201.0,126.0,151.0,150.0,201.0,101.0,151.0,151.0,151.0,151.0,151.0,150.0,201.0,124.0,162.0,155.0,
Aston Villa,England,1501.0,2001.0,2001.0,,2001.0,1501.0,2001.0,2001.0,,2000.0,3001.0,,2001.0,2001.0,,,3001.0,2000.0,,660.0,950.0,970.0,
Newcastle,England,1001.0,2501.0,2501.0,,2501.0,1001.0,2001.0,1001.0,,2000.0,3001.0,2501.0,1501.0,1501.0,,,2501.0,2000.0,,660.0,950.0,970.0,
Swansea,England,1001.0,2001.0,2501.0,,2501.0,2001.0,2501.0,1001.0,,1500.0,3001.0,1251.0,1501.0,2501.0,,,3001.0,1500.0,,660.0,950.0,970.0,
West Brom,England,2501.0,2501.0,2001.0,,2001.0,2001.0,2501.0,2001.0,,3000.0,3001.0,,2001.0,2501.0,,,3001.0,3000.0,,660.0,950.0,970.0,
West Ham,England,2501.0,,2001.0,,2001.0,2501.0,4001.0,2001.0,,2500.0,5001.0,,2501.0,2501.0,,,5001.0,2500.0,,660.0,950.0,970.0,
