name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.04,1.0,1.0186363636363636,1.02,1.0125000000000002,1.02
bor dortmund,Germany,34.0,15.0,23.045454545454547,21.0,21.0,26.0
wolfsburg,Germany,171.0,26.0,76.045454545454547,51.0,51.0,99.5
schalke 04,Germany,201.0,41.0,93.5,81.0,77.25,96.75
bayer leverkusen,Germany,251.0,34.0,94.772727272727266,67.0,43.5,94.75
bor monchengladbach,Germany,1001.0,42.0,361.88888888888891,226.0,151.0,482.25
fc koln,Germany,1501.0,95.0,681.22222222222217,626.0,501.0,801.0
mainz 05,Germany,1501.0,95.0,664.55555555555554,501.0,501.0,863.5
hamburg,Germany,2001.0,32.0,915.22222222222217,751.0,501.0,1001.0
hoffenheim,Germany,2001.0,32.0,895.77777777777783,751.0,444.75,1001.0
eintracht frankfurt,Germany,2001.0,95.0,867.33333333333337,501.0,501.0,1001.0
werder bremen,Germany,3001.0,32.0,1158.2777777777778,876.0,501.0,1438.5
augsburg,Germany,4001.0,95.0,1311.7777777777778,876.0,563.5,1001.0
hertha berlin,Germany,4501.0,32.0,869.38888888888891,501.0,501.0,901.0
vfb stuttgart,Germany,4501.0,32.0,1330.5,1001.0,501.0,1501.0
ingolstadt,Germany,4501.0,90.0,1261.5,1101.0,751.0,1501.0
hannover,Germany,7001.0,32.0,2016.6111111111111,1001.0,751.0,1876.0
darmstadt,Germany,7001.0,90.0,2894.8333333333335,2251.0,1251.0,4001.0
barcelona,Spain,1.95,1.8,1.8478260869565217,1.8300000000000001,1.8300000000000001,1.8300000000000001
real madrid,Spain,2.2,2.0,2.0630434782608695,2.0499999999999998,2.0,2.1000000000000001
atletico madrid,Spain,20.0,13.0,16.847826086956523,17.0,16.0,18.0
villarreal,Spain,201.0,51.0,176.34782608695653,201.0,151.0,201.0
valencia,Spain,256.0,151.0,218.04545454545453,251.0,201.0,251.0
celta vigo,Spain,501.0,151.0,350.81818181818181,326.0,248.0,501.0
seville,Spain,501.0,151.0,307.3478260869565,251.0,201.0,451.0
athletic bilbao,Spain,1001.0,301.0,828.77777777777783,926.0,751.0,1001.0
espanyol,Spain,2501.0,501.0,1251.0,1001.0,1001.0,1501.0
betis,Spain,5001.0,501.0,2889.8888888888887,2001.0,1751.0,4876.0
eibar,Spain,5001.0,501.0,3795.1176470588234,4001.0,4001.0,5001.0
malaga,Spain,5001.0,501.0,1320.4444444444443,1001.0,751.0,1751.0
real sociedad,Spain,5001.0,501.0,1473.2222222222222,1001.0,1001.0,1751.0
