name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.0,1.0,1.0,1.0,1.0,1.0
vfl wolfsburg,Germany,247.0,26.0,93.125,59.0,51.0,113.5
schalke 04,Germany,151.0,151.0,151.0,151.0,151.0,151.0
mainz 05,Germany,401.0,401.0,401.0,401.0,401.0,401.0
bor dortmund,Germany,501.0,501.0,501.0,501.0,501.0,501.0
hannover 96,Germany,501.0,501.0,501.0,501.0,501.0,501.0
hoffenheim,Germany,751.0,751.0,751.0,751.0,751.0,751.0
eintracht frankfurt,Germany,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
fc koln,Germany,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
vfb stuttgart,Germany,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
hertha berlin,Germany,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0
augsburg,Germany,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
freiburg,Germany,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
werder bremen,Germany,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
hamburg,Germany,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
paderborn,Germany,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
bor monchengladbach,Germany,5001.0,3.85,1370.4625000000001,238.5,151.71250000000001,1457.25
bayer leverkusen,Germany,5001.0,251.0,2074.0,970.0,610.5,2985.5
barcelona,Spain,1.41,1.02,1.3684615384615384,1.3999999999999999,1.3999999999999999,1.3999999999999999
real madrid,Spain,3.0,1.02,2.6684615384615382,2.7999999999999998,2.7999999999999998,2.8500000000000001
atletico madrid,Spain,81.0,1.97,68.796999999999997,81.0,69.25,81.0
valencia,Spain,251.0,1.97,187.89699999999999,201.0,201.0,243.0
seville,Spain,1501.0,1.97,850.16166666666675,1001.0,196.5,1501.0
villarreal,Spain,1.02,1.02,1.02,1.02,1.02,1.02
chelsea,England,1.07,1.03,1.0439130434782609,1.04,1.04,1.05
arsenal,England,21.0,12.0,16.152173913043477,15.0,15.0,17.0
man utd,England,70.0,22.0,54.130434782608695,51.0,51.0,67.0
man city,England,133.0,1.97,58.607391304347829,51.0,51.0,67.0
liverpool,England,1501.0,401.0,637.06666666666672,501.0,498.5,687.0
tottenham,England,7501.0,476.0,1798.75,980.0,837.75,1251.0
southampton,England,10001.0,476.0,1986.25,980.0,837.75,1001.0
psg,France,1.25,1.2,1.2137499999999999,1.2,1.2,1.2275
lyon,France,5.5,4.42,4.9168750000000001,5.0,4.75,5.0
marseille,France,34.0,17.0,22.1875,21.0,18.5,26.0
monaco,France,151.0,26.0,49.25,42.5,39.25,51.0
lorient,France,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
nice,France,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
lille,France,1001.0,26.0,513.5,513.5,269.75,757.25
montpellier,France,1001.0,26.0,676.0,1001.0,513.5,1001.0
st etienne,France,1001.0,34.0,223.375,201.0,188.5,201.0
bordeaux,France,1001.0,67.0,534.0,534.0,300.5,767.5
metz,France,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
nantes,France,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
bastia,France,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0
caen,France,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0
toulouse,France,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0
guingamp,France,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
reims,France,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
rennes,France,2501.0,26.0,1176.0,1001.0,513.5,1751.0
evian,France,10001.0,10001.0,10001.0,10001.0,10001.0,10001.0
lens,France,10001.0,10001.0,10001.0,10001.0,10001.0,10001.0
juventus,Italy,1.01,1.0,1.0024999999999999,1.0,1.0,1.0024999999999999
roma,Italy,101.0,2.03,43.571666666666665,36.0,22.299999999999997,60.5
lazio,Italy,124.0,61.0,90.799999999999997,101.0,67.0,101.0
napoli,Italy,251.0,171.0,207.66666666666666,201.0,186.0,226.0
fiorentina,Italy,950.0,201.0,467.33333333333331,251.0,226.0,600.5
udinese,Italy,301.0,301.0,301.0,301.0,301.0,301.0
torino,Italy,501.0,501.0,501.0,501.0,501.0,501.0
sampdoria,Italy,950.0,501.0,734.0,751.0,626.0,850.5
parma,Italy,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
verona,Italy,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
genoa,Italy,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0
atalanta,Italy,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0
palermo,Italy,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0
cagliari,Italy,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
empoli,Italy,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
cesena,Italy,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
chievo,Italy,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
sassuolo,Italy,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
celtic,Scotland,1.02,1.0,1.0070000000000001,1.01,1.0,1.01
aberdeen,Scotland,34.0,23.0,27.777777777777779,26.0,26.0,29.0
inverness,Scotland,52.0,52.0,52.0,52.0,52.0,52.0
twente,Holland,67.0,67.0,67.0,67.0,67.0,67.0
feyenoord,Holland,126.0,51.0,88.5,88.5,69.75,107.25
vitesse,Holland,151.0,151.0,151.0,151.0,151.0,151.0
cambuur,Holland,201.0,201.0,201.0,201.0,201.0,201.0
den haag,Holland,201.0,201.0,201.0,201.0,201.0,201.0
heerenveen,Holland,251.0,251.0,251.0,251.0,251.0,251.0
nac breda,Holland,251.0,251.0,251.0,251.0,251.0,251.0
az alkmaar,Holland,301.0,151.0,226.0,226.0,188.5,263.5
utrecht,Holland,301.0,301.0,301.0,301.0,301.0,301.0
willem ii,Holland,401.0,401.0,401.0,401.0,401.0,401.0
groningen,Holland,501.0,501.0,501.0,501.0,501.0,501.0
zwolle,Holland,501.0,251.0,376.0,376.0,313.5,438.5
sbv excelsior,Holland,751.0,751.0,751.0,751.0,751.0,751.0
go ahead eagles,Holland,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
fc dordrecht,Holland,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
heracles,Holland,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
ajax,Holland,95.0,95.0,95.0,95.0,95.0,95.0
benfica,Portugal,1.42,1.4,1.4028571428571428,1.3999999999999999,1.3999999999999999,1.3999999999999999
porto,Portugal,2.86,2.75,2.8014285714285712,2.7999999999999998,2.7999999999999998,2.7999999999999998
sporting lisbon,Portugal,124.0,101.0,108.66666666666667,101.0,101.0,112.5
braga,Portugal,67.0,67.0,67.0,67.0,67.0,67.0
galatasaray,Turkey,2.38,2.2,2.29,2.29,2.2450000000000001,2.335
fenerbahce,Turkey,2.88,2.75,2.8149999999999999,2.8149999999999999,2.7824999999999998,2.8475000000000001
besiktas,Turkey,3.75,2.88,3.3149999999999999,3.3149999999999999,3.0975000000000001,3.5324999999999998
eskisehirspor,Turkey,67.0,67.0,67.0,67.0,67.0,67.0
gaziantepspor,Turkey,67.0,67.0,67.0,67.0,67.0,67.0
mersin i y,Turkey,67.0,67.0,67.0,67.0,67.0,67.0
akhisar,Turkey,101.0,101.0,101.0,101.0,101.0,101.0
genclerbirligi,Turkey,101.0,101.0,101.0,101.0,101.0,101.0
sivasspor,Turkey,101.0,101.0,101.0,101.0,101.0,101.0
karabukspor,Turkey,126.0,126.0,126.0,126.0,126.0,126.0
rizespor,Turkey,151.0,151.0,151.0,151.0,151.0,151.0
balikesirspor,Turkey,751.0,751.0,751.0,751.0,751.0,751.0
erciyesspor,Turkey,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
konyaspor,Turkey,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
bursaspor,Turkey,2001.0,67.0,1034.0,1034.0,550.5,1517.5
istanbul bb,Turkey,5001.0,126.0,2563.5,2563.5,1344.75,3782.25
trabzonspor,Turkey,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0
