name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.0,,,,,,1.0,1.01,1.0,,,,1.0,,,,1.0,,,,1.01,,1.01,,
vfl wolfsburg,Germany,81.0,,,,,,67.0,71.0,67.0,125.0,,,67.0,,,,67.0,,,125.0,101.0,125.0,44.0,54.0,
bayer leverkusen,Germany,151.0,,,,,,81.0,81.0,67.0,200.0,,,101.0,,,,81.0,,,200.0,151.0,200.0,133.0,188.0,
bor monchengladbach,Germany,501.0,,,,,,126.0,101.0,126.0,300.0,,,126.0,,,,126.0,,,300.0,251.0,300.0,95.0,373.0,
schalke 04,Germany,501.0,,,,,,201.0,251.0,201.0,300.0,,,201.0,,,,251.0,,,300.0,251.0,300.0,95.0,182.0,
hoffenheim,Germany,751.0,,,,,,751.0,501.0,251.0,800.0,,,751.0,,,,,,,800.0,501.0,800.0,238.0,378.0,
augsburg,Germany,2001.0,,,,,,2001.0,501.0,,800.0,,,,,,,,,,800.0,501.0,800.0,40.0,844.0,
hannover 96,Germany,2001.0,,,,,,501.0,501.0,,2500.0,,,501.0,,,,501.0,,,2500.0,1001.0,2500.0,190.0,844.0,
eintracht frankfurt,Germany,2001.0,,,,,,1001.0,501.0,,2500.0,,,,,,,,,,2500.0,1001.0,2500.0,950.0,844.0,
bor dortmund,Germany,1001.0,,,,,,501.0,326.0,301.0,3000.0,,,501.0,,,,501.0,,,3000.0,501.0,3000.0,143.0,349.0,
mainz 05,Germany,2001.0,,,,,,401.0,501.0,401.0,3000.0,,,501.0,,,,501.0,,,3000.0,,3000.0,494.0,844.0,
hertha berlin,Germany,2501.0,,,,,,1501.0,501.0,,3500.0,,,,,,,,,,3500.0,,3500.0,38.0,844.0,
fc koln,Germany,2001.0,,,,,,1001.0,501.0,,3500.0,,,,,,,,,,3500.0,,3500.0,475.0,844.0,
paderborn,Germany,4001.0,,,,,,2501.0,501.0,,4000.0,,,,,,,,,,4000.0,,4000.0,133.0,844.0,
hamburg,Germany,4001.0,,,,,,2501.0,501.0,,4000.0,,,,,,,,,,4000.0,,4000.0,732.0,844.0,
vfb stuttgart,Germany,5001.0,,,,,,1001.0,501.0,501.0,4000.0,,,,,,,,,,4000.0,,4000.0,114.0,844.0,
werder bremen,Germany,5001.0,,,,,,2001.0,501.0,,6000.0,,,,,,,,,,6000.0,,6000.0,40.0,844.0,
freiburg,Germany,7501.0,,,,,,2001.0,501.0,,6000.0,,,,,,,,,,6000.0,,6000.0,38.0,844.0,
real madrid,Spain,1.33,1.3,1.3,1.3,1.3,1.33,1.29,1.33,,1.33,1.29,1.4,1.33,1.3,,1.33,1.33,1.3,,1.33,1.3,1.33,1.39,1.36,
barcelona,Spain,3.5,3.6,3.5,3.4,3.5,3.4,3.5,3.5,,3.5,3.75,3.0,3.5,3.5,,3.5,3.5,3.45,,3.5,3.55,3.5,3.57,2.94,
atletico madrid,Spain,41.0,26.0,26.0,29.0,26.0,23.0,34.0,26.0,,29.0,29.0,34.0,26.0,34.0,,29.0,23.0,30.0,,29.0,29.0,29.0,26.0,23.0,
