name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.01,1.01,1.01,,1.01,,1.01,1.01,,1.01,1.01,,1.01,1.01,1.01,1.01,,1.01,1.01,1.01,1.02,1.01,
Bayer Leverkusen,Germany,41.0,41.0,41.0,,41.0,,41.0,34.0,,45.0,41.0,,41.0,41.0,34.0,41.0,,45.0,41.0,76.0,95.0,89.0,
Bor Dortmund,Germany,41.0,41.0,41.0,,41.0,,41.0,41.0,,40.0,41.0,,41.0,41.0,34.0,41.0,,40.0,51.0,35.0,42.0,38.0,
Bor Monchengladbach,Germany,,251.0,201.0,,201.0,,501.0,301.0,,,151.0,,301.0,501.0,501.0,301.0,,,,144.0,200.0,180.0,
Schalke 04,Germany,,501.0,501.0,,501.0,,501.0,501.0,,,,,501.0,501.0,501.0,501.0,,,,152.0,200.0,190.0,
VfL Wolfsburg,Germany,,,,,,,,1001.0,,,,,,,501.0,,,,,260.0,380.0,344.0,
Eintracht Frankfurt,Germany,,,,,,,,,,,,,,,,,,,,255.0,380.0,335.0,
Werder Bremen,Germany,,,,,,,,,,,,,,,,,,,,270.0,380.0,354.0,
Hannover 96,Germany,,,,,,,,,,,,,,,,,,,,280.0,399.0,373.0,
VfB Stuttgart,Germany,,,,,,,,,,,,,,,,,,,,340.0,475.0,451.0,
Augsburg,Germany,,,,,,,,,,,,,,,,,,,,205.0,485.0,267.0,
Hertha Berlin,Germany,,,,,,,,,,,,,,,,,,,,365.0,523.0,495.0,
Hoffenheim,Germany,,,,,,,,,,,,,,,,,,,,340.0,760.0,451.0,
Braunschweig,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0,
Freiburg,Germany,,,,,,,,,,,,,,,,,,,,610.0,950.0,902.0,
Mainz 05,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0,
Nurnberg,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0,
Hamburg,Germany,,,,,,,,10001.0,,,,,,,,,,,,395.0,561.0,534.0,
Barcelona,Spain,1.8,1.73,1.73,1.73,1.73,,1.8,1.8,1.73,1.75,1.8,,1.73,1.75,,1.75,1.8,1.75,1.73,1.84,1.89,1.83,
Real Madrid,Spain,2.63,2.75,2.62,2.62,2.63,,2.5,2.5,2.75,2.6,2.4,,2.62,2.4,,2.75,2.5,2.6,2.63,,2.46,2.22,
Atletico Madrid,Spain,8.5,7.0,8.0,7.0,8.0,,7.0,8.5,7.0,8.5,8.0,,7.0,8.0,,7.0,8.0,8.5,7.0,6.8,9.17,9.15,
Villarreal,Spain,,,,,,,,,,300.0,,,,,,,,300.0,,355.0,580.0,466.0,
Athl Bilbao,Spain,,,,,,,,326.0,,300.0,,,,,,,,300.0,,565.0,950.0,766.0,
Real Sociedad,Spain,,,,,,,,326.0,,500.0,,,,,,,,500.0,,565.0,950.0,766.0,
Sevilla,Spain,,,,,,,,326.0,,600.0,,,,,,,,600.0,,565.0,950.0,761.0,
Espanyol,Spain,,,,,,,,1001.0,,,,,,,,,,,,565.0,950.0,766.0,
Getafe,Spain,,,,,,,,1001.0,,,,,,,,,,,,565.0,950.0,766.0,
Malaga,Spain,,,,,,,,1001.0,,,,,,,,,,,,565.0,950.0,766.0,
Rayo Vallecano,Spain,,,,,,,,1001.0,,,,,,,,,,,,565.0,950.0,766.0,
Celta Vigo,Spain,,,,,,,,1501.0,,,,,,,,,,,,565.0,950.0,766.0,
Levante,Spain,,,,,,,,2001.0,,,,,,,,,,,,565.0,950.0,766.0,
Betis,Spain,,,,,,,,2501.0,,,,,,,,,,,,565.0,950.0,766.0,
Osasuna,Spain,,,,,,,,2501.0,,,,,,,,,,,,565.0,950.0,766.0,
Valladolid,Spain,,,,,,,,2501.0,,,,,,,,,,,,565.0,950.0,766.0,
Valencia,Spain,,,,,,,,401.0,,3000.0,,,,,,,,3000.0,,565.0,950.0,766.0,
Granada,Spain,,,,,,,,3001.0,,,,,,,,,,,,565.0,950.0,766.0,
Elche,Spain,,,,,,,,5001.0,,,,,,,,,,,,565.0,950.0,766.0,
Almeria,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0,
Man City,England,2.0,2.0,2.0,2.0,2.0,,1.91,2.0,1.91,2.0,1.95,2.1,1.91,1.9,2.0,1.95,2.1,2.0,2.0,2.18,2.16,2.18,
Chelsea,England,3.5,3.5,3.5,3.5,3.5,,3.5,3.5,3.5,3.5,3.0,3.6,3.5,3.4,3.5,3.5,3.3,3.5,3.5,3.5,3.47,3.52,
Arsenal,England,4.5,4.5,4.5,5.0,4.5,,5.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,4.33,5.0,4.5,5.0,5.0,4.9,4.89,4.98,
Liverpool,England,17.0,17.0,14.0,17.0,15.0,,15.0,17.0,15.0,17.0,19.0,17.0,15.0,17.0,17.0,17.0,15.0,17.0,17.0,17.5,18.1,18.5,
Tottenham,England,67.0,51.0,67.0,67.0,67.0,,67.0,51.0,67.0,70.0,67.0,67.0,41.0,67.0,67.0,67.0,67.0,70.0,67.0,88.0,105.0,109.0,
Man Utd,England,101.0,81.0,67.0,81.0,67.0,,81.0,81.0,81.0,80.0,81.0,67.0,67.0,81.0,81.0,101.0,67.0,80.0,81.0,96.0,114.0,118.0,
Everton,England,101.0,101.0,81.0,101.0,81.0,,101.0,101.0,101.0,100.0,101.0,81.0,81.0,101.0,101.0,101.0,101.0,100.0,101.0,140.0,171.0,175.0,
Swansea,England,,,,,,,,1001.0,,,,,,,,,,,,655.0,950.0,970.0,
West Brom,England,,,,,,,,2001.0,,,,,,,,,,,,655.0,950.0,970.0,
Newcastle,England,1001.0,,,,,,,1001.0,,,3001.0,1501.0,,,1001.0,2001.0,,,,660.0,950.0,970.0,
Stoke,England,,,,,,,,3001.0,,,,,,,,,,,,655.0,950.0,970.0,
West Ham,England,,,,,,,,3001.0,,,,,,,,,,,,660.0,950.0,970.0,
Aston Villa,England,,,,,,,,2001.0,,,,,,,5001.0,,,,,660.0,950.0,970.0,
Cardiff,England,,,,,,,,5001.0,,,,,,,,,,,,655.0,950.0,970.0,
Fulham,England,,,,,,,,5001.0,,,,,,,,,,,,660.0,950.0,970.0,
Hull,England,,,,,,,,5001.0,,,,,,,,,,,,660.0,950.0,970.0,
Norwich,England,,,,,,,,5001.0,,,,,,,,,,,,660.0,950.0,970.0,
Sunderland,England,,,,,,,,5001.0,,,,,,,,,,,,660.0,950.0,970.0,
Southampton,England,2001.0,,,,,,,1001.0,,,7501.0,,,,2001.0,2001.0,,,,660.0,950.0,970.0,
Crystal Palace,England,,,,,,,,10001.0,,,,,,,,,,,,660.0,950.0,970.0,
PSG,France,1.07,1.05,1.04,1.05,1.04,,1.04,1.05,1.04,1.04,,,1.04,1.03,1.03,1.04,1.04,1.04,1.05,,1.1,,
Monaco,France,9.0,8.5,8.5,9.0,8.5,,10.0,9.0,9.0,10.0,,,9.0,9.0,10.0,9.0,9.0,10.0,9.0,3.15,9.55,3.81,
Lille,France,81.0,67.0,34.0,51.0,34.0,,67.0,61.0,67.0,70.0,,,67.0,41.0,67.0,51.0,67.0,70.0,51.0,26.0,32.0,28.0,
St Etienne,France,151.0,,,,,,,201.0,,,,,,,501.0,251.0,,,,68.0,90.0,78.0,
Nantes,France,,,,,,,,,,,,,,,501.0,,,,,88.0,124.0,111.0,
Rennes,France,,,,,,,,,,,,,,,501.0,,,,,88.0,124.0,111.0,
Marseille,France,,,251.0,,251.0,,,201.0,251.0,,,,,251.0,501.0,251.0,251.0,,,96.0,133.0,118.0,
Nice,France,,,,,,,,,,,,,,,501.0,,,,,162.0,276.0,213.0,
Bordeaux,France,,,,,,,,,,,,,,,501.0,,,,,205.0,342.0,267.0,
Ajaccio,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Bastia,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,109.0,
Evian,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Guingamp,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Lorient,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Reims,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Sochaux,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Toulouse,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Valenciennes,France,,,,,,,,,,,,,,,2001.0,,,,,88.0,124.0,111.0,
Montpellier,France,,,,,,,,,,,,,,,2001.0,,,,,355.0,589.0,470.0,
Lyon,France,,,,,,,,2001.0,,,,,,,501.0,,,,,550.0,931.0,742.0,
Juventus,Italy,1.08,1.1,1.06,1.07,1.06,,1.08,1.07,1.07,1.08,1.06,,1.06,1.07,,1.06,1.1,1.08,1.07,,1.12,1.08,
Roma,Italy,10.0,6.0,8.0,8.5,8.0,,9.0,10.0,8.0,8.0,11.0,,9.0,9.0,,9.0,9.0,8.0,8.5,8.0,8.6,8.18,
Napoli,Italy,17.0,17.0,21.0,17.0,21.0,,17.0,21.0,17.0,25.0,26.0,,21.0,21.0,,21.0,25.0,25.0,21.0,13.0,16.7,13.6,
Fiorentina,Italy,101.0,81.0,51.0,67.0,51.0,,67.0,76.0,67.0,100.0,101.0,,67.0,51.0,,81.0,101.0,100.0,67.0,46.0,57.0,50.0,
Inter,Italy,,251.0,251.0,,251.0,,251.0,251.0,251.0,,401.0,,,251.0,,251.0,501.0,,301.0,565.0,950.0,766.0,
Verona,Italy,,,,,,,,,,,1001.0,,,,,,1001.0,,,295.0,485.0,388.0,
Atalanta,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Bologna,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Cagliari,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Catania,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Chievo,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Genoa,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Livorno,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Parma,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Sampdoria,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Sassuolo,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Torino,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Udinese,Italy,,,,,,,,,,,,,,,,,1001.0,,,565.0,950.0,766.0,
Lazio,Italy,,,,,,,,1501.0,,,,,,,,,1001.0,,,565.0,950.0,766.0,
AC Milan,Italy,,301.0,501.0,,501.0,,,2001.0,,,2501.0,,,501.0,,501.0,1001.0,,,,105.0,,
Celtic,Scotland,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
Aberdeen,Scotland,,,,,,,,101.0,,,101.0,,,101.0,,,,,,56.0,143.0,62.0,
Motherwell,Scotland,,,,,,,,101.0,,,101.0,,,126.0,,,,,,118.0,171.0,147.0,
Inverness,Scotland,,,,,,,,151.0,,,151.0,,,151.0,,,,,,36.0,114.0,40.0,
Dundee Utd,Scotland,,,,,,,,401.0,,,501.0,,,401.0,,,,,,66.0,143.0,76.0,
St Johnstone,Scotland,,,,,,,,,,,,,,501.0,,,,,,134.0,200.0,169.0,
Hibernian,Scotland,,,,,,,,,,,,,,,,,,,,140.0,228.0,177.0,
Hearts,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0,
Kilmarnock,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0,
Partick,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0,
Ross County,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0,
St Mirren,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0,
Ajax,Holland,1.62,,,1.57,,,1.57,1.57,,1.65,,,,,,1.6,1.42,1.65,1.57,,1.72,,
Vitesse,Holland,4.33,,,5.0,,,4.5,5.0,,4.0,,,,,,4.5,5.0,4.0,6.0,,4.32,,
Twente,Holland,6.5,,,6.5,,,5.5,6.0,,6.5,,,,,,5.5,8.0,6.5,6.5,,8.03,,
Feyenoord,Holland,7.5,,,7.0,,,6.0,7.0,,6.0,,,,,,6.5,10.0,6.0,7.0,,7.84,,
PSV Eindhoven,Holland,81.0,,,81.0,,,41.0,34.0,,50.0,,,,,,34.0,51.0,50.0,81.0,,25.0,,
Heerenveen,Holland,151.0,,,151.0,,,101.0,81.0,,100.0,,,,,,101.0,81.0,100.0,151.0,,90.0,,
AZ Alkmaar,Holland,201.0,,,151.0,,,151.0,91.0,,200.0,,,,,,101.0,67.0,200.0,151.0,,57.0,,
Groningen,Holland,501.0,,,,,,126.0,,,500.0,,,,,,,151.0,500.0,,,133.0,,
Utrecht,Holland,,,,,,,501.0,,,,,,,,,,,,,,200.0,,
Cambuur,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
Den Haag,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
Go Ahead Eagles,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
Heracles,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
NAC Breda,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
NEC Nijmegen,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
Roda,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
Waalwijk,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
Zwolle,Holland,,,,,,,,,,,,,,,,,,,,,589.0,,
Benfica,Portugal,1.83,1.91,,1.83,,,1.91,1.83,,,,,1.83,,,,1.8,1.75,,,1.73,,
Porto,Portugal,2.88,3.4,,2.75,,,2.75,3.1,,,,,2.75,,,,2.5,3.0,,,3.14,,
Sporting Lisbon,Portugal,5.0,3.75,,5.0,,,4.5,4.0,,,,,,,,,6.5,5.5,,,4.89,,
Braga,Portugal,,,,,,,,,,,,,,,,,351.0,,,,114.0,,
Gil Vicente,Portugal,,,,,,,,,,,,,,,,,351.0,,,,114.0,,
Guimaraes,Portugal,,,,,,,,,,,,,,,,,351.0,,,,114.0,,
Pacos Ferreira,Portugal,,,,,,,,,,,,,,,,,351.0,,,,485.0,,
Academica,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Arouca,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Belenenses,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Estoril,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Maritimo,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Nacional,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Olhanense,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Rio Ave,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Vitoria Setubal,Portugal,,,,,,,,,,,,,,,,,1001.0,,,,114.0,,
Fenerbahce,Turkey,1.25,,,,,,1.25,1.25,,,,,1.29,,,,1.25,1.2,1.29,,1.03,,
Galatasaray,Turkey,3.75,,,,,,3.75,3.75,,,,,3.75,,,,3.75,3.75,3.75,,1.97,,
Besiktas,Turkey,34.0,,,,,,34.0,26.0,,,,,26.0,,,,34.0,25.0,34.0,,2.95,,
Kasimpasa,Turkey,81.0,,,,,,51.0,51.0,,,,,67.0,,,,51.0,40.0,51.0,,3.38,,
Trabzonspor,Turkey,,,,,,,,,,,,,,,,,,125.0,,,32.0,,
Bursaspor,Turkey,,,,,,,,,,,,,,,,,,200.0,,,32.0,,
Eskisehirspor,Turkey,,,,,,,,,,,,,,,,,,200.0,,,32.0,,
Sivasspor,Turkey,,,,,,,,,,,,,,,,,,300.0,,,3.38,,
Antalyaspor,Turkey,,,,,,,,,,,,,,,,,,300.0,,,32.0,,
Karabukspor,Turkey,,,,,,,,,,,,,,,,,,400.0,,,3.38,,
Konyaspor,Turkey,,,,,,,,,,,,,,,,,,400.0,,,3.38,,
Gaziantepspor,Turkey,,,,,,,,,,,,,,,,,,400.0,,,32.0,,
Akhisar,Turkey,,,,,,,,,,,,,,,,,,500.0,,,3.38,,
Erciyesspor,Turkey,,,,,,,,,,,,,,,,,,500.0,,,3.38,,
Genclerbirligi,Turkey,,,,,,,,,,,,,,,,,,500.0,,,32.0,,
Kayserispor,Turkey,,,,,,,,,,,,,,,,,,500.0,,,32.0,,
Rizespor,Turkey,,,,,,,,,,,,,,,,,,500.0,,,32.0,,
Elazigspor,Turkey,,,,,,,,,,,,,,,,,,1000.0,,,3.38,,
