name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.01,,,1.01,1.01,1.01,1.01,1.01,,,,,1.01,,1.01,,,1.01,,,,1.02,1.01,
bayer leverkusen,Germany,,67.0,,,67.0,67.0,67.0,67.0,67.0,,,,,51.0,,67.0,,,51.0,,,,40.0,41.0,
vfl wolfsburg,Germany,,67.0,,,67.0,67.0,51.0,81.0,67.0,,,,,67.0,,81.0,,,67.0,,,,36.0,35.0,
bor monchengladbach,Germany,,101.0,,,101.0,101.0,126.0,126.0,101.0,,,,,101.0,,126.0,,,101.0,,,,67.0,72.0,
bor dortmund,Germany,,101.0,,,126.0,151.0,126.0,126.0,126.0,,,,,101.0,,151.0,,,101.0,,,,90.0,109.0,
schalke 04,Germany,,151.0,,,151.0,151.0,201.0,151.0,151.0,,,,,151.0,,151.0,,,151.0,,,,48.0,252.0,
mainz 05,Germany,,,,,501.0,501.0,401.0,501.0,401.0,,,,,501.0,,,,,501.0,,,,48.0,466.0,
hannover 96,Germany,,,,,251.0,501.0,501.0,501.0,,,,,,501.0,,,,,501.0,,,,190.0,378.0,
hoffenheim,Germany,,251.0,,,251.0,301.0,501.0,301.0,251.0,,,,,251.0,,251.0,,,251.0,,,,219.0,218.0,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,501.0,,,,,751.0,,,,,751.0,,,,48.0,761.0,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,751.0,,,,,751.0,,,,124.0,761.0,
eintracht frankfurt,Germany,,,,,,,1001.0,501.0,,,,,,501.0,,,,,501.0,,,,485.0,761.0,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,1001.0,,,,,1001.0,,,,44.0,761.0,
