name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.0,,,,,1.0,1.0,,,,,,1.01,1.0,,,,1.01,,,,1.03,1.01,
vfl wolfsburg,Germany,,29.0,,,,,21.0,26.0,,,,,,23.0,23.0,,,,23.0,,,,26.0,9.15,
bor monchengladbach,Germany,,201.0,,,,,201.0,201.0,,,,,,251.0,251.0,,,,251.0,,,,352.0,306.0,
bayer leverkusen,Germany,,251.0,,,,,251.0,201.0,,,,,,251.0,301.0,,,,251.0,,,,,451.0,
hannover 96,Germany,,,,,,,501.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
mainz 05,Germany,,,,,,,401.0,501.0,,,,,,,,,,,,,,,44.0,844.0,
bor dortmund,Germany,,,,,,,501.0,501.0,,,,,,501.0,,,,,501.0,,,,,597.0,
schalke 04,Germany,,151.0,,,,,151.0,201.0,,,,,,201.0,501.0,,,,201.0,,,,114.0,291.0,
hoffenheim,Germany,,,,,,,751.0,501.0,,,,,,,,,,,,,,,38.0,412.0,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
eintracht frankfurt,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,57.0,844.0,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
werder bremen,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,36.0,844.0,
freiburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
augsburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,124.0,
hamburg,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
paderborn,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
real madrid,Spain,,1.44,1.5,1.4,1.5,,1.44,1.5,,1.5,1.4,,,1.44,,1.5,,,1.44,1.5,,1.5,,1.42,
barcelona,Spain,,2.88,2.88,2.88,2.88,,2.88,2.8,,2.75,2.8,,,2.8,,2.62,,,2.8,2.75,,2.75,,2.24,
atletico madrid,Spain,,13.0,13.0,17.0,13.0,,15.0,13.0,,21.0,17.0,,,15.0,,13.0,,,15.0,21.0,,21.0,,18.5,
valencia,Spain,,,151.0,201.0,151.0,,,201.0,,101.0,301.0,,,,,,,,,101.0,,101.0,171.0,354.0,
malaga,Spain,,,,,,,,1001.0,,2001.0,,,,,,,,,,2001.0,,2001.0,,844.0,
seville,Spain,,,401.0,501.0,401.0,,,501.0,,1001.0,2001.0,,,,,,,,,1001.0,,1001.0,,572.0,
celta vigo,Spain,,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,,844.0,
athletic bilbao,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,285.0,844.0,
deportivo la coruna,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,,844.0,
eibar,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
espanyol,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
getafe,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
rayo vallecano,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,,844.0,
real sociedad,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
almeria,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
cordoba,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
elche,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,,844.0,
granada,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
levante,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,,844.0,
villarreal,Spain,,,,,,,,501.0,,1001.0,10001.0,,,,,,,,,1001.0,,1001.0,,844.0,
chelsea,England,1.25,1.29,,1.2,1.25,,1.25,1.29,1.2,1.25,1.17,1.25,1.25,1.25,,1.25,1.2,,1.25,1.25,,1.25,1.29,1.25,1.31
man city,England,4.75,4.33,,5.0,4.5,,4.5,4.33,4.5,4.25,5.0,4.33,4.33,4.33,,4.5,5.0,,4.33,4.25,,4.25,4.42,4.4,4.56
arsenal,England,67.0,67.0,,67.0,41.0,,34.0,71.0,67.0,67.0,67.0,67.0,67.0,67.0,,51.0,67.0,,67.0,67.0,,67.0,76.0,29.0,70.0
man utd,England,101.0,101.0,,101.0,67.0,,101.0,126.0,101.0,101.0,151.0,126.0,126.0,101.0,,101.0,101.0,,101.0,101.0,,101.0,219.0,155.0,199.0
southampton,England,301.0,251.0,,301.0,201.0,,276.0,276.0,251.0,301.0,401.0,251.0,251.0,251.0,,251.0,251.0,,251.0,301.0,,301.0,380.0,21.0,496.0
liverpool,England,401.0,401.0,,401.0,351.0,,451.0,226.0,351.0,401.0,401.0,251.0,301.0,351.0,,251.0,301.0,,351.0,401.0,,401.0,475.0,171.0,298.0
tottenham,England,401.0,501.0,,401.0,351.0,,476.0,376.0,351.0,401.0,401.0,301.0,301.0,401.0,,351.0,301.0,,401.0,401.0,,401.0,570.0,99.0,80.0
swansea,England,2001.0,,,,,,,,,,,,,,,,,,,,,,950.0,,496.0
everton,England,2001.0,,,,,,,2501.0,,,,,,,,,,,,,,,950.0,1.97,496.0
newcastle,England,2501.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,496.0
stoke,England,2501.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,496.0
aston villa,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,,
crystal palace,England,10001.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,496.0
hull,England,10001.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,496.0
sunderland,England,10001.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,496.0
west brom,England,10001.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,496.0
west ham,England,2001.0,,,,,,,1501.0,,,10001.0,,,,,,,,,,,,950.0,970.0,496.0
burnley,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,
leicester,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,,
qpr,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,
psg,France,,1.33,,1.29,1.3,,1.2,1.25,,1.33,,,,1.25,,,,,1.25,1.33,,1.33,1.43,,
lyon,France,,4.33,,4.33,4.5,,5.0,4.5,,4.6,,,,4.5,,,,,4.5,4.6,,4.6,3.85,,
marseille,France,,10.0,,11.0,10.0,,11.0,11.0,,11.0,,,,11.0,,,,,11.0,11.0,,11.0,6.89,,
monaco,France,,41.0,,51.0,51.0,,51.0,34.0,,41.0,,,,51.0,,,,,51.0,41.0,,41.0,5.27,,
st etienne,France,,101.0,,101.0,151.0,,101.0,151.0,,,,,51.0,151.0,,,,,151.0,,,,16.2,,
bordeaux,France,,,,,,,,401.0,,,,,,,,,,,,,,,5.37,,
lorient,France,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,4.23,,
metz,France,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,4.23,,
montpellier,France,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,4.23,,
nantes,France,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,4.23,,
nice,France,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,4.23,,
lille,France,,,,,,,,1001.0,,,,,,,,,,,,,,,5.37,,
bastia,France,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,4.23,,
caen,France,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,4.23,,
toulouse,France,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,4.23,,
guingamp,France,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,4.23,,
reims,France,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,4.23,,
rennes,France,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,4.23,,
evian,France,,,,,,,10001.0,1001.0,,,,,,,,,,,,,,,4.23,,
lens,France,,,,,,,10001.0,1001.0,,,,,,,,,,,,,,,4.23,,
juventus,Italy,,1.11,1.09,1.08,1.09,,1.08,,,,1.08,,,1.1,,1.08,1.08,,1.1,1.38,,,1.12,1.08,
roma,Italy,,6.0,7.0,7.5,7.0,,7.0,,,,7.0,,,7.0,,7.0,7.0,,7.0,3.3,,,8.6,5.66,
napoli,Italy,,34.0,34.0,34.0,34.0,,,,,,34.0,,,34.0,,41.0,34.0,,34.0,26.0,,,32.0,26.0,
lazio,Italy,,,,,,,,,,,151.0,,,,,,,,,151.0,,,30.0,180.0,
fiorentina,Italy,,,,,,,,,,,201.0,,,,,201.0,,,,101.0,,,133.0,398.0,
