name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.01,,,,,1.01,,,,1.02,1.01,
vfl wolfsburg,Germany,,21.0,23.0,,23.0,26.0,21.0,26.0,23.0,,,,,21.0,,,,,21.0,,,,20.0,8.95,
schalke 04,Germany,,151.0,201.0,,201.0,201.0,151.0,201.0,151.0,,,,,151.0,,,,,151.0,,,,124.0,218.0,
bor monchengladbach,Germany,,201.0,151.0,,151.0,201.0,201.0,201.0,151.0,,,,,201.0,,,,,201.0,,,,333.0,286.0,
bayer leverkusen,Germany,,201.0,251.0,,251.0,301.0,251.0,151.0,151.0,,,,,251.0,,,,,251.0,,,,238.0,359.0,
hannover 96,Germany,,,,,,,501.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
mainz 05,Germany,,,,,,,401.0,501.0,,,,,,,,,,,,,,,30.0,844.0,
bor dortmund,Germany,,,251.0,,251.0,,501.0,501.0,,,,,,301.0,,,,,301.0,,,,95.0,500.0,
hoffenheim,Germany,,,401.0,,401.0,,751.0,501.0,,,,,,,,,,,,,,,29.0,412.0,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
eintracht frankfurt,Germany,,,501.0,,501.0,,1001.0,501.0,,,,,,,,,,,,,,,30.0,844.0,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
freiburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
werder bremen,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
augsburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,124.0,124.0,
hamburg,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
paderborn,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,29.0,844.0,
real madrid,Spain,,1.8,1.73,,1.73,,1.67,1.8,1.73,,1.67,,,1.75,,1.8,,,1.75,,,,,1.9,
barcelona,Spain,,2.2,2.25,,2.25,,2.25,2.2,2.2,,2.2,,,2.15,,2.15,,,2.15,,,,,1.95,
atletico madrid,Spain,,12.0,11.0,,12.0,,13.0,11.0,11.0,,12.0,,,11.0,,9.0,,,11.0,,,,,9.34,
valencia,Spain,,,201.0,,201.0,,,201.0,,,501.0,,,,,,,,,,,,,325.0,
athletic bilbao,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
malaga,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
seville,Spain,,,401.0,,401.0,,,501.0,,,1001.0,,,,,,,,,,,,,500.0,
almeria,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
celta vigo,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
cordoba,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
deportivo la coruna,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
eibar,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
elche,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
espanyol,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
getafe,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
granada,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
levante,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
rayo vallecano,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
real sociedad,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,844.0,
villarreal,Spain,,,1001.0,,1001.0,,,501.0,,,1001.0,,,,,,,,,,,,,844.0,
chelsea,England,1.13,1.12,1.12,1.13,1.13,,1.12,1.12,1.13,1.13,1.09,1.12,1.13,1.12,1.13,1.12,1.13,,1.12,1.13,1.12,1.13,1.15,1.16,1.16
man city,England,7.5,7.5,7.5,7.5,7.5,,7.0,8.0,7.5,7.5,7.5,8.0,7.5,7.5,7.5,7.5,7.5,,7.5,7.5,7.5,7.5,8.22,7.79,8.42
man utd,England,67.0,81.0,41.0,51.0,41.0,,51.0,81.0,51.0,67.0,67.0,67.0,41.0,51.0,81.0,51.0,67.0,,51.0,67.0,67.0,67.0,95.0,93.0,100.0
arsenal,England,101.0,81.0,51.0,81.0,51.0,,67.0,101.0,67.0,101.0,101.0,81.0,67.0,67.0,81.0,51.0,67.0,,67.0,101.0,101.0,101.0,124.0,124.0,100.0
southampton,England,301.0,251.0,201.0,301.0,201.0,,276.0,251.0,201.0,301.0,401.0,301.0,201.0,251.0,301.0,251.0,151.0,,251.0,301.0,301.0,301.0,285.0,306.0,
liverpool,England,401.0,401.0,351.0,301.0,351.0,,451.0,251.0,351.0,401.0,401.0,301.0,301.0,301.0,401.0,251.0,351.0,,301.0,401.0,401.0,401.0,570.0,563.0,496.0
tottenham,England,401.0,501.0,351.0,401.0,351.0,,476.0,426.0,351.0,401.0,401.0,401.0,301.0,401.0,401.0,351.0,301.0,,401.0,401.0,401.0,401.0,950.0,912.0,496.0
everton,England,2001.0,,,,,,,2501.0,,,,,,,,,,,,,,,,917.0,496.0
newcastle,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
stoke,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
swansea,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,917.0,496.0
aston villa,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,917.0,496.0
crystal palace,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
sunderland,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
west brom,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
west ham,England,2001.0,,,,,,,1501.0,,,10001.0,,,,,,,,,,,,,970.0,496.0
hull,England,15001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
qpr,England,15001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,
burnley,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
leicester,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
psg,France,,1.36,1.33,,1.33,1.25,1.25,1.33,1.33,,,,,1.35,,,,,1.35,,,,1.4,,
lyon,France,,3.75,3.75,,3.75,4.33,4.0,4.0,4.0,,,,,3.5,,,,,3.5,,,,2.9,,
marseille,France,,11.0,12.0,,12.0,13.0,13.0,12.0,11.0,,,,,12.0,,,,,12.0,,,,6.89,,
monaco,France,,81.0,67.0,,67.0,67.0,81.0,51.0,67.0,,,,,81.0,,,,,81.0,,,,5.27,,
st etienne,France,,101.0,101.0,,101.0,126.0,101.0,126.0,101.0,,,,51.0,101.0,,,,,101.0,,,,16.2,,
bordeaux,France,,,,,,,,501.0,,,,,,,,,,,,,,,,,
lorient,France,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,3.8,,
metz,France,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,3.8,,
montpellier,France,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,3.8,,
nantes,France,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,3.8,,
nice,France,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,3.8,,
lille,France,,,,,,,,1001.0,,,,,,,,,,,,,,,4.04,,
bastia,France,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,3.8,,
caen,France,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,3.8,,
toulouse,France,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,3.8,,
guingamp,France,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,3.8,,
reims,France,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,3.8,,
rennes,France,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,3.8,,
evian,France,,,,,,,10001.0,1001.0,,,,,,,,,,,,,,,3.8,,
lens,France,,,,,,,10001.0,1001.0,,,,,,,,,,,,,,,3.8,,
juventus,Italy,,1.08,1.08,,1.08,,1.1,1.1,,,,,,1.1,,,,,1.1,1.38,,,,1.11,
roma,Italy,,6.0,7.0,,7.0,,6.5,6.5,,,,,,7.0,,,,,7.0,3.3,,,,5.75,
napoli,Italy,,34.0,29.0,,29.0,,,36.0,,,,,,29.0,,,,,29.0,26.0,,,,38.0,
fiorentina,Italy,,,151.0,,151.0,,,251.0,,,,,,,,,,,,101.0,,,,432.0,
lazio,Italy,,,301.0,,301.0,,,201.0,,,,,,,,,,,,151.0,,,,190.0,
inter,Italy,,,301.0,,301.0,,,501.0,,,,,,,,,,,,,,,,204.0,
ac milan,Italy,,,501.0,,501.0,,,501.0,,,,,,,,,,,,101.0,,,,844.0,
sampdoria,Italy,,,751.0,,751.0,,751.0,501.0,,,,,,,,,,,,201.0,,,,247.0,
parma,Italy,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,,844.0,
torino,Italy,,,,,,,501.0,1001.0,,,,,,,,,,,,,,,,844.0,
verona,Italy,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,,844.0,
udinese,Italy,,,,,,,301.0,1001.0,,,,,,,,,,,,,,,,844.0,
atalanta,Italy,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,,844.0,
genoa,Italy,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,,844.0,
palermo,Italy,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,,844.0,
cagliari,Italy,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,,844.0,
empoli,Italy,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,,844.0,
cesena,Italy,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,,844.0,
chievo,Italy,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,,844.0,
sassuolo,Italy,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,,844.0,
celtic,Scotland,1.03,1.04,1.04,,1.04,1.04,1.03,1.04,,,1.02,1.04,1.03,1.03,,1.03,,,1.03,,,,1.06,1.04,
aberdeen,Scotland,12.0,11.0,11.0,,11.0,12.0,15.0,13.0,,,13.0,13.0,13.0,13.0,,13.0,,,13.0,,,,14.8,,
inverness,Scotland,51.0,34.0,34.0,,34.0,81.0,26.0,34.0,,,34.0,51.0,34.0,34.0,,41.0,,,34.0,,,,81.0,,
dundee utd,Scotland,51.0,51.0,51.0,,51.0,51.0,41.0,51.0,,,51.0,101.0,51.0,41.0,,41.0,,,41.0,,,,90.0,,
hamilton,Scotland,1001.0,,,,,,,501.0,,,,,,,,,,,,,,,30.0,,
st johnstone,Scotland,1501.0,,,,,,,501.0,,,,,,,,,,,,,,,209.0,,
kilmarnock,Scotland,2001.0,,,,,,,501.0,,,,,,,,,,,,,,,285.0,,
dundee,Scotland,2501.0,,,,,,,1001.0,,,,,,,,,,,,,,,30.0,,
motherwell,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,30.0,,
partick,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,30.0,,
st mirren,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,30.0,,
ross county,Scotland,50001.0,,,,,,,1001.0,,,,,,,,,,,,,,,30.0,,
psv,Holland,,1.05,,,,1.03,1.08,1.03,,,,,,,,,,,,,,,1.02,,
ajax,Holland,,10.0,,,,10.0,7.0,11.0,,,,,,,,,,,,,,,6.7,5.85,
twente,Holland,,67.0,,,,,67.0,,,,,,,,,,,,,,,,38.0,32.0,
