name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,,1.08,1.08,1.08,1.1,1.05,,1.06,1.1,1.1,1.1,1.08,1.1,1.1,1.1,1.09,1.1,1.1,1.12,1.1,1.1,1.11,1.12,
vfl wolfsburg,Germany,17.0,,17.0,,17.0,,,,,18.0,17.0,,17.0,17.0,15.0,17.0,,17.0,18.0,17.0,18.0,,,,
bor dortmund,Germany,21.0,,17.0,17.0,17.0,15.0,21.0,,12.0,14.0,15.0,21.0,17.0,15.0,21.0,17.0,17.0,15.0,14.0,19.0,14.0,21.0,18.6,16.0,
wolfsburg,Germany,,,,17.0,,13.0,26.0,,11.0,,,21.0,,,,,16.5,,,,,17.5,20.0,16.0,
bayer leverkusen,Germany,41.0,,34.0,34.0,34.0,34.0,41.0,,23.0,34.0,34.0,26.0,41.0,34.0,34.0,34.0,36.0,34.0,34.0,34.0,34.0,41.0,34.0,34.0,
bor monchengladbach,Germany,41.0,,34.0,34.0,34.0,34.0,51.0,,26.0,34.0,41.0,41.0,41.0,29.0,41.0,41.0,37.0,29.0,34.0,41.0,34.0,41.0,32.0,39.0,
schalke 04,Germany,51.0,,41.0,41.0,41.0,41.0,151.0,,29.0,41.0,51.0,101.0,51.0,51.0,41.0,41.0,46.0,51.0,41.0,51.0,41.0,51.0,32.0,45.0,
mainz 05,Germany,501.0,,501.0,501.0,501.0,401.0,401.0,,301.0,401.0,501.0,501.0,501.0,251.0,501.0,501.0,451.0,251.0,401.0,501.0,401.0,521.0,95.0,87.0,
eintracht frankfurt,Germany,501.0,,401.0,501.0,401.0,501.0,501.0,,301.0,501.0,401.0,751.0,501.0,501.0,501.0,501.0,451.0,501.0,501.0,501.0,501.0,521.0,95.0,87.0,
hoffenheim,Germany,251.0,,251.0,251.0,251.0,251.0,501.0,,176.0,251.0,201.0,501.0,501.0,151.0,501.0,751.0,251.0,151.0,251.0,251.0,251.0,261.0,95.0,87.0,
augsburg,Germany,751.0,,251.0,501.0,251.0,501.0,751.0,,301.0,301.0,251.0,751.0,501.0,201.0,501.0,751.0,451.0,201.0,301.0,501.0,301.0,781.0,95.0,87.0,
fc koln,Germany,751.0,,501.0,751.0,501.0,501.0,751.0,,401.0,801.0,501.0,1001.0,751.0,501.0,751.0,751.0,651.0,501.0,801.0,751.0,801.0,,95.0,87.0,
hamburg,Germany,501.0,,301.0,501.0,301.0,501.0,751.0,,301.0,501.0,501.0,1001.0,751.0,501.0,501.0,501.0,551.0,501.0,501.0,501.0,501.0,,95.0,87.0,
hannover,Germany,,,,501.0,,501.0,501.0,,,,,1001.0,,,,,651.0,,,,,,95.0,87.0,
hannover 96,Germany,501.0,,501.0,,501.0,,,,401.0,801.0,751.0,,751.0,501.0,751.0,1001.0,,501.0,801.0,1001.0,801.0,521.0,,,
hertha berlin,Germany,1001.0,,751.0,751.0,751.0,501.0,1001.0,,501.0,801.0,751.0,1001.0,751.0,751.0,751.0,1001.0,701.0,751.0,801.0,751.0,801.0,1001.0,95.0,87.0,
