name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.05,1.02,1.0376190476190477,1.04,1.03,1.05
bor dortmund,Germany,51.0,17.0,30.38095238095238,29.0,21.0,34.0
bayer leverkusen,Germany,51.0,16.0,32.904761904761905,29.0,26.0,34.0
vfl wolfsburg,Germany,105.0,51.0,72.285714285714292,67.0,67.0,75.0
bor monchengladbach,Germany,126.0,41.0,103.19047619047619,101.0,81.0,125.0
schalke 04,Germany,209.0,67.0,97.80952380952381,81.0,75.0,101.0
hoffenheim,Germany,276.0,75.0,154.9047619047619,151.0,126.0,176.0
mainz 05,Germany,504.0,251.0,380.33333333333331,401.0,301.0,401.0
hannover 96,Germany,1501.0,87.0,742.25,751.0,501.0,1000.0
eintracht frankfurt,Germany,1501.0,144.0,698.54999999999995,551.0,475.25,1001.0
fc koln,Germany,1501.0,97.0,1003.1,1001.0,988.25,1001.0
hertha berlin,Germany,2000.0,501.0,1127.95,1001.0,988.25,1126.0
vfb stuttgart,Germany,2000.0,201.0,937.95000000000005,975.5,688.5,1001.0
augsburg,Germany,2001.0,97.0,820.60000000000002,751.0,576.0,1000.25
paderborn,Germany,2501.0,97.0,1205.8,1001.0,751.0,1625.75
hamburg,Germany,2501.0,301.0,1005.55,1001.0,501.0,1001.0
freiburg,Germany,3500.0,97.0,1603.0999999999999,1251.0,1001.0,2001.0
werder bremen,Germany,3500.0,376.0,1646.7,1126.0,1001.0,2001.0
barcelona,Spain,1.91,1.75,1.8466666666666667,1.8300000000000001,1.8300000000000001,1.8700000000000001
real madrid,Spain,2.16,2.03,2.097142857142857,2.1000000000000001,2.1000000000000001,2.1000000000000001
atletico madrid,Spain,24.0,15.0,19.142857142857142,18.0,17.0,21.0
valencia,Spain,81.0,47.0,67.952380952380949,67.0,67.0,81.0
seville,Spain,580.0,150.0,228.47619047619048,201.0,151.0,251.0
villarreal,Spain,950.0,201.0,341.85000000000002,276.0,251.0,301.0
athletic bilbao,Spain,1501.0,201.0,611.10526315789468,301.0,251.0,975.5
celta vigo,Spain,1501.0,751.0,934.78947368421052,1001.0,751.0,1001.0
espanyol,Spain,2501.0,844.0,1661.1052631578948,1501.0,1501.0,2001.0
malaga,Spain,2501.0,844.0,1319.0,1501.0,1001.0,1501.0
real sociedad,Spain,2501.0,201.0,855.60000000000002,751.0,501.0,1001.0
rayo vallecano,Spain,4001.0,844.0,1937.421052631579,2001.0,1501.0,2501.0
granada,Spain,5001.0,844.0,1963.7368421052631,1501.0,1251.0,2751.0
almeria,Spain,7501.0,844.0,3069.0,3001.0,2501.0,3501.0
eibar,Spain,7501.0,844.0,2911.1052631578946,2501.0,2001.0,4001.0
getafe,Spain,7501.0,844.0,2384.7894736842104,2501.0,1001.0,2501.0
deportivo la coruna,Spain,8001.0,844.0,2884.7894736842104,2501.0,1501.0,4001.0
elche,Spain,8001.0,844.0,3384.7894736842104,2501.0,2251.0,5001.0
levante,Spain,8001.0,844.0,3174.2631578947367,2501.0,2001.0,5001.0
cordoba,Spain,10001.0,844.0,4295.0,5001.0,2626.0,5001.0
chelsea,England,1.59,1.44,1.4958333333333333,1.5,1.4849999999999999,1.5
man city,England,3.5,3.2,3.3699999999999997,3.3999999999999999,3.25,3.5
man utd,England,28.0,19.0,23.375,23.0,21.75,26.0
arsenal,England,42.0,29.0,34.0,34.0,34.0,34.0
liverpool,England,46.0,29.0,37.041666666666664,34.0,34.0,41.0
tottenham,England,262.0,151.0,205.375,201.0,201.0,201.0
southampton,England,401.0,70.0,261.33333333333331,251.0,201.0,301.0
