name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.01,1.0,1.0033333333333332,1.0,1.0,1.01
vfl wolfsburg,Germany,101.0,48.0,76.299999999999997,76.0,67.0,91.5
bayer leverkusen,Germany,251.0,67.0,139.09999999999999,117.0,101.0,188.5
bor monchengladbach,Germany,501.0,95.0,216.0,163.5,107.25,251.0
schalke 04,Germany,1001.0,95.0,309.33333333333331,201.0,182.0,251.0
hoffenheim,Germany,1001.0,238.0,512.39999999999998,501.0,282.75,688.5
augsburg,Germany,2001.0,71.0,893.5,501.0,339.75,1626.0
bor dortmund,Germany,2501.0,95.0,595.44444444444446,432.0,301.0,501.0
hannover 96,Germany,2501.0,190.0,817.5,501.0,501.0,883.25
mainz 05,Germany,2501.0,401.0,768.0,501.0,470.75,586.75
eintracht frankfurt,Germany,2501.0,501.0,1133.0,975.5,870.5,1001.0
fc koln,Germany,3001.0,475.0,1164.4000000000001,844.0,501.0,1001.0
hertha berlin,Germany,4001.0,42.0,1377.8,844.0,501.0,1501.0
paderborn,Germany,4001.0,133.0,1596.0,844.0,501.0,2501.0
werder bremen,Germany,5001.0,42.0,1677.8,844.0,501.0,2001.0
vfb stuttgart,Germany,5001.0,114.0,1327.0,672.5,501.0,961.75
hamburg,Germany,5001.0,501.0,1915.8,844.0,732.0,2501.0
freiburg,Germany,7501.0,42.0,2177.8000000000002,844.0,501.0,2001.0
real madrid,Spain,1.4,1.35,1.365,1.3600000000000001,1.3574999999999999,1.365
barcelona,Spain,3.8,3.25,3.4837500000000001,3.5,3.3999999999999999,3.5049999999999999
atletico madrid,Spain,26.0,9.73,15.71625,15.0,13.0,17.0
valencia,Spain,251.0,101.0,138.625,101.0,101.0,173.75
seville,Spain,401.0,151.0,245.85714285714286,201.0,201.0,283.0
villarreal,Spain,844.0,251.0,516.5,501.0,501.0,501.0
malaga,Spain,1501.0,844.0,1115.3333333333333,1001.0,922.5,1251.0
athletic bilbao,Spain,2001.0,844.0,1282.0,1001.0,922.5,1501.0
celta vigo,Spain,2501.0,844.0,1448.6666666666667,1001.0,922.5,1751.0
espanyol,Spain,2501.0,844.0,1324.0,975.5,923.5,1376.0
getafe,Spain,3001.0,844.0,1449.0,975.5,923.5,1501.0
rayo vallecano,Spain,3001.0,844.0,1615.3333333333333,1001.0,922.5,2001.0
real sociedad,Spain,3001.0,844.0,1615.3333333333333,1001.0,922.5,2001.0
eibar,Spain,4001.0,844.0,1699.0,975.5,923.5,1751.0
granada,Spain,4001.0,844.0,1699.0,975.5,923.5,1751.0
levante,Spain,4001.0,844.0,1948.6666666666667,1001.0,922.5,2501.0
almeria,Spain,5001.0,844.0,1949.0,975.5,923.5,2001.0
cordoba,Spain,5001.0,844.0,1949.0,975.5,923.5,2001.0
deportivo la coruna,Spain,5001.0,844.0,2282.0,1001.0,922.5,3001.0
elche,Spain,5001.0,844.0,2282.0,1001.0,922.5,3001.0
chelsea,England,1.65,1.53,1.6054999999999999,1.6200000000000001,1.5700000000000001,1.6200000000000001
man city,England,2.9,2.38,2.617,2.6200000000000001,2.5,2.75
man utd,England,26.0,17.0,19.800000000000001,19.0,18.5,21.0
arsenal,England,134.0,81.0,92.150000000000006,86.5,81.0,101.0
southampton,England,344.0,70.0,262.85000000000002,251.0,251.0,301.0
tottenham,England,501.0,100.0,277.44999999999999,266.0,251.0,301.0
liverpool,England,795.0,251.0,534.20000000000005,501.0,457.25,601.0
west ham,England,2001.0,496.0,1347.4000000000001,1501.0,1001.0,1501.0
newcastle,England,2501.0,496.0,1746.5,2001.0,1368.25,2126.0
swansea,England,2501.0,496.0,1871.5,2251.0,1368.25,2501.0
aston villa,England,3001.0,496.0,2161.6666666666665,2751.0,1352.75,3001.0
sunderland,England,3001.0,496.0,2161.6666666666665,2751.0,1352.75,3001.0
everton,England,4001.0,496.0,1602.2222222222222,2001.0,501.0,2001.0
qpr,England,5001.0,970.0,4194.8000000000002,5001.0,5001.0,5001.0
