name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Bwin,Unibet,32Red Bet,Betfair,Betdaq,Matchbook
metz,France,1501.0,1501.0,,1001.0,,,1501.0,501.0,1501.0,,2501.0,2501.0,1001.0,1001.0,,2501.0,1001.0,,1001.0,1001.0,,,105.0,,
lens,France,5001.0,1001.0,,1001.0,,,5001.0,501.0,1001.0,,5001.0,5001.0,1001.0,751.0,,2501.0,1001.0,,751.0,201.0,,,105.0,,
evian,France,2501.0,1001.0,,1001.0,,,10001.0,501.0,2001.0,,2501.0,2501.0,1001.0,1501.0,,1501.0,1001.0,,1501.0,1501.0,,,105.0,,
juventus,Italy,2.2,2.2,2.0,2.05,2.0,2.1,2.1,2.2,1.83,1.8,1.91,2.3,1.91,2.05,2.0,2.1,2.1,2.0,2.05,2.5,1.8,1.8,,2.28,
roma,Italy,3.0,3.25,3.5,3.25,3.5,3.0,3.25,3.0,3.5,3.25,3.5,3.5,3.5,3.25,3.3,3.25,3.5,3.25,3.25,3.0,3.25,3.25,,3.13,
napoli,Italy,6.0,6.0,6.5,6.5,6.5,6.0,6.0,7.0,6.0,6.5,6.0,7.0,5.5,6.5,6.5,6.0,6.0,6.5,6.5,6.0,6.5,6.5,,5.75,
inter,Italy,17.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,17.0,13.0,13.0,17.0,17.0,17.0,13.0,13.0,12.0,15.0,15.0,,14.1,
ac milan,Italy,21.0,17.0,15.0,13.0,15.0,15.0,17.0,17.0,17.0,15.0,15.0,21.0,15.0,15.0,19.0,21.0,19.0,13.0,15.0,15.0,15.0,15.0,,18.0,
fiorentina,Italy,21.0,19.0,15.0,17.0,15.0,17.0,21.0,17.0,17.0,18.0,17.0,21.0,17.0,17.0,17.0,21.0,15.0,17.0,17.0,17.0,18.0,18.0,,18.9,
lazio,Italy,151.0,201.0,151.0,81.0,151.0,201.0,251.0,151.0,151.0,225.0,151.0,251.0,151.0,151.0,151.0,251.0,201.0,150.0,151.0,101.0,225.0,225.0,,89.0,
parma,Italy,251.0,301.0,251.0,201.0,251.0,251.0,301.0,251.0,251.0,251.0,251.0,501.0,501.0,251.0,251.0,501.0,301.0,201.0,251.0,251.0,251.0,251.0,,134.0,
torino,Italy,401.0,301.0,501.0,501.0,501.0,401.0,501.0,501.0,401.0,501.0,251.0,501.0,501.0,501.0,401.0,501.0,501.0,251.0,501.0,251.0,501.0,501.0,,252.0,
udinese,Italy,501.0,401.0,251.0,301.0,251.0,301.0,501.0,251.0,401.0,251.0,301.0,501.0,251.0,251.0,501.0,251.0,351.0,451.0,251.0,501.0,251.0,251.0,,252.0,
genoa,Italy,751.0,751.0,751.0,501.0,751.0,751.0,1001.0,501.0,751.0,1001.0,751.0,1001.0,1001.0,751.0,751.0,751.0,1001.0,701.0,751.0,501.0,1001.0,1001.0,,335.0,
verona,Italy,501.0,401.0,501.0,751.0,501.0,751.0,751.0,1001.0,501.0,501.0,501.0,1001.0,501.0,501.0,751.0,751.0,501.0,451.0,501.0,501.0,501.0,501.0,,335.0,
atalanta,Italy,751.0,751.0,751.0,751.0,751.0,751.0,1001.0,501.0,751.0,1001.0,751.0,1001.0,1001.0,751.0,751.0,751.0,1001.0,701.0,751.0,751.0,1001.0,1001.0,,422.0,
palermo,Italy,751.0,1001.0,751.0,501.0,751.0,751.0,1001.0,501.0,751.0,1001.0,1001.0,1001.0,1001.0,751.0,751.0,1001.0,1001.0,701.0,751.0,751.0,1001.0,1001.0,,422.0,
sampdoria,Italy,751.0,1001.0,751.0,251.0,751.0,751.0,1001.0,501.0,751.0,1001.0,751.0,1001.0,501.0,751.0,751.0,501.0,1001.0,701.0,751.0,501.0,1001.0,1001.0,,422.0,
cagliari,Italy,1001.0,1501.0,1001.0,501.0,1001.0,751.0,1001.0,1001.0,751.0,1001.0,1001.0,1501.0,1001.0,1001.0,1501.0,1001.0,1001.0,701.0,1001.0,751.0,1001.0,1001.0,,134.0,
chievo,Italy,1501.0,2001.0,1501.0,751.0,1501.0,1501.0,2001.0,1001.0,1501.0,2001.0,2001.0,2001.0,1001.0,1501.0,1001.0,1001.0,1501.0,951.0,1501.0,751.0,2001.0,2001.0,,422.0,
empoli,Italy,1001.0,2001.0,1001.0,751.0,1001.0,1001.0,1001.0,1001.0,1001.0,2001.0,1001.0,2001.0,1001.0,1001.0,1001.0,751.0,501.0,951.0,1001.0,751.0,2001.0,2001.0,,422.0,
sassuolo,Italy,1501.0,2001.0,1501.0,751.0,1501.0,1501.0,2001.0,1001.0,1501.0,2001.0,2001.0,2001.0,1001.0,1501.0,1001.0,1501.0,1501.0,1001.0,1501.0,751.0,2001.0,2001.0,,422.0,
cesena,Italy,2001.0,2501.0,1251.0,751.0,1251.0,751.0,1501.0,1001.0,1501.0,2001.0,2001.0,2501.0,501.0,1501.0,2001.0,751.0,,1001.0,1501.0,751.0,2001.0,2001.0,,422.0,
celtic,Scotland,1.02,1.02,1.02,1.02,1.02,,1.02,1.02,1.02,1.01,1.02,1.03,1.02,1.02,1.01,1.02,,1.02,1.02,1.02,1.01,1.01,1.05,1.05,
aberdeen,Scotland,41.0,34.0,41.0,34.0,41.0,,41.0,36.0,41.0,41.0,34.0,51.0,34.0,41.0,51.0,41.0,,33.0,41.0,34.0,41.0,41.0,24.0,18.9,
dundee utd,Scotland,51.0,51.0,51.0,51.0,51.0,,41.0,34.0,41.0,67.0,41.0,67.0,41.0,41.0,67.0,34.0,,40.0,41.0,51.0,67.0,67.0,34.0,27.0,
