name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Bwin,Unibet,32Red Bet,Betfair,Betdaq,Matchbook
nacional madeira,Portugal,201.0,251.0,251.0,201.0,251.0,201.0,251.0,201.0,201.0,,251.0,251.0,,,,301.0,201.0,,,251.0,251.0,,114.0,,
rio ave,Portugal,351.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,,301.0,251.0,,,,301.0,301.0,,,351.0,301.0,,105.0,,
guimaraes,Portugal,351.0,251.0,251.0,251.0,251.0,301.0,301.0,251.0,301.0,,301.0,251.0,,,,351.0,251.0,,,351.0,301.0,,114.0,,
boavista,Portugal,201.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,,301.0,251.0,,,,301.0,251.0,,,351.0,251.0,,124.0,,
academica,Portugal,201.0,301.0,301.0,301.0,301.0,351.0,401.0,251.0,301.0,,301.0,401.0,,,,501.0,301.0,,,351.0,401.0,,105.0,,
arouca,Portugal,501.0,301.0,301.0,301.0,301.0,351.0,401.0,301.0,301.0,,301.0,401.0,,,,501.0,301.0,,,351.0,401.0,,105.0,,
belenenses,Portugal,501.0,501.0,501.0,301.0,501.0,401.0,501.0,301.0,501.0,,501.0,501.0,,,,501.0,351.0,,,,501.0,,105.0,,
vitoria setubal,Portugal,351.0,301.0,301.0,301.0,301.0,351.0,501.0,251.0,401.0,,501.0,501.0,,,,501.0,351.0,,,351.0,401.0,,114.0,,
pcos ferr,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,,,
gil vicente,Portugal,501.0,501.0,501.0,301.0,501.0,351.0,501.0,301.0,501.0,,501.0,501.0,,,,751.0,351.0,,,351.0,401.0,,105.0,,
pacos ferreira,Portugal,751.0,301.0,251.0,351.0,251.0,351.0,501.0,301.0,501.0,,751.0,501.0,,,,751.0,351.0,,,351.0,401.0,,105.0,,
moreirense,Portugal,501.0,501.0,501.0,351.0,501.0,401.0,501.0,501.0,401.0,,501.0,501.0,,,,751.0,401.0,,,,501.0,,124.0,,
penafiel,Portugal,751.0,501.0,501.0,401.0,501.0,401.0,501.0,501.0,501.0,,751.0,501.0,,,,751.0,401.0,,,,501.0,,124.0,,
