name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.22,1.22,1.2,1.22,1.2,1.22,1.22,1.22,,1.22,1.22,1.22,1.2,1.2,1.22,1.22,1.22,1.2,1.22,1.22,1.23,1.26,1.24,
Bor Dortmund,Germany,5.0,4.5,5.0,4.33,5.0,4.5,4.33,4.0,,4.5,4.5,5.0,4.5,4.33,5.0,4.25,4.5,4.5,4.5,4.5,4.8,5.09,4.8,
Bayer Leverkusen,Germany,29.0,21.0,26.0,21.0,26.0,21.0,26.0,21.0,,20.0,21.0,26.0,21.0,21.0,29.0,21.0,20.0,21.0,21.0,21.0,34.0,46.0,48.0,
Schalke 04,Germany,151.0,101.0,51.0,81.0,101.0,101.0,101.0,81.0,,75.0,81.0,101.0,81.0,81.0,81.0,67.0,75.0,101.0,151.0,81.0,70.0,95.0,95.0,
VfL Wolfsburg,Germany,151.0,151.0,101.0,81.0,101.0,101.0,101.0,91.0,,150.0,126.0,101.0,151.0,151.0,151.0,101.0,150.0,151.0,151.0,126.0,126.0,171.0,158.0,
Bor Monchengladbach,Germany,251.0,201.0,201.0,151.0,201.0,201.0,151.0,101.0,,100.0,151.0,151.0,201.0,151.0,201.0,151.0,100.0,201.0,201.0,151.0,196.0,295.0,252.0,
VfB Stuttgart,Germany,201.0,201.0,151.0,201.0,151.0,151.0,151.0,201.0,,200.0,251.0,201.0,251.0,201.0,301.0,151.0,200.0,251.0,201.0,201.0,192.0,266.0,247.0,
Hannover 96,Germany,251.0,251.0,201.0,251.0,201.0,251.0,251.0,401.0,,150.0,201.0,201.0,301.0,251.0,501.0,101.0,150.0,401.0,251.0,251.0,270.0,380.0,347.0,
Werder Bremen,Germany,301.0,201.0,301.0,151.0,301.0,251.0,201.0,251.0,,300.0,351.0,501.0,501.0,201.0,301.0,251.0,300.0,301.0,251.0,251.0,340.0,475.0,442.0,
Hamburg,Germany,501.0,251.0,401.0,351.0,401.0,201.0,201.0,251.0,,200.0,501.0,501.0,501.0,251.0,501.0,201.0,200.0,301.0,,301.0,540.0,760.0,713.0,
