name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.17,1.17,1.17,1.18,1.17,1.2,1.17,1.2,,1.18,1.2,,1.17,1.16,,1.18,1.18,1.18,1.17,1.18,1.09,1.23,1.19,
Bor Dortmund,Germany,5.0,4.5,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,,5.0,5.0,,4.75,5.0,5.0,5.0,5.0,5.1,5.66,5.27,
Bayer Leverkusen,Germany,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,,20.0,21.0,,21.0,21.0,,23.0,20.0,26.0,21.0,21.0,18.5,23.0,19.0,
Schalke 04,Germany,201.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,,100.0,101.0,,101.0,101.0,,51.0,100.0,121.0,201.0,101.0,72.0,90.0,84.0,
Bor Monchengladbach,Germany,251.0,101.0,151.0,126.0,151.0,101.0,201.0,126.0,,100.0,151.0,,201.0,101.0,,101.0,100.0,201.0,251.0,151.0,196.0,314.0,252.0,
VfB Stuttgart,Germany,301.0,151.0,201.0,151.0,201.0,151.0,251.0,151.0,,200.0,251.0,,201.0,151.0,,101.0,200.0,301.0,301.0,201.0,220.0,304.0,280.0,
Hamburg,Germany,501.0,,,401.0,,251.0,501.0,251.0,,300.0,401.0,,501.0,251.0,,251.0,300.0,501.0,501.0,351.0,124.0,162.0,152.0,
VfL Wolfsburg,Germany,501.0,501.0,251.0,151.0,251.0,251.0,251.0,126.0,,200.0,201.0,,151.0,501.0,,101.0,200.0,501.0,501.0,301.0,144.0,190.0,177.0,
Hannover 96,Germany,301.0,,,401.0,251.0,401.0,501.0,501.0,,200.0,301.0,,301.0,351.0,,101.0,200.0,501.0,501.0,351.0,280.0,390.0,361.0,
Werder Bremen,Germany,301.0,501.0,,301.0,,251.0,501.0,251.0,,300.0,401.0,,501.0,251.0,,251.0,300.0,501.0,501.0,351.0,350.0,485.0,451.0,
Hertha Berlin,Germany,601.0,,,,,501.0,501.0,301.0,,200.0,401.0,,501.0,251.0,,151.0,200.0,501.0,,351.0,230.0,333.0,299.0,
Eintracht Frankfurt,Germany,601.0,,,,,301.0,501.0,251.0,,200.0,251.0,,301.0,251.0,,151.0,200.0,301.0,,301.0,340.0,485.0,437.0,
Freiburg,Germany,1001.0,,,,,751.0,1001.0,501.0,,1000.0,751.0,,501.0,751.0,,501.0,1000.0,1001.0,,1001.0,610.0,950.0,884.0,
Hoffenheim,Germany,1001.0,,501.0,401.0,501.0,501.0,501.0,301.0,,250.0,351.0,,501.0,251.0,,251.0,250.0,501.0,,401.0,615.0,950.0,888.0,
Mainz 05,Germany,1001.0,,,,,401.0,751.0,401.0,,300.0,501.0,,501.0,351.0,,251.0,300.0,501.0,,501.0,615.0,950.0,888.0,
Augsburg,Germany,3501.0,,,,,2501.0,2501.0,401.0,,200.0,2001.0,,1001.0,501.0,,251.0,200.0,3001.0,,1501.0,615.0,950.0,888.0,
Nurnberg,Germany,4001.0,,,,,1001.0,1001.0,501.0,,1000.0,1501.0,,1001.0,1001.0,,501.0,1000.0,2001.0,,1501.0,615.0,950.0,888.0,
Braunschweig,Germany,4001.0,,,,,3001.0,5001.0,501.0,,3000.0,3001.0,,5001.0,2501.0,,2001.0,3000.0,5001.0,,3001.0,615.0,950.0,888.0,
Barcelona,Spain,1.4,,,1.4,1.4,1.4,1.44,1.44,1.4,,1.29,,1.4,1.4,1.33,1.4,,1.4,1.4,1.4,1.24,1.47,1.44,
Real Madrid,Spain,3.75,,,3.5,3.5,3.4,3.0,3.4,3.5,,4.0,,3.25,3.25,3.75,3.5,,3.5,3.5,3.5,3.9,4.04,3.85,
Atletico Madrid,Spain,11.0,,,13.0,13.0,12.0,15.0,13.0,11.0,,13.0,,11.0,12.0,13.0,10.0,,15.0,13.0,13.0,9.4,10.5,10.0,
Valencia,Spain,751.0,,,301.0,251.0,301.0,251.0,251.0,401.0,,501.0,,501.0,251.0,,,,701.0,,401.0,290.0,523.0,375.0,
Athl Bilbao,Spain,751.0,,,401.0,501.0,1001.0,1001.0,401.0,1001.0,,1001.0,,501.0,751.0,,,,1001.0,,601.0,200.0,295.0,252.0,
Betis,Spain,,,,501.0,,1001.0,751.0,401.0,1001.0,,1001.0,,1001.0,751.0,,,,1001.0,,601.0,295.0,409.0,380.0,
Real Sociedad,Spain,,,,401.0,501.0,501.0,401.0,401.0,501.0,,1001.0,,751.0,501.0,,,,1001.0,,501.0,200.0,437.0,252.0,
Sevilla,Spain,,,,501.0,,751.0,1001.0,401.0,1001.0,,1001.0,,751.0,501.0,,,,1001.0,,,255.0,504.0,328.0,
Malaga,Spain,,,,751.0,,1001.0,1001.0,501.0,1001.0,,1001.0,,1001.0,501.0,,,,1001.0,,1001.0,615.0,950.0,888.0,
Espanyol,Spain,,,,,,1001.0,1001.0,1001.0,1001.0,,1501.0,,1001.0,,,,,1501.0,,1001.0,360.0,513.0,480.0,
Villarreal,Spain,401.0,,,,,601.0,1001.0,,3001.0,,501.0,,501.0,351.0,,,,1501.0,,1251.0,134.0,171.0,165.0,
Celta Vigo,Spain,,,,,,3001.0,2501.0,1501.0,2001.0,,5001.0,,1501.0,,,,,3001.0,,2001.0,615.0,950.0,888.0,
Getafe,Spain,,,,,,2001.0,2001.0,1001.0,1501.0,,5001.0,,1001.0,,,,,2001.0,,1501.0,615.0,950.0,888.0,
Granada,Spain,,,,,,3001.0,5001.0,3001.0,3001.0,,5001.0,,2501.0,,,,,5001.0,,4001.0,615.0,950.0,888.0,
Levante,Spain,,,,,,2501.0,2501.0,2001.0,2501.0,,5001.0,,2501.0,,,,,3501.0,,2501.0,615.0,950.0,888.0,
Valladolid,Spain,,,,,,3001.0,3001.0,2501.0,3001.0,,5001.0,,4001.0,,,,,3501.0,,3001.0,615.0,950.0,888.0,
Osasuna,Spain,,,,,,3001.0,5001.0,2501.0,3001.0,,7501.0,,2501.0,,,,,5001.0,,4001.0,615.0,950.0,888.0,
Rayo Vallecano,Spain,,,,,,3001.0,5001.0,1001.0,1501.0,,8001.0,,2501.0,,,,,5001.0,,2501.0,615.0,950.0,888.0,
Almeria,Spain,,,,,,7501.0,7501.0,,,,9001.0,,5001.0,,,,,8001.0,,,615.0,950.0,888.0,
Elche,Spain,,,,,,5001.0,7501.0,5001.0,7501.0,,9001.0,,5001.0,,,,,8001.0,,5001.0,615.0,950.0,888.0,
Man City,England,3.25,3.25,3.25,3.2,3.25,3.25,3.0,3.2,3.2,3.25,3.0,3.2,3.0,3.0,3.0,3.25,3.25,3.27,3.25,3.2,3.3,3.28,3.28,
Chelsea,England,3.6,4.0,3.5,3.75,3.5,3.5,4.0,4.0,3.8,3.75,3.3,3.75,3.5,3.75,3.4,3.75,3.75,4.0,4.0,3.5,3.9,3.85,3.85,
Arsenal,England,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,6.0,5.5,6.5,6.0,6.0,6.0,6.0,6.0,6.15,6.5,6.0,6.2,6.32,6.32,
Man Utd,England,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.5,6.5,7.0,6.5,7.0,7.0,7.0,7.5,7.2,7.0,7.0,7.2,7.27,7.27,
Liverpool,England,8.5,8.0,9.0,8.5,9.0,8.0,8.0,8.0,7.5,8.0,8.0,9.0,8.0,8.0,8.0,8.5,8.0,8.5,9.0,8.5,8.4,8.41,8.41,
Tottenham,England,15.0,15.0,13.0,15.0,13.0,13.0,15.0,13.0,13.0,17.0,15.0,13.0,13.0,15.0,15.0,15.0,17.0,15.0,15.0,13.0,15.5,16.2,16.2,
Everton,England,126.0,126.0,151.0,151.0,151.0,151.0,151.0,101.0,151.0,150.0,151.0,151.0,151.0,151.0,151.0,151.0,150.0,121.0,151.0,201.0,124.0,152.0,152.0,
Southampton,England,501.0,1001.0,1001.0,601.0,1001.0,1001.0,1001.0,501.0,501.0,750.0,1001.0,501.0,501.0,1001.0,501.0,1001.0,750.0,801.0,1001.0,501.0,520.0,684.0,689.0,
Aston Villa,England,1251.0,1001.0,1501.0,,1501.0,2001.0,1001.0,2001.0,1001.0,2000.0,2501.0,2001.0,1501.0,1501.0,2001.0,2001.0,2000.0,2001.0,,2001.0,660.0,950.0,950.0,
Swansea,England,1251.0,2001.0,2501.0,2001.0,2501.0,2001.0,2501.0,1001.0,,1500.0,2501.0,2501.0,1501.0,2501.0,2001.0,2501.0,1500.0,2001.0,,2001.0,660.0,950.0,950.0,
Newcastle,England,2001.0,2001.0,2501.0,,2501.0,2001.0,2001.0,1001.0,,2000.0,4001.0,2501.0,1501.0,2001.0,2501.0,2501.0,2000.0,2501.0,,3001.0,660.0,950.0,950.0,
Fulham,England,3501.0,,2501.0,,2501.0,2501.0,3001.0,2001.0,,3000.0,5001.0,5001.0,3001.0,2501.0,3001.0,4001.0,3000.0,3001.0,,3001.0,660.0,950.0,950.0,
Stoke,England,4001.0,,2501.0,,2501.0,5001.0,3001.0,4001.0,,3000.0,5001.0,5001.0,5001.0,3501.0,4001.0,5001.0,3000.0,5001.0,,4001.0,660.0,950.0,950.0,
West Brom,England,3001.0,2001.0,1501.0,1501.0,1501.0,2001.0,2501.0,2001.0,1001.0,3000.0,5001.0,3001.0,2501.0,2001.0,3001.0,3001.0,3000.0,4001.0,,3001.0,660.0,950.0,950.0,
West Ham,England,2501.0,,2001.0,,2001.0,2001.0,3001.0,2001.0,,2500.0,5001.0,3001.0,2001.0,2001.0,2501.0,3001.0,2500.0,2501.0,,3001.0,660.0,950.0,950.0,
Cardiff,England,4001.0,,4001.0,,4001.0,5001.0,5001.0,3001.0,,4000.0,7501.0,7501.0,7501.0,5001.0,5001.0,5001.0,4000.0,5001.0,,5001.0,660.0,950.0,950.0,
