name,country,max,min,mean,median,twentyfive,seventyfive
Bayern Munich,Germany,1.07,1.03,1.0576923076923077,1.0600000000000001,1.0600000000000001,1.0700000000000001
Bor Dortmund,Germany,16.7,8.0,10.899999999999999,9.5,9.0,11.0
Bayer Leverkusen,Germany,48.0,21.0,31.0,29.0,26.0,31.0
Schalke 04,Germany,401.0,81.0,183.07692307692307,151.0,151.0,200.0
Bor Monchengladbach,Germany,501.0,101.0,190.15384615384616,151.0,150.0,201.0
Hamburg,Germany,501.0,340.0,433.60000000000002,451.0,401.0,475.0
Hertha Berlin,Germany,523.0,365.0,471.0,498.0,462.5,506.5
Mainz 05,Germany,950.0,501.0,743.25,761.0,586.5,917.75
VfB Stuttgart,Germany,1001.0,255.0,534.83333333333337,431.0,345.25,688.5
VfL Wolfsburg,Germany,1001.0,251.0,445.08333333333331,440.5,300.0,501.0
Hannover 96,Germany,1001.0,285.0,606.0,569.0,354.75,820.25
Werder Bremen,Germany,1001.0,275.0,623.75,609.5,341.75,891.5
Augsburg,Germany,1001.0,615.0,863.5,919.0,834.0,948.5
Eintracht Frankfurt,Germany,1001.0,605.0,862.0,921.0,820.25,962.75
Hoffenheim,Germany,1001.0,615.0,868.25,928.5,834.0,962.75
Freiburg,Germany,2001.0,610.0,1115.75,926.0,829.0,1212.75
Nurnberg,Germany,2501.0,615.0,1243.25,928.5,834.0,1337.75
Braunschweig,Germany,5001.0,615.0,1868.25,928.5,834.0,1962.75
Barcelona,Spain,1.66,1.39,1.5728571428571427,1.6000000000000001,1.5700000000000001,1.6100000000000001
Real Madrid,Spain,3.18,2.9,2.98,2.9500000000000002,2.8999999999999999,3.0
Atletico Madrid,Spain,8.0,7.0,7.711666666666666,8.0,7.4524999999999997,8.0
Villarreal,Spain,950.0,300.0,516.66666666666663,300.0,300.0,625.0
Athl Bilbao,Spain,950.0,300.0,487.75,350.5,300.0,538.25
Real Sociedad,Spain,950.0,401.0,587.75,500.0,475.25,612.5
Sevilla,Spain,950.0,326.0,694.0,750.0,644.0,800.0
Valencia,Spain,1000.0,426.0,844.0,975.0,819.0,1000.0
Getafe,Spain,1500.0,950.0,1237.75,1250.5,988.25,1500.0
Espanyol,Spain,4000.0,950.0,2487.75,2500.5,988.25,4000.0
Granada,Spain,4000.0,950.0,2987.75,3500.5,2488.25,4000.0
Levante,Spain,4000.0,950.0,2737.75,3000.5,1738.25,4000.0
Malaga,Spain,4000.0,950.0,2487.75,2500.5,988.25,4000.0
Almeria,Spain,5000.0,950.0,3650.0,5000.0,2975.0,5000.0
Betis,Spain,5000.0,950.0,2987.75,3000.5,988.25,5000.0
Celta Vigo,Spain,5000.0,950.0,3112.75,3250.5,1363.25,5000.0
Osasuna,Spain,5000.0,950.0,3362.75,3750.5,2113.25,5000.0
Rayo Vallecano,Spain,5000.0,950.0,2987.75,3000.5,988.25,5000.0
Valladolid,Spain,5000.0,950.0,3362.75,3750.5,2113.25,5000.0
Elche,Spain,5001.0,950.0,3487.75,4000.0,3237.5,4250.25
Man City,England,2.78,2.6,2.6469999999999998,2.6200000000000001,2.6200000000000001,2.6299999999999999
Arsenal,England,3.6,2.75,3.3719999999999999,3.5,3.25,3.5
Chelsea,England,4.78,3.5,4.1799999999999997,4.0,4.0,4.3725000000000005
Man Utd,England,13.0,11.0,11.550000000000001,11.0,11.0,12.0
Liverpool,England,15.0,11.0,12.375,12.25,12.0,13.0
Tottenham,England,107.0,67.0,74.049999999999997,67.0,67.0,73.5
Everton,England,151.0,96.0,113.90000000000001,101.0,101.0,126.0
