name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.03,1.0,1.017391304347826,1.02,1.01,1.02
bor dortmund,Germany,31.0,15.0,21.152173913043477,21.0,17.0,26.0
wolfsburg,Germany,161.0,26.0,75.391304347826093,51.0,51.0,101.0
schalke 04,Germany,201.0,51.0,109.81818181818181,83.5,67.0,169.75
bayer leverkusen,Germany,271.0,21.0,108.34782608695652,81.0,67.0,113.5
bor monchengladbach,Germany,751.0,38.0,326.10526315789474,251.0,101.0,601.0
fc koln,Germany,2001.0,38.0,1003.1764705882352,751.0,501.0,1501.0
hertha berlin,Germany,2501.0,38.0,830.83333333333337,751.0,501.0,1088.5
hamburg,Germany,3001.0,38.0,1167.8823529411766,851.0,501.0,2001.0
mainz 05,Germany,3001.0,38.0,1056.1176470588234,751.0,501.0,1801.0
eintracht frankfurt,Germany,4001.0,38.0,1459.0588235294117,1001.0,501.0,3001.0
vfb stuttgart,Germany,5001.0,38.0,1944.3529411764705,1001.0,501.0,4501.0
werder bremen,Germany,5001.0,38.0,2020.8235294117646,1501.0,501.0,4001.0
ingolstadt,Germany,5001.0,90.0,1756.2352941176471,1001.0,1001.0,3001.0
augsburg,Germany,6001.0,38.0,2267.8823529411766,1001.0,1001.0,4501.0
hannover,Germany,6001.0,38.0,2223.7647058823532,1001.0,751.0,4501.0
darmstadt,Germany,6001.0,90.0,3153.294117647059,2001.0,1001.0,5001.0
hoffenheim,Germany,8001.0,38.0,2326.705882352941,1001.0,751.0,3001.0
barcelona,Spain,1.91,1.73,1.8290476190476193,1.8300000000000001,1.8300000000000001,1.8300000000000001
real madrid,Spain,2.32,2.0,2.0850000000000004,2.1000000000000001,2.0625,2.1000000000000001
atletico madrid,Spain,17.0,13.0,15.340909090909092,16.0,13.5,17.0
celta vigo,Spain,501.0,151.0,377.75,451.0,238.5,501.0
valencia,Spain,501.0,126.0,276.40909090909093,251.0,251.0,266.0
seville,Spain,751.0,201.0,482.47619047619048,501.0,412.0,501.0
villarreal,Spain,751.0,201.0,396.27272727272725,401.0,251.0,501.0
athletic bilbao,Spain,1501.0,501.0,1104.4666666666667,1001.0,751.0,1501.0
espanyol,Spain,2501.0,501.0,1464.5,1501.0,1001.0,2001.0
betis,Spain,5001.0,209.0,2748.1999999999998,2501.0,1501.0,4501.0
deportivo la coruna,Spain,5001.0,209.0,2614.8666666666668,2001.0,1376.0,4501.0
