name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,1.22,,,,,,1.22,,1.22,1.22,,,1.2,,1.22,1.22,,,,1.23,1.34,1.26,
Bor Dortmund,Germany,,4.5,,,,,,4.0,,4.5,4.5,,,4.33,,4.25,4.5,,,,4.0,3.8,4.32,
Bayer Leverkusen,Germany,,19.0,,,,,,21.0,,20.0,21.0,,,21.0,,21.0,20.0,,,,23.0,48.0,38.0,
Schalke 04,Germany,,101.0,,,,,,81.0,,75.0,81.0,,,81.0,,67.0,75.0,,,,56.0,67.0,61.0,
VfL Wolfsburg,Germany,,151.0,,,,,,91.0,,150.0,126.0,,,151.0,,101.0,150.0,,,,122.0,152.0,150.0,
Bor Monchengladbach,Germany,,151.0,,,,,,101.0,,100.0,151.0,,,151.0,,151.0,100.0,,,,196.0,295.0,247.0,
VfB Stuttgart,Germany,,201.0,,,,,,201.0,,200.0,251.0,,,201.0,,151.0,200.0,,,,192.0,266.0,242.0,
Werder Bremen,Germany,,201.0,,,,,,251.0,,300.0,351.0,,,201.0,,251.0,300.0,,,,340.0,475.0,442.0,
Mainz 05,Germany,,301.0,,,,,,301.0,,200.0,301.0,,,351.0,,151.0,200.0,,,,400.0,570.0,532.0,
Hannover 96,Germany,,251.0,,,,,,401.0,,150.0,201.0,,,251.0,,101.0,150.0,,,,250.0,352.0,323.0,
Hoffenheim,Germany,,401.0,,,,,,251.0,,200.0,351.0,,,351.0,,151.0,200.0,,,,540.0,760.0,713.0,
Hertha Berlin,Germany,,501.0,,,,,,401.0,,200.0,351.0,,,501.0,,251.0,200.0,,,,230.0,333.0,299.0,
Eintracht Frankfurt,Germany,,501.0,,,,,,201.0,,300.0,201.0,,,351.0,,151.0,300.0,,,,270.0,399.0,352.0,
Hamburg,Germany,,251.0,,,,,,251.0,,200.0,501.0,,,251.0,,201.0,200.0,,,,540.0,760.0,713.0,
Freiburg,Germany,,501.0,,,,,,401.0,,1000.0,751.0,,,751.0,,501.0,1000.0,,,,535.0,760.0,708.0,
Nurnberg,Germany,,751.0,,,,,,501.0,,1000.0,1001.0,,,751.0,,501.0,1000.0,,,,540.0,760.0,713.0,
Augsburg,Germany,,2001.0,,,,,,401.0,,300.0,2001.0,,,1501.0,,251.0,300.0,,,,540.0,760.0,713.0,
Braunschweig,Germany,,3001.0,,,,,,501.0,,3000.0,5001.0,,,2501.0,,2001.0,3000.0,,,,540.0,760.0,713.0,
Barcelona,Spain,,1.57,,,,,,1.62,,,,,,1.57,,,,,,,1.49,1.7,1.63,
Real Madrid,Spain,,2.38,,,,,,2.4,,,,,,2.37,,,,,,,,2.52,2.42,
Atletico Madrid,Spain,,29.0,,,,,,34.0,,,,,,29.0,,,,,,,23.0,30.0,24.0,
Valencia,Spain,,401.0,,,,,,91.0,,,,,,151.0,,,,,,,215.0,485.0,271.0,
Athl Bilbao,Spain,,501.0,,,,,,401.0,,,,,,501.0,,,,,,,148.0,247.0,181.0,
Real Sociedad,Spain,,501.0,,,,,,201.0,,,,,,501.0,,,,,,,240.0,323.0,314.0,
Sevilla,Spain,,751.0,,,,,,176.0,,,,,,501.0,,,,,,,220.0,304.0,280.0,
Betis,Spain,,751.0,,,,,,501.0,,,,,,501.0,,,,,,,225.0,323.0,295.0,
Malaga,Spain,,751.0,,,,,,326.0,,,,,,501.0,,,,,,,540.0,760.0,713.0,
Espanyol,Spain,,,,,,,,1001.0,,,,,,,,,,,,,154.0,257.0,195.0,
Getafe,Spain,,,,,,,,1001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Rayo Vallecano,Spain,,,,,,,,1001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Celta Vigo,Spain,,,,,,,,1501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Levante,Spain,,,,,,,,2001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Osasuna,Spain,,,,,,,,2501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Valladolid,Spain,,,,,,,,2501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Granada,Spain,,,,,,,,3001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Elche,Spain,,,,,,,,5001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Villarreal,Spain,,,,,,,,,,,,,,,,,,,,,120.0,143.0,143.0,
Almeria,Spain,,,,,,,,,,,,,,,,,,,,,615.0,950.0,888.0,
Man City,England,2.88,2.75,2.88,2.88,2.88,,2.75,2.75,2.75,2.8,2.75,2.75,2.75,2.75,,2.8,2.8,2.8,2.75,2.75,2.92,4.04,2.88,
Chelsea,England,4.0,4.33,4.0,4.2,4.0,,3.75,4.0,3.5,4.0,3.2,4.0,3.5,3.75,,4.0,4.0,4.0,4.0,4.0,4.1,4.14,4.14,
Man Utd,England,5.0,5.5,5.5,5.5,5.5,,5.5,5.5,5.5,5.5,5.0,5.5,5.0,5.5,,5.5,5.5,5.5,5.5,5.5,5.4,4.32,5.37,
Arsenal,England,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.5,8.0,7.0,7.5,7.5,,7.5,7.5,7.5,7.0,7.5,7.6,8.03,7.65,
Tottenham,England,11.0,12.0,11.0,12.0,11.0,,11.0,11.0,11.0,11.0,13.0,13.0,9.0,11.0,,12.0,11.0,12.0,12.0,12.0,11.0,12.4,11.9,
Liverpool,England,13.0,15.0,15.0,15.0,15.0,,15.0,15.0,13.0,15.0,15.0,15.0,13.0,13.0,,15.0,15.0,15.0,15.0,15.0,15.0,8.79,15.3,
Everton,England,151.0,251.0,201.0,251.0,201.0,,251.0,176.0,201.0,200.0,501.0,201.0,151.0,201.0,,201.0,200.0,251.0,201.0,201.0,154.0,276.0,200.0,
Southampton,England,1001.0,1501.0,2001.0,2001.0,2001.0,,1501.0,2001.0,1501.0,1500.0,2001.0,1251.0,1001.0,1501.0,,2001.0,1500.0,2001.0,2001.0,2001.0,620.0,950.0,898.0,
Aston Villa,England,2001.0,1501.0,2001.0,1001.0,2001.0,,1501.0,2001.0,1501.0,2000.0,2501.0,1501.0,1501.0,1501.0,,2501.0,2000.0,2501.0,2001.0,2001.0,660.0,950.0,950.0,
Swansea,England,1001.0,1251.0,1501.0,1501.0,1501.0,,2501.0,1001.0,1001.0,1000.0,2501.0,2501.0,1501.0,1501.0,,2001.0,1000.0,2001.0,2001.0,2001.0,660.0,950.0,950.0,
Newcastle,England,1501.0,1001.0,2001.0,2001.0,2001.0,,1501.0,1001.0,,1500.0,4001.0,2501.0,1501.0,1501.0,,2001.0,1500.0,2501.0,1001.0,1501.0,660.0,950.0,950.0,
Fulham,England,2501.0,2001.0,2001.0,2501.0,2001.0,,2501.0,2001.0,1501.0,3000.0,5001.0,5001.0,3001.0,2501.0,,3001.0,3000.0,3001.0,2001.0,2501.0,660.0,950.0,950.0,
Norwich,England,5001.0,3001.0,2501.0,,2501.0,,3001.0,5001.0,,5000.0,5001.0,5001.0,5001.0,5001.0,,5001.0,5000.0,5001.0,5001.0,4001.0,660.0,950.0,950.0,
Stoke,England,2501.0,2501.0,2501.0,,2501.0,,3001.0,4001.0,,3000.0,5001.0,2501.0,5001.0,2501.0,,4001.0,3000.0,5001.0,2501.0,2501.0,660.0,950.0,950.0,
West Brom,England,3001.0,2001.0,2001.0,2001.0,2001.0,,2501.0,2001.0,1001.0,3000.0,4001.0,5001.0,2501.0,2001.0,,3001.0,3000.0,4001.0,2001.0,3001.0,660.0,950.0,950.0,
