name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
guingamp,France,1001.0,1001.0,501.0,751.0,501.0,,1001.0,501.0,,1051.0,1001.0,501.0,,751.0,1001.0,1001.0,,751.0,1051.0,1001.0,1051.0,95.0,,
toulouse,France,751.0,751.0,751.0,751.0,751.0,,1001.0,501.0,,1051.0,1001.0,501.0,,501.0,751.0,1001.0,,501.0,1051.0,501.0,1051.0,95.0,,
caen,France,1001.0,1001.0,751.0,751.0,751.0,,1001.0,501.0,,1301.0,1001.0,501.0,,751.0,1001.0,1251.0,,751.0,1301.0,1001.0,1301.0,95.0,,
troyes,France,1001.0,1001.0,1001.0,1001.0,1001.0,,1501.0,751.0,,1601.0,1501.0,1001.0,,1001.0,1501.0,1001.0,,1001.0,1601.0,1001.0,1601.0,95.0,,
angers,France,1001.0,1001.0,1001.0,1001.0,1001.0,,2501.0,1001.0,,,2501.0,1001.0,,1001.0,2001.0,2501.0,,1001.0,,1000.0,,95.0,,
gfco ajaccio,France,1501.0,,,1001.0,,,2001.0,1001.0,,2751.0,1001.0,1001.0,,,1001.0,1501.0,,,2751.0,2001.0,2751.0,95.0,,
juventus,Italy,1.57,1.62,1.53,1.57,1.53,,1.44,1.57,,1.5,1.57,1.57,1.57,1.53,1.53,1.57,1.5,1.53,1.5,1.7,1.5,1.48,,
roma,Italy,8.0,8.0,8.0,7.5,8.0,,7.0,7.5,,7.5,7.5,8.0,7.5,7.5,7.0,7.0,7.0,7.5,7.5,6.5,7.5,6.13,,
napoli,Italy,10.0,10.0,9.0,8.0,9.0,,9.0,9.0,,7.5,8.0,8.0,9.0,8.5,9.0,7.5,8.0,8.5,7.5,7.0,7.5,8.03,,
inter,Italy,17.0,11.0,12.0,15.0,12.0,,13.0,11.0,,10.0,13.0,17.0,11.0,15.0,13.0,13.0,12.3,15.0,10.0,11.0,10.0,11.0,,
ac milan,Italy,11.0,11.0,12.0,12.0,12.0,,13.0,13.0,,16.0,15.0,17.0,11.0,11.0,17.0,17.0,12.5,11.0,16.0,15.0,16.0,14.8,,
lazio,Italy,17.0,15.0,17.0,17.0,17.0,,17.0,15.0,,18.0,17.0,13.0,13.0,15.0,17.0,15.0,15.5,15.0,18.0,17.0,18.0,14.8,,
fiorentina,Italy,41.0,29.0,29.0,29.0,29.0,,34.0,15.0,,26.0,34.0,21.0,21.0,34.0,41.0,26.0,28.0,34.0,26.0,21.0,26.0,32.0,,
genoa,Italy,251.0,201.0,251.0,251.0,251.0,,501.0,151.0,,351.0,251.0,501.0,501.0,201.0,251.0,251.0,301.0,201.0,351.0,151.0,351.0,95.0,,
sampdoria,Italy,151.0,201.0,251.0,251.0,251.0,,501.0,101.0,,351.0,251.0,501.0,501.0,201.0,301.0,251.0,251.0,201.0,351.0,101.0,351.0,95.0,,
torino,Italy,501.0,201.0,501.0,501.0,501.0,,501.0,101.0,,351.0,251.0,201.0,501.0,251.0,251.0,501.0,351.0,251.0,351.0,151.0,351.0,95.0,,
udinese,Italy,351.0,201.0,501.0,301.0,501.0,,501.0,151.0,,501.0,501.0,501.0,501.0,501.0,501.0,251.0,351.0,501.0,501.0,251.0,501.0,95.0,,
empoli,Italy,1001.0,501.0,1001.0,1001.0,1001.0,,1001.0,501.0,,1501.0,751.0,1001.0,1001.0,751.0,1501.0,1501.0,951.0,751.0,1501.0,501.0,1501.0,95.0,,
palermo,Italy,501.0,501.0,501.0,501.0,501.0,,501.0,401.0,,1501.0,751.0,501.0,501.0,501.0,501.0,501.0,751.0,501.0,1501.0,501.0,1501.0,95.0,,
atalanta,Italy,1001.0,501.0,1001.0,1001.0,1001.0,,1001.0,501.0,,2001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,2001.0,1001.0,2001.0,95.0,,
sassuolo,Italy,751.0,751.0,1001.0,1001.0,1001.0,,1001.0,501.0,,2001.0,1001.0,2001.0,1001.0,751.0,1001.0,1001.0,1001.0,751.0,2001.0,1001.0,2001.0,95.0,,
verona,Italy,1001.0,751.0,1001.0,1001.0,1001.0,,1001.0,401.0,,2001.0,1001.0,1001.0,501.0,751.0,501.0,751.0,751.0,751.0,2001.0,501.0,2001.0,95.0,,
chievo,Italy,2001.0,1501.0,2001.0,2001.0,2001.0,,2501.0,501.0,,2001.0,1001.0,2001.0,2501.0,1501.0,1001.0,2001.0,1001.0,1501.0,2001.0,501.0,2001.0,95.0,,
bologna,Italy,1501.0,2001.0,2001.0,1501.0,2001.0,,,501.0,,1501.0,1501.0,2001.0,5001.0,2001.0,1001.0,2001.0,1001.0,2001.0,1501.0,,1501.0,95.0,,
carpi fc,Italy,5001.0,2001.0,5001.0,2501.0,5001.0,,5001.0,501.0,,5001.0,2001.0,2001.0,5001.0,2501.0,2501.0,5001.0,1001.0,2501.0,5001.0,2501.0,5001.0,95.0,,
frosinone,Italy,5001.0,2001.0,5001.0,2501.0,5001.0,,5001.0,501.0,,5001.0,2001.0,2001.0,5001.0,2501.0,5001.0,5001.0,1001.0,2501.0,5001.0,,5001.0,95.0,,
celtic,Scotland,1.03,1.03,1.03,1.03,1.03,,1.03,1.03,1.03,1.03,1.05,1.04,1.05,1.04,1.02,1.03,,1.04,1.03,1.03,1.03,1.06,,
aberdeen,Scotland,26.0,21.0,26.0,26.0,26.0,,21.0,21.0,26.0,26.0,15.0,26.0,21.0,17.0,21.0,26.0,,17.0,26.0,21.0,26.0,18.1,,
hearts,Scotland,41.0,67.0,51.0,51.0,51.0,,51.0,51.0,41.0,51.0,51.0,34.0,41.0,51.0,34.0,51.0,,51.0,51.0,41.0,51.0,7.84,,
inverness,Scotland,151.0,67.0,101.0,151.0,101.0,,81.0,101.0,101.0,151.0,101.0,301.0,151.0,67.0,101.0,101.0,,67.0,151.0,151.0,151.0,81.0,,
